CVE_ENT,CVE_MUN,NOMGEO,CVE_ENT_1,CVE_MUN_1,CVE_AGEB,CVE_LOC,NOMLOC
07,054,Mazatán,07,089,0297,1018,Dorados de Villa
07,102,Tuxtla Chico,07,055,0015,0005,Los Hules
07,089,Tapachula,07,103,0014,0215,Villa Hidalgo
07,103,Tuzantán,07,057,0062,0575,La Ceiba
20,307,San Pedro Huamelula,20,453,0018,0011,Barra de la Cruz
07,069,Pijijiapan,07,097,0212,1527,"Isla, Mar y Tierra"
20,307,San Pedro Huamelula,20,453,0018,0012,Zimatán
20,253,San Mateo Piñas,20,324,0190,0238,Unión de Guerrero
20,253,San Mateo Piñas,20,324,0190,0237,San Pedro Cafetitlán
20,334,Villa de Tututepec,20,526,004A,0101,San Isidro Campechero
20,306,San Pedro el Alto,20,324,0010,0235,Los Naranjos Esquipulas
20,344,San Sebastián Coatlán,20,291,0037,0007,Tamarindo
20,125,San Carlos Yautepec,20,266,0015,0121,Santa Catarina Jamixtepec
20,266,San Miguel del Puerto,20,211,0021,0018,Cerro de Olla
20,141,San Francisco del Mar,20,143,0049,0063,Cachimbo
20,347,San Sebastián Río Hondo,20,154,0019,0005,El Extebe
07,104,Tzimol,07,083,0081,0197,Tierra y Libertad
07,104,Tzimol,07,083,0081,0210,San Pedro Pedernal
20,347,San Sebastián Río Hondo,20,059,0081,0115,Sitio de Lachidoblas
20,347,San Sebastián Río Hondo,20,154,0019,0003,La Reforma
20,272,San Miguel Panixtlahuaca,20,213,0030,0035,Atrás del Peñasco
20,154,San Ildefonso Amatlán,20,059,0081,0114,Santa María el Palmar
07,099,La Trinitaria,07,041,0128,0572,Santa Martha
20,143,San Francisco Ixhuatán,20,141,0114,0099,Santa Rita (Santa Rita del Mar)
20,143,San Francisco Ixhuatán,20,141,0044,0100,El Vergel del Maíz
20,143,San Francisco Ixhuatán,20,141,0044,0085,Colonia Villanueva
07,052,Las Margaritas,07,099,0096,1044,Nuevo Paraíso
20,082,San Agustín Chayuco,20,188,0017,0020,La Soledad
20,015,Coatecas Altas,20,028,0066,0042,La Escalera
20,441,Santa María Xadani,20,043,0202,0152,Colonia San Isidro
07,115,Maravilla Tenejapa,07,052,023A,0335,San Mateo Zapotal
20,441,Santa María Xadani,20,043,0185,0153,Colonia San Vicente
12,013,Azoyú,12,023,0262,0220,Rancho Mario Navarrete
20,015,Coatecas Altas,20,061,0018,0002,Santa María Velató
07,041,La Independencia,07,052,0329,0464,San Rafael
07,041,La Independencia,07,052,0333,0869,La Esmeralda de los Cipreses
07,115,Maravilla Tenejapa,07,052,030A,0312,Santa Margarita Agua Azul
