CVE_ENT_1,CVE_MUN_1,CVE_LOC,NOMLOC,AGEB
01,001,1184,Parque Industrial de Logística Automotriz (PILA),1246
01,001,2469,Parque Industrial Douki Seisan Park (DSP),1763
01,001,1178,Granjas Fátima,1138
01,001,2379,Edén los Sabinos,1123
32,024,0010,Ejido Hidalgo,0021
32,024,0008,Crisóstomos,006A
01,003,0110,Crucero las Pilas,0100
01,004,0047,La Esperanza (El Salerito),0019
01,005,0017,El Cenizo,0035
01,005,0019,Cieneguitas,0073
01,006,0249,San Agustín de los Puentes,0047
01,008,0023,San Antonio de los Ríos,0145
01,010,0101,Santa Elena,0092
01,010,0074,El Retoño,011A
01,006,0264,Ejido el Mezquite (Ojo de Agua del Mezquite),0013
01,011,0051,La Providencia,009A
02,001,4853,Santa Fe [Rancho],6928
02,001,3381,Ejido el Ajusco,6557
02,001,1266,San Antonio Necua (Cañada de los Encinos),6218
02,001,4635,Colonia Esperanza (Cañón San Carlos),6472
02,001,3440,Villa San Sebastián,699A
02,001,3815,Parcela Número Doscientos Treinta y Uno (Rancho el Refugio del Viejo),6472
02,005,0025,Santa Anita,0063
02,001,0590,Ejido Zarahemla,6928
02,001,5037,Colinas del Pedregal,6538
02,001,0170,Nuevo Centro de Población Padre Kino,6970
02,001,1654,Poblado Puerta Trampa,6330
02,002,0158,Ejido Chihuahua,355A
02,002,0255,Colonia Pescaderos (Campo la Catorce),3579
02,002,1369,Colonia Miguel Alemán,3507
02,002,0327,Ejido Netzahualcóyotl,3460
02,002,0211,Ejido Lázaro Cárdenas (La Mosca),3494
02,002,1653,La División (Colonia Venustiano Carranza),3653
02,002,0186,Ejido Guanajuato,3456
02,002,3029,Playa de Oro,3780
02,002,4747,Los Manantiales,3371
02,002,3552,Oasis Campestre (Ejido Islas Agrarias A),3460
02,002,1694,El Dorado (Ejido Plan Nacional Agrario),3738
02,003,1570,El Mirador,068A
02,003,0899,Rancho Tecate,0745
02,003,0934,Ejido Encinal,0711
02,004,1641,Ejido Morelos (La Fuente),2147
02,003,0107,La Rumorosa,0726
02,003,0139,Valle de las Palmas,082A
02,003,1602,El Yaqui,0694
02,003,0883,San José,0694
02,003,0168,Ciénega Redonda,0764
02,004,1892,Ampliación Ejido Lázaro Cárdenas,5052
02,004,1977,Valle de las Palmas [Etapa 1],2166
02,004,1755,Batalla Nacional,2166
02,004,2120,Las Alondras [Desarrollo Urbano],2147
02,004,0164,Casa Blanca (Familia Ulloa),2132
02,004,0661,La Ilusión,5033
02,004,1846,Puerta Plata,2166
02,004,1348,Cuesta Blanca,5029
02,005,0218,Los Volcanes,0044
02,004,1961,Ley del Servicio Civil,5029
03,001,0379,Villa Hidalgo,2559
03,002,0715,Posada Concepción,3234
03,002,0140,San Bruno,3287
03,003,1784,Los Cerritos,2869
03,003,0944,Melitón Albáñez Domínguez,2638
03,003,2515,Palo Blanco,2765
03,008,0048,Buenavista,052A
03,003,0418,Buenos Aires,2784
03,003,1450,El Comitán,2445
03,003,2368,Los Bledales (La Ceibita),2568
03,003,2530,Colonia 28 de Octubre (Kilómetro 6),2568
04,005,0003,Chunkanán,0170
04,001,0012,Santa Cruz Ex-Hacienda,0203
04,003,0364,Independencia,2721
04,003,3430,Ojo de Agua,2774
04,003,0031,Santa Rita,1668
04,003,0031,Santa Rita,1668
04,003,3420,Nueva Chontalpa,2740
04,003,0058,Abelardo L. Rodríguez,2276
04,004,0130,Cañaveral,1171
04,004,0005,Canasayab,1114
04,004,0082,Ulumal,110A
04,004,1701,Dzitbalché Castellot,1186
04,004,0062,San José Carpizo Uno (San Fernando),1078
04,004,0043,Vicente Guerrero,1097
04,006,0800,Santa Rosa [Campo Menonita],0498
04,006,0882,Santa Fe Uno,052A
04,004,0012,Profesor Graciano Sánchez,1275
04,009,0108,Don Samuel,0358
04,009,0170,Guadalajara,0343
04,009,0255,El Lechugal,0254
04,009,0941,Centenario,0606
04,009,0965,Adolfo López Mateos,0625
04,011,0381,La Olla,0144
04,011,0680,Venustiano Carranza,0178
04,011,0355,El Naranjo,0214
