"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2015-08-01","3:00 - 4:00","17","µg/m³"
"PM10","2015-08-01","4:00 - 5:00","22","µg/m³"
"PM10","2015-08-01","5:00 - 6:00","48","µg/m³"
"PM10","2015-08-01","6:00 - 7:00","68","µg/m³"
"PM10","2015-08-01","7:00 - 8:00","33","µg/m³"
"PM10","2015-08-01","8:00 - 9:00","23","µg/m³"
"PM10","2015-08-01","9:00 - 10:00","72","µg/m³"
"PM10","2015-08-01","10:00 - 11:00","129","µg/m³"
"PM10","2015-08-01","11:00 - 12:00","142","µg/m³"
"PM10","2015-08-01","12:00 - 13:00","127","µg/m³"
"PM10","2015-08-01","13:00 - 14:00","129","µg/m³"
"PM10","2015-08-01","14:00 - 15:00","147","µg/m³"
"PM10","2015-08-01","15:00 - 16:00","98","µg/m³"
"PM10","2015-08-01","16:00 - 17:00","114","µg/m³"
"PM10","2015-08-01","17:00 - 18:00","111","µg/m³"
"PM10","2015-08-01","18:00 - 19:00","66","µg/m³"
"PM10","2015-08-01","19:00 - 20:00","27","µg/m³"
"PM10","2015-08-01","20:00 - 21:00","28","µg/m³"
"PM10","2015-08-01","21:00 - 22:00","16","µg/m³"
"PM10","2015-08-02","3:00 - 4:00","15","µg/m³"
"PM10","2015-08-02","4:00 - 5:00","16","µg/m³"
"PM10","2015-08-02","5:00 - 6:00","19","µg/m³"
"PM10","2015-08-02","6:00 - 7:00","25","µg/m³"
"PM10","2015-08-02","9:00 - 10:00","32","µg/m³"
"PM10","2015-08-02","10:00 - 11:00","65","µg/m³"
"PM10","2015-08-02","11:00 - 12:00","124","µg/m³"
"PM10","2015-08-02","12:00 - 13:00","130","µg/m³"
"PM10","2015-08-02","13:00 - 14:00","131","µg/m³"
"PM10","2015-08-02","14:00 - 15:00","127","µg/m³"
"PM10","2015-08-02","15:00 - 16:00","116","µg/m³"
"PM10","2015-08-02","16:00 - 17:00","107","µg/m³"
"PM10","2015-08-02","17:00 - 18:00","102","µg/m³"
"PM10","2015-08-02","18:00 - 19:00","75","µg/m³"
"PM10","2015-08-02","19:00 - 20:00","46","µg/m³"
"PM10","2015-08-02","20:00 - 21:00","59","µg/m³"
"PM10","2015-08-03","3:00 - 4:00","18","µg/m³"
"PM10","2015-08-03","4:00 - 5:00","23","µg/m³"
"PM10","2015-08-03","5:00 - 6:00","32","µg/m³"
"PM10","2015-08-03","6:00 - 7:00","43","µg/m³"
"PM10","2015-08-03","7:00 - 8:00","15","µg/m³"
"PM10","2015-08-03","8:00 - 9:00","12","µg/m³"
"PM10","2015-08-03","9:00 - 10:00","45","µg/m³"
"PM10","2015-08-03","10:00 - 11:00","109","µg/m³"
