"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2017-07-21","13:00 - 14:00","48","µg/m³"
"PM2.5","2017-07-21","14:00 - 15:00","51","µg/m³"
"PM2.5","2017-07-21","15:00 - 16:00","22","µg/m³"
"PM2.5","2017-07-21","16:00 - 17:00","24","µg/m³"
"PM2.5","2017-07-21","17:00 - 18:00","43","µg/m³"
"PM2.5","2017-07-21","21:00 - 22:00","79","µg/m³"
"PM2.5","2017-07-22","1:00 - 2:00","19","µg/m³"
"PM2.5","2017-07-22","4:00 - 5:00","20","µg/m³"
"PM2.5","2017-07-22","5:00 - 6:00","28","µg/m³"
"PM2.5","2017-07-22","6:00 - 7:00","24","µg/m³"
"PM2.5","2017-07-22","9:00 - 10:00","11","µg/m³"
"PM2.5","2017-07-22","10:00 - 11:00","9","µg/m³"
"PM2.5","2017-07-22","11:00 - 12:00","41","µg/m³"
"PM2.5","2017-07-22","12:00 - 13:00","22","µg/m³"
"PM2.5","2017-07-22","13:00 - 14:00","8","µg/m³"
"PM2.5","2017-07-22","14:00 - 15:00","14","µg/m³"
"PM2.5","2017-07-22","15:00 - 16:00","15","µg/m³"
"PM2.5","2017-07-22","16:00 - 17:00","20","µg/m³"
"PM2.5","2017-07-22","17:00 - 18:00","41","µg/m³"
"PM2.5","2017-07-22","18:00 - 19:00","32","µg/m³"
"PM2.5","2017-07-22","22:00 - 23:00","32","µg/m³"
"PM2.5","2017-07-23","1:00 - 2:00","18","µg/m³"
"PM2.5","2017-07-23","3:00 - 4:00","16","µg/m³"
"PM2.5","2017-07-23","9:00 - 10:00","5","µg/m³"
"PM2.5","2017-07-23","10:00 - 11:00","14","µg/m³"
"PM2.5","2017-07-23","11:00 - 12:00","36","µg/m³"
"PM2.5","2017-07-23","12:00 - 13:00","19","µg/m³"
"PM2.5","2017-07-23","13:00 - 14:00","16","µg/m³"
"PM2.5","2017-07-23","14:00 - 15:00","34","µg/m³"
"PM2.5","2017-07-23","15:00 - 16:00","35","µg/m³"
"PM2.5","2017-07-23","16:00 - 17:00","52","µg/m³"
"PM2.5","2017-07-23","21:00 - 22:00","63","µg/m³"
"PM2.5","2017-07-23","22:00 - 23:00","50","µg/m³"
