Parametro,Fecha,Hora,Valor,Unidad
PM2.5,01/01/2012,23:00 - 0:00,0,µg/m³
PM2.5,01/01/2012,0:00 - 1:00,0,µg/m³
PM2.5,01/01/2012,1:00 - 2:00,0,µg/m³
PM2.5,01/01/2012,2:00 - 3:00,144,µg/m³
PM2.5,01/01/2012,3:00 - 4:00,97,µg/m³
PM2.5,01/01/2012,4:00 - 5:00,50,µg/m³
PM2.5,01/01/2012,5:00 - 6:00,47,µg/m³
PM2.5,01/01/2012,6:00 - 7:00,36,µg/m³
PM2.5,01/01/2012,7:00 - 8:00,4,µg/m³
PM2.5,01/01/2012,8:00 - 9:00,9,µg/m³
PM2.5,01/01/2012,9:00 - 10:00,7,µg/m³
PM2.5,01/01/2012,11:00 - 12:00,4,µg/m³
PM2.5,01/01/2012,13:00 - 14:00,3,µg/m³
PM2.5,01/01/2012,14:00 - 15:00,5,µg/m³
PM2.5,01/01/2012,15:00 - 16:00,10,µg/m³
PM2.5,01/01/2012,16:00 - 17:00,1,µg/m³
PM2.5,01/01/2012,17:00 - 18:00,3,µg/m³
PM2.5,01/01/2012,18:00 - 19:00,4,µg/m³
PM2.5,01/01/2012,19:00 - 20:00,1,µg/m³
PM2.5,01/01/2012,20:00 - 21:00,8,µg/m³
PM2.5,01/01/2012,21:00 - 22:00,11,µg/m³
PM2.5,01/01/2012,22:00 - 23:00,5,µg/m³
PM2.5,02/01/2012,0:00 - 1:00,3,µg/m³
PM2.5,02/01/2012,1:00 - 2:00,11,µg/m³
PM2.5,02/01/2012,2:00 - 3:00,5,µg/m³
PM2.5,02/01/2012,3:00 - 4:00,4,µg/m³
PM2.5,02/01/2012,5:00 - 6:00,8,µg/m³
PM2.5,02/01/2012,11:00 - 12:00,4,µg/m³
PM2.5,02/01/2012,12:00 - 13:00,6,µg/m³
PM2.5,02/01/2012,13:00 - 14:00,2,µg/m³
PM2.5,02/01/2012,14:00 - 15:00,1,µg/m³
PM2.5,02/01/2012,15:00 - 16:00,8,µg/m³
PM2.5,02/01/2012,17:00 - 18:00,1,µg/m³
PM2.5,02/01/2012,18:00 - 19:00,3,µg/m³
PM2.5,02/01/2012,19:00 - 20:00,10,µg/m³
PM2.5,02/01/2012,22:00 - 23:00,13,µg/m³
PM2.5,03/01/2012,23:00 - 0:00,5,µg/m³
PM2.5,03/01/2012,0:00 - 1:00,31,µg/m³
PM2.5,03/01/2012,1:00 - 2:00,37,µg/m³
PM2.5,03/01/2012,2:00 - 3:00,20,µg/m³
PM2.5,03/01/2012,3:00 - 4:00,16,µg/m³
PM2.5,03/01/2012,4:00 - 5:00,12,µg/m³
PM2.5,03/01/2012,5:00 - 6:00,21,µg/m³
PM2.5,03/01/2012,6:00 - 7:00,39,µg/m³
PM2.5,03/01/2012,7:00 - 8:00,23,µg/m³
PM2.5,03/01/2012,8:00 - 9:00,27,µg/m³
PM2.5,03/01/2012,9:00 - 10:00,16,µg/m³
PM2.5,03/01/2012,10:00 - 11:00,6,µg/m³
PM2.5,03/01/2012,11:00 - 12:00,3,µg/m³
PM2.5,03/01/2012,12:00 - 13:00,5,µg/m³
PM2.5,03/01/2012,13:00 - 14:00,8,µg/m³
PM2.5,03/01/2012,14:00 - 15:00,4,µg/m³
PM2.5,03/01/2012,15:00 - 16:00,12,µg/m³
PM2.5,03/01/2012,16:00 - 17:00,12,µg/m³
PM2.5,03/01/2012,17:00 - 18:00,22,µg/m³
PM2.5,03/01/2012,18:00 - 19:00,19,µg/m³
PM2.5,03/01/2012,19:00 - 20:00,21,µg/m³
PM2.5,03/01/2012,20:00 - 21:00,17,µg/m³
PM2.5,03/01/2012,21:00 - 22:00,35,µg/m³
PM2.5,03/01/2012,22:00 - 23:00,34,µg/m³
PM2.5,04/01/2012,23:00 - 0:00,42,µg/m³
PM2.5,04/01/2012,0:00 - 1:00,43,µg/m³
PM2.5,04/01/2012,1:00 - 2:00,27,µg/m³
PM2.5,04/01/2012,2:00 - 3:00,26,µg/m³
PM2.5,04/01/2012,3:00 - 4:00,50,µg/m³
PM2.5,04/01/2012,4:00 - 5:00,53,µg/m³
PM2.5,04/01/2012,5:00 - 6:00,48,µg/m³
PM2.5,04/01/2012,6:00 - 7:00,39,µg/m³
PM2.5,04/01/2012,7:00 - 8:00,28,µg/m³
PM2.5,04/01/2012,8:00 - 9:00,36,µg/m³
PM2.5,04/01/2012,9:00 - 10:00,53,µg/m³
PM2.5,04/01/2012,10:00 - 11:00,41,µg/m³
PM2.5,04/01/2012,11:00 - 12:00,17,µg/m³
PM2.5,04/01/2012,12:00 - 13:00,13,µg/m³
PM2.5,04/01/2012,13:00 - 14:00,39,µg/m³
PM2.5,04/01/2012,14:00 - 15:00,46,µg/m³
PM2.5,04/01/2012,15:00 - 16:00,27,µg/m³
PM2.5,04/01/2012,16:00 - 17:00,23,µg/m³
PM2.5,04/01/2012,17:00 - 18:00,20,µg/m³
PM2.5,04/01/2012,18:00 - 19:00,13,µg/m³
PM2.5,04/01/2012,19:00 - 20:00,12,µg/m³
PM2.5,04/01/2012,20:00 - 21:00,17,µg/m³
PM2.5,04/01/2012,21:00 - 22:00,19,µg/m³
PM2.5,04/01/2012,22:00 - 23:00,10,µg/m³
