"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2019-09-01","0:00 - 1:00","27","µg/m³"
"PM2.5","2019-09-01","1:00 - 2:00","16","µg/m³"
"PM2.5","2019-09-01","2:00 - 3:00","12","µg/m³"
"PM2.5","2019-09-01","3:00 - 4:00","19","µg/m³"
"PM2.5","2019-09-01","4:00 - 5:00","22","µg/m³"
"PM2.5","2019-09-01","5:00 - 6:00","7","µg/m³"
"PM2.5","2019-09-01","6:00 - 7:00","13","µg/m³"
"PM2.5","2019-09-01","7:00 - 8:00","11","µg/m³"
"PM2.5","2019-09-01","8:00 - 9:00","6","µg/m³"
"PM2.5","2019-09-01","9:00 - 10:00","14","µg/m³"
"PM2.5","2019-09-01","14:00 - 15:00","9","µg/m³"
"PM2.5","2019-09-01","15:00 - 16:00","5","µg/m³"
"PM2.5","2019-09-01","16:00 - 17:00","19","µg/m³"
"PM2.5","2019-09-01","17:00 - 18:00","3","µg/m³"
"PM2.5","2019-09-01","18:00 - 19:00","2","µg/m³"
"PM2.5","2019-09-01","20:00 - 21:00","19","µg/m³"
"PM2.5","2019-09-01","21:00 - 22:00","2","µg/m³"
"PM2.5","2019-09-01","22:00 - 23:00","7","µg/m³"
"PM2.5","2019-09-02","23:00 - 0:00","7","µg/m³"
"PM2.5","2019-09-02","0:00 - 1:00","16","µg/m³"
"PM2.5","2019-09-02","1:00 - 2:00","12","µg/m³"
"PM2.5","2019-09-02","2:00 - 3:00","8","µg/m³"
"PM2.5","2019-09-02","3:00 - 4:00","6","µg/m³"
"PM2.5","2019-09-02","4:00 - 5:00","15","µg/m³"
"PM2.5","2019-09-02","5:00 - 6:00","19","µg/m³"
"PM2.5","2019-09-02","6:00 - 7:00","14","µg/m³"
"PM2.5","2019-09-02","7:00 - 8:00","7","µg/m³"
"PM2.5","2019-09-02","8:00 - 9:00","6","µg/m³"
"PM2.5","2019-09-02","9:00 - 10:00","14","µg/m³"
"PM2.5","2019-09-02","10:00 - 11:00","29","µg/m³"
