"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2015-04-23","12:00 - 13:00","71","µg/m³"
"PM10","2015-04-23","13:00 - 14:00","69","µg/m³"
"PM10","2015-04-23","14:00 - 15:00","51","µg/m³"
"PM10","2015-04-23","15:00 - 16:00","51","µg/m³"
"PM10","2015-04-23","16:00 - 17:00","61","µg/m³"
"PM10","2015-04-23","17:00 - 18:00","64","µg/m³"
"PM10","2015-04-23","18:00 - 19:00","63","µg/m³"
"PM10","2015-04-23","19:00 - 20:00","63","µg/m³"
"PM10","2015-04-23","20:00 - 21:00","57","µg/m³"
"PM10","2015-04-23","21:00 - 22:00","20","µg/m³"
"PM10","2015-04-23","22:00 - 23:00","16","µg/m³"
"PM10","2015-04-24","23:00 - 0:00","18","µg/m³"
"PM10","2015-04-24","0:00 - 1:00","24","µg/m³"
"PM10","2015-04-24","1:00 - 2:00","27","µg/m³"
"PM10","2015-04-24","2:00 - 3:00","15","µg/m³"
"PM10","2015-04-24","3:00 - 4:00","22","µg/m³"
"PM10","2015-04-24","4:00 - 5:00","14","µg/m³"
"PM10","2015-04-24","5:00 - 6:00","21","µg/m³"
"PM10","2015-04-24","6:00 - 7:00","37","µg/m³"
"PM10","2015-04-24","7:00 - 8:00","49","µg/m³"
"PM10","2015-04-24","8:00 - 9:00","72","µg/m³"
"PM10","2015-04-24","9:00 - 10:00","58","µg/m³"
"PM10","2015-04-24","10:00 - 11:00","65","µg/m³"
"PM10","2015-04-24","11:00 - 12:00","92","µg/m³"
"PM10","2015-04-24","12:00 - 13:00","91","µg/m³"
"PM10","2015-04-24","13:00 - 14:00","89","µg/m³"
"PM10","2015-04-24","14:00 - 15:00","85","µg/m³"
"PM10","2015-04-24","15:00 - 16:00","98","µg/m³"
"PM10","2015-04-24","16:00 - 17:00","73","µg/m³"
"PM10","2015-04-24","17:00 - 18:00","69","µg/m³"
"PM10","2015-04-24","18:00 - 19:00","73","µg/m³"
"PM10","2015-04-24","19:00 - 20:00","66","µg/m³"
"PM10","2015-04-24","20:00 - 21:00","66","µg/m³"
"PM10","2015-04-24","21:00 - 22:00","81","µg/m³"
"PM10","2015-04-24","22:00 - 23:00","98","µg/m³"
"PM10","2015-04-25","23:00 - 0:00","69","µg/m³"
"PM10","2015-04-25","0:00 - 1:00","57","µg/m³"
"PM10","2015-04-25","1:00 - 2:00","96","µg/m³"
"PM10","2015-04-25","2:00 - 3:00","86","µg/m³"
"PM10","2015-04-25","3:00 - 4:00","81","µg/m³"
"PM10","2015-04-25","4:00 - 5:00","90","µg/m³"
"PM10","2015-04-25","5:00 - 6:00","78","µg/m³"
"PM10","2015-04-25","6:00 - 7:00","41","µg/m³"
"PM10","2015-04-25","7:00 - 8:00","25","µg/m³"
"PM10","2015-04-25","8:00 - 9:00","200","µg/m³"
"PM10","2015-04-25","9:00 - 10:00","117","µg/m³"
"PM10","2015-04-25","10:00 - 11:00","53","µg/m³"
"PM10","2015-04-25","11:00 - 12:00","41","µg/m³"
"PM10","2015-04-25","12:00 - 13:00","38","µg/m³"
"PM10","2015-04-25","13:00 - 14:00","48","µg/m³"
"PM10","2015-04-25","14:00 - 15:00","42","µg/m³"
"PM10","2015-04-25","15:00 - 16:00","67","µg/m³"
"PM10","2015-04-25","16:00 - 17:00","61","µg/m³"
"PM10","2015-04-25","17:00 - 18:00","54","µg/m³"
"PM10","2015-04-25","18:00 - 19:00","45","µg/m³"
"PM10","2015-04-25","19:00 - 20:00","52","µg/m³"
"PM10","2015-04-25","20:00 - 21:00","374","µg/m³"
"PM10","2015-04-25","21:00 - 22:00","69","µg/m³"
"PM10","2015-04-25","22:00 - 23:00","61","µg/m³"
"PM10","2015-04-26","23:00 - 0:00","249","µg/m³"
"PM10","2015-04-26","0:00 - 1:00","366","µg/m³"
"PM10","2015-04-26","1:00 - 2:00","398","µg/m³"
"PM10","2015-04-26","2:00 - 3:00","42","µg/m³"
"PM10","2015-04-26","3:00 - 4:00","38","µg/m³"
"PM10","2015-04-26","4:00 - 5:00","31","µg/m³"
"PM10","2015-04-26","5:00 - 6:00","57","µg/m³"
"PM10","2015-04-26","6:00 - 7:00","381","µg/m³"
"PM10","2015-04-26","7:00 - 8:00","422","µg/m³"
"PM10","2015-04-26","8:00 - 9:00","55","µg/m³"
"PM10","2015-04-26","9:00 - 10:00","44","µg/m³"
"PM10","2015-04-26","10:00 - 11:00","41","µg/m³"
"PM10","2015-04-26","11:00 - 12:00","22","µg/m³"
"PM10","2015-04-26","12:00 - 13:00","45","µg/m³"
"PM10","2015-04-26","13:00 - 14:00","51","µg/m³"
"PM10","2015-04-26","14:00 - 15:00","73","µg/m³"
"PM10","2015-04-26","15:00 - 16:00","64","µg/m³"
"PM10","2015-04-26","16:00 - 17:00","47","µg/m³"
"PM10","2015-04-26","17:00 - 18:00","41","µg/m³"
"PM10","2015-04-26","18:00 - 19:00","48","µg/m³"
"PM10","2015-04-26","19:00 - 20:00","62","µg/m³"
"PM10","2015-04-26","20:00 - 21:00","51","µg/m³"
"PM10","2015-04-26","21:00 - 22:00","61","µg/m³"
"PM10","2015-04-26","22:00 - 23:00","72","µg/m³"
"PM10","2015-04-27","23:00 - 0:00","72","µg/m³"
"PM10","2015-04-27","0:00 - 1:00","424","µg/m³"
"PM10","2015-04-27","1:00 - 2:00","52","µg/m³"
"PM10","2015-04-27","2:00 - 3:00","378","µg/m³"
"PM10","2015-04-27","3:00 - 4:00","46","µg/m³"
"PM10","2015-04-27","4:00 - 5:00","69","µg/m³"
"PM10","2015-04-27","5:00 - 6:00","50","µg/m³"
"PM10","2015-04-27","6:00 - 7:00","51","µg/m³"
"PM10","2015-04-27","7:00 - 8:00","51","µg/m³"
"PM10","2015-04-27","8:00 - 9:00","61","µg/m³"
"PM10","2015-04-27","9:00 - 10:00","59","µg/m³"
"PM10","2015-04-27","10:00 - 11:00","51","µg/m³"
"PM10","2015-04-27","11:00 - 12:00","37","µg/m³"
"PM10","2015-04-27","12:00 - 13:00","35","µg/m³"
"PM10","2015-04-27","13:00 - 14:00","36","µg/m³"
"PM10","2015-04-27","14:00 - 15:00","36","µg/m³"
"PM10","2015-04-27","15:00 - 16:00","43","µg/m³"
"PM10","2015-04-27","16:00 - 17:00","57","µg/m³"
"PM10","2015-04-27","17:00 - 18:00","54","µg/m³"
"PM10","2015-04-27","18:00 - 19:00","70","µg/m³"
"PM10","2015-04-27","19:00 - 20:00","59","µg/m³"
"PM10","2015-04-27","20:00 - 21:00","45","µg/m³"
"PM10","2015-04-27","21:00 - 22:00","59","µg/m³"
"PM10","2015-04-27","22:00 - 23:00","96","µg/m³"
"PM10","2015-04-28","23:00 - 0:00","160","µg/m³"
"PM10","2015-04-28","0:00 - 1:00","75","µg/m³"
"PM10","2015-04-28","1:00 - 2:00","81","µg/m³"
"PM10","2015-04-28","2:00 - 3:00","49","µg/m³"
"PM10","2015-04-28","3:00 - 4:00","43","µg/m³"
"PM10","2015-04-28","4:00 - 5:00","35","µg/m³"
"PM10","2015-04-28","5:00 - 6:00","35","µg/m³"
"PM10","2015-04-28","6:00 - 7:00","38","µg/m³"
"PM10","2015-04-28","7:00 - 8:00","49","µg/m³"
"PM10","2015-04-28","8:00 - 9:00","59","µg/m³"
"PM10","2015-04-28","9:00 - 10:00","66","µg/m³"
"PM10","2015-04-28","10:00 - 11:00","44","µg/m³"
"PM10","2015-04-28","11:00 - 12:00","23","µg/m³"
"PM10","2015-04-28","12:00 - 13:00","27","µg/m³"
"PM10","2015-04-28","13:00 - 14:00","35","µg/m³"
"PM10","2015-04-28","14:00 - 15:00","32","µg/m³"
"PM10","2015-04-28","15:00 - 16:00","37","µg/m³"
"PM10","2015-04-28","16:00 - 17:00","54","µg/m³"
"PM10","2015-04-28","17:00 - 18:00","48","µg/m³"
"PM10","2015-04-28","18:00 - 19:00","37","µg/m³"
"PM10","2015-04-28","19:00 - 20:00","39","µg/m³"
"PM10","2015-04-28","20:00 - 21:00","43","µg/m³"
"PM10","2015-04-28","21:00 - 22:00","33","µg/m³"
"PM10","2015-04-28","22:00 - 23:00","20","µg/m³"
"PM10","2015-04-29","23:00 - 0:00","18","µg/m³"
"PM10","2015-04-29","0:00 - 1:00","22","µg/m³"
"PM10","2015-04-29","1:00 - 2:00","11","µg/m³"
"PM10","2015-04-29","2:00 - 3:00","10","µg/m³"
"PM10","2015-04-29","3:00 - 4:00","11","µg/m³"
"PM10","2015-04-29","4:00 - 5:00","37","µg/m³"
"PM10","2015-04-29","5:00 - 6:00","48","µg/m³"
"PM10","2015-04-29","6:00 - 7:00","108","µg/m³"
"PM10","2015-04-29","7:00 - 8:00","97","µg/m³"
"PM10","2015-04-29","8:00 - 9:00","37","µg/m³"
"PM10","2015-04-29","9:00 - 10:00","28","µg/m³"
"PM10","2015-04-29","10:00 - 11:00","29","µg/m³"
"PM10","2015-04-29","11:00 - 12:00","29","µg/m³"
"PM10","2015-04-29","12:00 - 13:00","23","µg/m³"
"PM10","2015-04-29","13:00 - 14:00","25","µg/m³"
"PM10","2015-04-29","14:00 - 15:00","26","µg/m³"
"PM10","2015-04-29","15:00 - 16:00","26","µg/m³"
"PM10","2015-04-29","16:00 - 17:00","29","µg/m³"
"PM10","2015-04-29","17:00 - 18:00","27","µg/m³"
"PM10","2015-04-29","18:00 - 19:00","37","µg/m³"
"PM10","2015-04-29","19:00 - 20:00","53","µg/m³"
"PM10","2015-04-29","20:00 - 21:00","40","µg/m³"
"PM10","2015-04-29","21:00 - 22:00","27","µg/m³"
"PM10","2015-04-29","22:00 - 23:00","21","µg/m³"
"PM10","2015-04-30","23:00 - 0:00","16","µg/m³"
"PM10","2015-04-30","0:00 - 1:00","27","µg/m³"
"PM10","2015-04-30","1:00 - 2:00","50","µg/m³"
"PM10","2015-04-30","2:00 - 3:00","65","µg/m³"
"PM10","2015-04-30","3:00 - 4:00","75","µg/m³"
"PM10","2015-04-30","4:00 - 5:00","56","µg/m³"
"PM10","2015-04-30","5:00 - 6:00","78","µg/m³"
"PM10","2015-04-30","6:00 - 7:00","75","µg/m³"
"PM10","2015-04-30","7:00 - 8:00","71","µg/m³"
"PM10","2015-04-30","8:00 - 9:00","69","µg/m³"
"PM10","2015-04-30","9:00 - 10:00","101","µg/m³"
"PM10","2015-04-30","10:00 - 11:00","72","µg/m³"
"PM10","2015-04-30","11:00 - 12:00","45","µg/m³"
"PM10","2015-04-30","13:00 - 14:00","50","µg/m³"
"PM10","2015-04-30","14:00 - 15:00","47","µg/m³"
"PM10","2015-04-30","15:00 - 16:00","55","µg/m³"
"PM10","2015-04-30","16:00 - 17:00","43","µg/m³"
"PM10","2015-04-30","17:00 - 18:00","46","µg/m³"
"PM10","2015-04-30","18:00 - 19:00","48","µg/m³"
"PM10","2015-04-30","19:00 - 20:00","50","µg/m³"
"PM10","2015-04-30","20:00 - 21:00","55","µg/m³"
"PM10","2015-04-30","21:00 - 22:00","66","µg/m³"
"PM10","2015-04-30","22:00 - 23:00","53","µg/m³"
"PM10","2015-05-01","23:00 - 0:00","44","µg/m³"
"PM10","2015-05-01","0:00 - 1:00","54","µg/m³"
"PM10","2015-05-01","1:00 - 2:00","82","µg/m³"
"PM10","2015-05-01","2:00 - 3:00","74","µg/m³"
"PM10","2015-05-01","3:00 - 4:00","42","µg/m³"
"PM10","2015-05-01","4:00 - 5:00","52","µg/m³"
"PM10","2015-05-01","5:00 - 6:00","49","µg/m³"
"PM10","2015-05-01","6:00 - 7:00","107","µg/m³"
"PM10","2015-05-01","7:00 - 8:00","92","µg/m³"
"PM10","2015-05-01","8:00 - 9:00","97","µg/m³"
"PM10","2015-05-01","9:00 - 10:00","78","µg/m³"
"PM10","2015-05-01","10:00 - 11:00","55","µg/m³"
"PM10","2015-05-01","11:00 - 12:00","46","µg/m³"
"PM10","2015-05-01","12:00 - 13:00","43","µg/m³"
"PM10","2015-05-01","13:00 - 14:00","49","µg/m³"
