"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2010-07-14","17:00 - 18:00","17","µg/m³"
"PM2.5","2010-07-14","18:00 - 19:00","35","µg/m³"
"PM2.5","2010-07-14","19:00 - 20:00","40","µg/m³"
"PM2.5","2010-07-14","20:00 - 21:00","36","µg/m³"
"PM2.5","2010-07-14","21:00 - 22:00","10","µg/m³"
"PM2.5","2010-07-15","23:00 - 0:00","24","µg/m³"
"PM2.5","2010-07-15","0:00 - 1:00","31","µg/m³"
"PM2.5","2010-07-15","1:00 - 2:00","27","µg/m³"
"PM2.5","2010-07-15","2:00 - 3:00","14","µg/m³"
"PM2.5","2010-07-15","9:00 - 10:00","13","µg/m³"
"PM2.5","2010-07-15","10:00 - 11:00","8","µg/m³"
"PM2.5","2010-07-15","11:00 - 12:00","1","µg/m³"
"PM2.5","2010-07-15","13:00 - 14:00","2","µg/m³"
"PM2.5","2010-07-15","14:00 - 15:00","1","µg/m³"
"PM2.5","2010-07-15","15:00 - 16:00","2","µg/m³"
"PM2.5","2010-07-15","16:00 - 17:00","23","µg/m³"
"PM2.5","2010-07-15","17:00 - 18:00","63","µg/m³"
"PM2.5","2010-07-15","18:00 - 19:00","16","µg/m³"
"PM2.5","2010-07-15","20:00 - 21:00","26","µg/m³"
"PM2.5","2010-07-15","21:00 - 22:00","29","µg/m³"
"PM2.5","2010-07-15","22:00 - 23:00","2","µg/m³"
"PM2.5","2010-07-16","23:00 - 0:00","1","µg/m³"
"PM2.5","2010-07-16","0:00 - 1:00","17","µg/m³"
"PM2.5","2010-07-16","1:00 - 2:00","39","µg/m³"
"PM2.5","2010-07-16","2:00 - 3:00","37","µg/m³"
"PM2.5","2010-07-16","3:00 - 4:00","7","µg/m³"
"PM2.5","2010-07-16","5:00 - 6:00","26","µg/m³"
"PM2.5","2010-07-16","6:00 - 7:00","84","µg/m³"
"PM2.5","2010-07-16","7:00 - 8:00","41","µg/m³"
"PM2.5","2010-07-16","8:00 - 9:00","4","µg/m³"
"PM2.5","2010-07-16","9:00 - 10:00","69","µg/m³"
"PM2.5","2010-07-16","10:00 - 11:00","77","µg/m³"
"PM2.5","2010-07-16","11:00 - 12:00","55","µg/m³"
"PM2.5","2010-07-16","12:00 - 13:00","42","µg/m³"
"PM2.5","2010-07-16","13:00 - 14:00","30","µg/m³"
"PM2.5","2010-07-16","14:00 - 15:00","30","µg/m³"
"PM2.5","2010-07-16","15:00 - 16:00","18","µg/m³"
"PM2.5","2010-07-16","16:00 - 17:00","62","µg/m³"
"PM2.5","2010-07-16","17:00 - 18:00","49","µg/m³"
"PM2.5","2010-07-16","18:00 - 19:00","30","µg/m³"
"PM2.5","2010-07-16","19:00 - 20:00","15","µg/m³"
"PM2.5","2010-07-16","20:00 - 21:00","21","µg/m³"
"PM2.5","2010-07-16","21:00 - 22:00","2","µg/m³"
"PM2.5","2010-07-17","1:00 - 2:00","4","µg/m³"
"PM2.5","2010-07-17","2:00 - 3:00","55","µg/m³"
"PM2.5","2010-07-17","3:00 - 4:00","44","µg/m³"
"PM2.5","2010-07-17","4:00 - 5:00","28","µg/m³"
"PM2.5","2010-07-17","5:00 - 6:00","20","µg/m³"
"PM2.5","2010-07-17","6:00 - 7:00","46","µg/m³"
"PM2.5","2010-07-17","7:00 - 8:00","18","µg/m³"
"PM2.5","2010-07-17","8:00 - 9:00","9","µg/m³"
"PM2.5","2010-07-17","9:00 - 10:00","29","µg/m³"
"PM2.5","2010-07-17","10:00 - 11:00","30","µg/m³"
"PM2.5","2010-07-17","11:00 - 12:00","25","µg/m³"
"PM2.5","2010-07-17","12:00 - 13:00","4","µg/m³"
"PM2.5","2010-07-17","14:00 - 15:00","3","µg/m³"
"PM2.5","2010-07-17","15:00 - 16:00","3","µg/m³"
"PM2.5","2010-07-17","16:00 - 17:00","6","µg/m³"
"PM2.5","2010-07-17","17:00 - 18:00","32","µg/m³"
"PM2.5","2010-07-17","18:00 - 19:00","32","µg/m³"
"PM2.5","2010-07-17","19:00 - 20:00","20","µg/m³"
"PM2.5","2010-07-17","20:00 - 21:00","36","µg/m³"
"PM2.5","2010-07-17","21:00 - 22:00","30","µg/m³"
"PM2.5","2010-07-17","22:00 - 23:00","4","µg/m³"
"PM2.5","2010-07-18","1:00 - 2:00","12","µg/m³"
