"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2018-08-01","0:00 - 1:00","108","µg/m³"
"PM10","2018-08-01","1:00 - 2:00","95","µg/m³"
"PM10","2018-08-01","2:00 - 3:00","38","µg/m³"
"PM10","2018-08-01","3:00 - 4:00","50","µg/m³"
"PM10","2018-08-01","4:00 - 5:00","53","µg/m³"
"PM10","2018-08-01","5:00 - 6:00","76","µg/m³"
"PM10","2018-08-01","6:00 - 7:00","83","µg/m³"
"PM10","2018-08-01","7:00 - 8:00","96","µg/m³"
"PM10","2018-08-01","8:00 - 9:00","73","µg/m³"
"PM10","2018-08-01","9:00 - 10:00","52","µg/m³"
"PM10","2018-08-01","10:00 - 11:00","35","µg/m³"
"PM10","2018-08-01","11:00 - 12:00","47","µg/m³"
"PM10","2018-08-01","13:00 - 14:00","44","µg/m³"
"PM10","2018-08-01","14:00 - 15:00","34","µg/m³"
"PM10","2018-08-01","15:00 - 16:00","112","µg/m³"
"PM10","2018-08-01","16:00 - 17:00","77","µg/m³"
"PM10","2018-08-01","17:00 - 18:00","73","µg/m³"
"PM10","2018-08-01","18:00 - 19:00","46","µg/m³"
"PM10","2018-08-01","19:00 - 20:00","100","µg/m³"
"PM10","2018-08-01","20:00 - 21:00","182","µg/m³"
"PM10","2018-08-01","21:00 - 22:00","127","µg/m³"
"PM10","2018-08-01","22:00 - 23:00","51","µg/m³"
"PM10","2018-08-02","23:00 - 0:00","70","µg/m³"
"PM10","2018-08-02","0:00 - 1:00","48","µg/m³"
"PM10","2018-08-02","1:00 - 2:00","36","µg/m³"
"PM10","2018-08-02","2:00 - 3:00","47","µg/m³"
"PM10","2018-08-02","3:00 - 4:00","45","µg/m³"
"PM10","2018-08-02","4:00 - 5:00","43","µg/m³"
"PM10","2018-08-02","5:00 - 6:00","58","µg/m³"
"PM10","2018-08-02","6:00 - 7:00","51","µg/m³"
"PM10","2018-08-02","7:00 - 8:00","87","µg/m³"
"PM10","2018-08-02","8:00 - 9:00","103","µg/m³"
"PM10","2018-08-02","9:00 - 10:00","101","µg/m³"
"PM10","2018-08-02","10:00 - 11:00","76","µg/m³"
"PM10","2018-08-02","11:00 - 12:00","65","µg/m³"
"PM10","2018-08-02","12:00 - 13:00","89","µg/m³"
"PM10","2018-08-02","13:00 - 14:00","100","µg/m³"
"PM10","2018-08-02","14:00 - 15:00","176","µg/m³"
"PM10","2018-08-02","15:00 - 16:00","97","µg/m³"
"PM10","2018-08-02","16:00 - 17:00","97","µg/m³"
"PM10","2018-08-02","17:00 - 18:00","74","µg/m³"
"PM10","2018-08-02","18:00 - 19:00","76","µg/m³"
"PM10","2018-08-02","19:00 - 20:00","67","µg/m³"
"PM10","2018-08-02","20:00 - 21:00","74","µg/m³"
"PM10","2018-08-03","23:00 - 0:00","79","µg/m³"
"PM10","2018-08-03","0:00 - 1:00","59","µg/m³"
"PM10","2018-08-03","1:00 - 2:00","40","µg/m³"
"PM10","2018-08-03","2:00 - 3:00","37","µg/m³"
"PM10","2018-08-03","3:00 - 4:00","27","µg/m³"
"PM10","2018-08-03","4:00 - 5:00","45","µg/m³"
"PM10","2018-08-03","5:00 - 6:00","42","µg/m³"
"PM10","2018-08-03","6:00 - 7:00","45","µg/m³"
"PM10","2018-08-03","7:00 - 8:00","83","µg/m³"
"PM10","2018-08-03","8:00 - 9:00","95","µg/m³"
"PM10","2018-08-03","9:00 - 10:00","104","µg/m³"
"PM10","2018-08-03","10:00 - 11:00","77","µg/m³"
"PM10","2018-08-03","11:00 - 12:00","55","µg/m³"
"PM10","2018-08-03","12:00 - 13:00","47","µg/m³"
"PM10","2018-08-03","13:00 - 14:00","68","µg/m³"
"PM10","2018-08-03","14:00 - 15:00","99","µg/m³"
"PM10","2018-08-03","15:00 - 16:00","81","µg/m³"
"PM10","2018-08-03","16:00 - 17:00","105","µg/m³"
"PM10","2018-08-03","17:00 - 18:00","85","µg/m³"
"PM10","2018-08-03","18:00 - 19:00","95","µg/m³"
"PM10","2018-08-03","19:00 - 20:00","164","µg/m³"
"PM10","2018-08-03","20:00 - 21:00","217","µg/m³"
"PM10","2018-08-03","21:00 - 22:00","72","µg/m³"
"PM10","2018-08-03","22:00 - 23:00","63","µg/m³"
"PM10","2018-08-04","23:00 - 0:00","94","µg/m³"
"PM10","2018-08-04","0:00 - 1:00","68","µg/m³"
"PM10","2018-08-04","1:00 - 2:00","37","µg/m³"
"PM10","2018-08-04","2:00 - 3:00","24","µg/m³"
"PM10","2018-08-04","3:00 - 4:00","34","µg/m³"
"PM10","2018-08-04","4:00 - 5:00","32","µg/m³"
"PM10","2018-08-04","5:00 - 6:00","70","µg/m³"
"PM10","2018-08-04","6:00 - 7:00","111","µg/m³"
"PM10","2018-08-04","7:00 - 8:00","127","µg/m³"
"PM10","2018-08-04","8:00 - 9:00","78","µg/m³"
"PM10","2018-08-04","9:00 - 10:00","90","µg/m³"
"PM10","2018-08-04","11:00 - 12:00","102","µg/m³"
"PM10","2018-08-04","12:00 - 13:00","141","µg/m³"
"PM10","2018-08-04","13:00 - 14:00","144","µg/m³"
"PM10","2018-08-04","14:00 - 15:00","285","µg/m³"
"PM10","2018-08-04","15:00 - 16:00","181","µg/m³"
"PM10","2018-08-04","16:00 - 17:00","111","µg/m³"
"PM10","2018-08-04","17:00 - 18:00","180","µg/m³"
"PM10","2018-08-04","18:00 - 19:00","137","µg/m³"
"PM10","2018-08-04","19:00 - 20:00","107","µg/m³"
"PM10","2018-08-04","20:00 - 21:00","97","µg/m³"
"PM10","2018-08-04","21:00 - 22:00","200","µg/m³"
"PM10","2018-08-04","22:00 - 23:00","106","µg/m³"
"PM10","2018-08-05","23:00 - 0:00","60","µg/m³"
"PM10","2018-08-05","0:00 - 1:00","50","µg/m³"
"PM10","2018-08-05","2:00 - 3:00","31","µg/m³"
"PM10","2018-08-05","3:00 - 4:00","24","µg/m³"
"PM10","2018-08-05","4:00 - 5:00","25","µg/m³"
"PM10","2018-08-05","5:00 - 6:00","21","µg/m³"
"PM10","2018-08-05","6:00 - 7:00","21","µg/m³"
"PM10","2018-08-05","7:00 - 8:00","29","µg/m³"
"PM10","2018-08-05","8:00 - 9:00","24","µg/m³"
"PM10","2018-08-05","9:00 - 10:00","35","µg/m³"
"PM10","2018-08-05","10:00 - 11:00","29","µg/m³"
"PM10","2018-08-05","11:00 - 12:00","46","µg/m³"
"PM10","2018-08-05","12:00 - 13:00","37","µg/m³"
"PM10","2018-08-05","13:00 - 14:00","42","µg/m³"
"PM10","2018-08-05","14:00 - 15:00","37","µg/m³"
"PM10","2018-08-05","15:00 - 16:00","32","µg/m³"
"PM10","2018-08-05","16:00 - 17:00","51","µg/m³"
"PM10","2018-08-05","17:00 - 18:00","59","µg/m³"
"PM10","2018-08-05","18:00 - 19:00","76","µg/m³"
"PM10","2018-08-05","19:00 - 20:00","51","µg/m³"
"PM10","2018-08-05","20:00 - 21:00","40","µg/m³"
"PM10","2018-08-05","21:00 - 22:00","29","µg/m³"
"PM10","2018-08-05","22:00 - 23:00","28","µg/m³"
"PM10","2018-08-06","23:00 - 0:00","24","µg/m³"
"PM10","2018-08-06","0:00 - 1:00","23","µg/m³"
"PM10","2018-08-06","1:00 - 2:00","21","µg/m³"
"PM10","2018-08-06","2:00 - 3:00","22","µg/m³"
"PM10","2018-08-06","3:00 - 4:00","21","µg/m³"
"PM10","2018-08-06","4:00 - 5:00","21","µg/m³"
"PM10","2018-08-06","5:00 - 6:00","20","µg/m³"
"PM10","2018-08-06","6:00 - 7:00","32","µg/m³"
"PM10","2018-08-06","7:00 - 8:00","28","µg/m³"
"PM10","2018-08-06","8:00 - 9:00","37","µg/m³"
"PM10","2018-08-06","9:00 - 10:00","36","µg/m³"
"PM10","2018-08-06","10:00 - 11:00","53","µg/m³"
"PM10","2018-08-06","11:00 - 12:00","59","µg/m³"
"PM10","2018-08-06","12:00 - 13:00","52","µg/m³"
"PM10","2018-08-06","13:00 - 14:00","61","µg/m³"
"PM10","2018-08-06","14:00 - 15:00","74","µg/m³"
"PM10","2018-08-06","15:00 - 16:00","95","µg/m³"
"PM10","2018-08-06","16:00 - 17:00","103","µg/m³"
"PM10","2018-08-06","17:00 - 18:00","77","µg/m³"
"PM10","2018-08-06","18:00 - 19:00","96","µg/m³"
"PM10","2018-08-06","19:00 - 20:00","75","µg/m³"
"PM10","2018-08-06","20:00 - 21:00","74","µg/m³"
"PM10","2018-08-06","21:00 - 22:00","59","µg/m³"
"PM10","2018-08-06","22:00 - 23:00","74","µg/m³"
"PM10","2018-08-07","23:00 - 0:00","69","µg/m³"
"PM10","2018-08-07","0:00 - 1:00","44","µg/m³"
"PM10","2018-08-07","1:00 - 2:00","40","µg/m³"
"PM10","2018-08-07","2:00 - 3:00","30","µg/m³"
"PM10","2018-08-07","3:00 - 4:00","27","µg/m³"
"PM10","2018-08-07","4:00 - 5:00","25","µg/m³"
"PM10","2018-08-07","5:00 - 6:00","28","µg/m³"
"PM10","2018-08-07","6:00 - 7:00","32","µg/m³"
"PM10","2018-08-07","7:00 - 8:00","39","µg/m³"
"PM10","2018-08-07","8:00 - 9:00","40","µg/m³"
"PM10","2018-08-07","9:00 - 10:00","48","µg/m³"
"PM10","2018-08-07","10:00 - 11:00","69","µg/m³"
"PM10","2018-08-07","11:00 - 12:00","61","µg/m³"
"PM10","2018-08-07","12:00 - 13:00","66","µg/m³"
"PM10","2018-08-07","13:00 - 14:00","58","µg/m³"
"PM10","2018-08-07","14:00 - 15:00","60","µg/m³"
"PM10","2018-08-07","15:00 - 16:00","59","µg/m³"
"PM10","2018-08-07","16:00 - 17:00","62","µg/m³"
"PM10","2018-08-07","17:00 - 18:00","71","µg/m³"
"PM10","2018-08-07","18:00 - 19:00","68","µg/m³"
"PM10","2018-08-07","19:00 - 20:00","91","µg/m³"
"PM10","2018-08-07","20:00 - 21:00","114","µg/m³"
"PM10","2018-08-07","21:00 - 22:00","180","µg/m³"
"PM10","2018-08-07","22:00 - 23:00","109","µg/m³"
"PM10","2018-08-08","23:00 - 0:00","71","µg/m³"
"PM10","2018-08-08","0:00 - 1:00","29","µg/m³"
"PM10","2018-08-08","1:00 - 2:00","17","µg/m³"
"PM10","2018-08-08","2:00 - 3:00","17","µg/m³"
"PM10","2018-08-08","3:00 - 4:00","16","µg/m³"
"PM10","2018-08-08","4:00 - 5:00","13","µg/m³"
"PM10","2018-08-08","5:00 - 6:00","25","µg/m³"
"PM10","2018-08-08","6:00 - 7:00","25","µg/m³"
"PM10","2018-08-08","7:00 - 8:00","34","µg/m³"
"PM10","2018-08-08","8:00 - 9:00","46","µg/m³"
"PM10","2018-08-08","9:00 - 10:00","48","µg/m³"
"PM10","2018-08-08","10:00 - 11:00","61","µg/m³"
"PM10","2018-08-08","11:00 - 12:00","83","µg/m³"
"PM10","2018-08-08","12:00 - 13:00","93","µg/m³"
"PM10","2018-08-08","13:00 - 14:00","80","µg/m³"
"PM10","2018-08-08","14:00 - 15:00","74","µg/m³"
"PM10","2018-08-08","15:00 - 16:00","70","µg/m³"
"PM10","2018-08-08","16:00 - 17:00","87","µg/m³"
"PM10","2018-08-08","17:00 - 18:00","90","µg/m³"
"PM10","2018-08-08","18:00 - 19:00","116","µg/m³"
"PM10","2018-08-08","19:00 - 20:00","79","µg/m³"
"PM10","2018-08-08","20:00 - 21:00","72","µg/m³"
"PM10","2018-08-08","21:00 - 22:00","265","µg/m³"
"PM10","2018-08-08","22:00 - 23:00","238","µg/m³"
"PM10","2018-08-09","23:00 - 0:00","46","µg/m³"
"PM10","2018-08-09","0:00 - 1:00","31","µg/m³"
"PM10","2018-08-09","1:00 - 2:00","28","µg/m³"
"PM10","2018-08-09","2:00 - 3:00","24","µg/m³"
"PM10","2018-08-09","3:00 - 4:00","27","µg/m³"
"PM10","2018-08-09","4:00 - 5:00","43","µg/m³"
"PM10","2018-08-09","5:00 - 6:00","38","µg/m³"
"PM10","2018-08-09","6:00 - 7:00","30","µg/m³"
