"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2019-12-01","23:00 - 0:00","41","µg/m³"
"PM2.5","2019-12-01","0:00 - 1:00","38","µg/m³"
"PM2.5","2019-12-01","1:00 - 2:00","15","µg/m³"
"PM2.5","2019-12-01","2:00 - 3:00","31","µg/m³"
"PM2.5","2019-12-01","3:00 - 4:00","35","µg/m³"
"PM2.5","2019-12-01","4:00 - 5:00","37","µg/m³"
"PM2.5","2019-12-01","5:00 - 6:00","37","µg/m³"
"PM2.5","2019-12-01","6:00 - 7:00","11","µg/m³"
"PM2.5","2019-12-01","7:00 - 8:00","9","µg/m³"
"PM2.5","2019-12-01","8:00 - 9:00","8","µg/m³"
"PM2.5","2019-12-01","9:00 - 10:00","9","µg/m³"
"PM2.5","2019-12-01","10:00 - 11:00","10","µg/m³"
"PM2.5","2019-12-01","11:00 - 12:00","17","µg/m³"
"PM2.5","2019-12-01","12:00 - 13:00","12","µg/m³"
"PM2.5","2019-12-01","13:00 - 14:00","10","µg/m³"
"PM2.5","2019-12-01","14:00 - 15:00","11","µg/m³"
"PM2.5","2019-12-01","15:00 - 16:00","13","µg/m³"
"PM2.5","2019-12-01","16:00 - 17:00","16","µg/m³"
"PM2.5","2019-12-01","17:00 - 18:00","21","µg/m³"
"PM2.5","2019-12-01","18:00 - 19:00","33","µg/m³"
"PM2.5","2019-12-01","19:00 - 20:00","30","µg/m³"
"PM2.5","2019-12-01","20:00 - 21:00","27","µg/m³"
"PM2.5","2019-12-01","21:00 - 22:00","22","µg/m³"
"PM2.5","2019-12-01","22:00 - 23:00","20","µg/m³"
"PM2.5","2019-12-02","23:00 - 0:00","18","µg/m³"
"PM2.5","2019-12-02","0:00 - 1:00","14","µg/m³"
"PM2.5","2019-12-02","1:00 - 2:00","17","µg/m³"
"PM2.5","2019-12-02","2:00 - 3:00","15","µg/m³"
"PM2.5","2019-12-02","3:00 - 4:00","12","µg/m³"
"PM2.5","2019-12-02","4:00 - 5:00","15","µg/m³"
"PM2.5","2019-12-02","5:00 - 6:00","21","µg/m³"
"PM2.5","2019-12-02","6:00 - 7:00","22","µg/m³"
"PM2.5","2019-12-02","7:00 - 8:00","24","µg/m³"
"PM2.5","2019-12-02","8:00 - 9:00","22","µg/m³"
"PM2.5","2019-12-02","9:00 - 10:00","16","µg/m³"
"PM2.5","2019-12-02","10:00 - 11:00","11","µg/m³"
"PM2.5","2019-12-02","11:00 - 12:00","11","µg/m³"
"PM2.5","2019-12-02","12:00 - 13:00","13","µg/m³"
"PM2.5","2019-12-02","13:00 - 14:00","14","µg/m³"
"PM2.5","2019-12-02","14:00 - 15:00","15","µg/m³"
"PM2.5","2019-12-02","15:00 - 16:00","15","µg/m³"
"PM2.5","2019-12-02","16:00 - 17:00","13","µg/m³"
"PM2.5","2019-12-03","23:00 - 0:00","21","µg/m³"
"PM2.5","2019-12-03","1:00 - 2:00","18","µg/m³"
"PM2.5","2019-12-03","2:00 - 3:00","23","µg/m³"
"PM2.5","2019-12-03","3:00 - 4:00","19","µg/m³"
"PM2.5","2019-12-03","4:00 - 5:00","23","µg/m³"
"PM2.5","2019-12-03","5:00 - 6:00","25","µg/m³"
"PM2.5","2019-12-03","6:00 - 7:00","27","µg/m³"
"PM2.5","2019-12-03","7:00 - 8:00","26","µg/m³"
"PM2.5","2019-12-03","8:00 - 9:00","34","µg/m³"
"PM2.5","2019-12-03","9:00 - 10:00","60","µg/m³"
"PM2.5","2019-12-03","10:00 - 11:00","36","µg/m³"
"PM2.5","2019-12-03","11:00 - 12:00","47","µg/m³"
"PM2.5","2019-12-03","12:00 - 13:00","42","µg/m³"
"PM2.5","2019-12-03","13:00 - 14:00","50","µg/m³"
"PM2.5","2019-12-03","14:00 - 15:00","40","µg/m³"
"PM2.5","2019-12-03","15:00 - 16:00","42","µg/m³"
"PM2.5","2019-12-03","16:00 - 17:00","59","µg/m³"
"PM2.5","2019-12-03","17:00 - 18:00","61","µg/m³"
"PM2.5","2019-12-03","18:00 - 19:00","63","µg/m³"
"PM2.5","2019-12-03","19:00 - 20:00","71","µg/m³"
"PM2.5","2019-12-03","20:00 - 21:00","74","µg/m³"
"PM2.5","2019-12-03","21:00 - 22:00","48","µg/m³"
"PM2.5","2019-12-03","22:00 - 23:00","84","µg/m³"
"PM2.5","2019-12-04","23:00 - 0:00","93","µg/m³"
"PM2.5","2019-12-04","0:00 - 1:00","77","µg/m³"
"PM2.5","2019-12-04","1:00 - 2:00","69","µg/m³"
"PM2.5","2019-12-04","2:00 - 3:00","69","µg/m³"
"PM2.5","2019-12-04","3:00 - 4:00","67","µg/m³"
"PM2.5","2019-12-04","4:00 - 5:00","65","µg/m³"
"PM2.5","2019-12-04","5:00 - 6:00","59","µg/m³"
"PM2.5","2019-12-04","6:00 - 7:00","62","µg/m³"
"PM2.5","2019-12-04","7:00 - 8:00","59","µg/m³"
"PM2.5","2019-12-04","8:00 - 9:00","52","µg/m³"
"PM2.5","2019-12-04","9:00 - 10:00","47","µg/m³"
"PM2.5","2019-12-04","10:00 - 11:00","42","µg/m³"
"PM2.5","2019-12-04","11:00 - 12:00","16","µg/m³"
"PM2.5","2019-12-04","12:00 - 13:00","19","µg/m³"
"PM2.5","2019-12-04","13:00 - 14:00","31","µg/m³"
"PM2.5","2019-12-04","14:00 - 15:00","26","µg/m³"
"PM2.5","2019-12-04","15:00 - 16:00","22","µg/m³"
"PM2.5","2019-12-04","16:00 - 17:00","24","µg/m³"
"PM2.5","2019-12-04","17:00 - 18:00","21","µg/m³"
"PM2.5","2019-12-04","18:00 - 19:00","24","µg/m³"
"PM2.5","2019-12-04","19:00 - 20:00","23","µg/m³"
"PM2.5","2019-12-04","20:00 - 21:00","26","µg/m³"
"PM2.5","2019-12-04","21:00 - 22:00","28","µg/m³"
"PM2.5","2019-12-04","22:00 - 23:00","31","µg/m³"
"PM2.5","2019-12-05","23:00 - 0:00","29","µg/m³"
"PM2.5","2019-12-05","0:00 - 1:00","35","µg/m³"
"PM2.5","2019-12-05","1:00 - 2:00","28","µg/m³"
"PM2.5","2019-12-05","2:00 - 3:00","26","µg/m³"
"PM2.5","2019-12-05","3:00 - 4:00","23","µg/m³"
"PM2.5","2019-12-05","4:00 - 5:00","22","µg/m³"
"PM2.5","2019-12-05","5:00 - 6:00","24","µg/m³"
"PM2.5","2019-12-05","6:00 - 7:00","19","µg/m³"
"PM2.5","2019-12-05","7:00 - 8:00","27","µg/m³"
"PM2.5","2019-12-05","8:00 - 9:00","35","µg/m³"
"PM2.5","2019-12-05","9:00 - 10:00","30","µg/m³"
"PM2.5","2019-12-05","10:00 - 11:00","29","µg/m³"
"PM2.5","2019-12-05","11:00 - 12:00","24","µg/m³"
"PM2.5","2019-12-05","12:00 - 13:00","23","µg/m³"
"PM2.5","2019-12-05","13:00 - 14:00","36","µg/m³"
"PM2.5","2019-12-05","14:00 - 15:00","44","µg/m³"
"PM2.5","2019-12-05","15:00 - 16:00","41","µg/m³"
"PM2.5","2019-12-05","16:00 - 17:00","54","µg/m³"
"PM2.5","2019-12-05","17:00 - 18:00","56","µg/m³"
"PM2.5","2019-12-05","18:00 - 19:00","55","µg/m³"
"PM2.5","2019-12-05","19:00 - 20:00","54","µg/m³"
"PM2.5","2019-12-05","20:00 - 21:00","52","µg/m³"
"PM2.5","2019-12-05","21:00 - 22:00","51","µg/m³"
"PM2.5","2019-12-05","22:00 - 23:00","86","µg/m³"
"PM2.5","2019-12-06","23:00 - 0:00","85","µg/m³"
"PM2.5","2019-12-06","0:00 - 1:00","72","µg/m³"
"PM2.5","2019-12-06","1:00 - 2:00","66","µg/m³"
"PM2.5","2019-12-06","2:00 - 3:00","64","µg/m³"
"PM2.5","2019-12-06","3:00 - 4:00","57","µg/m³"
"PM2.5","2019-12-06","4:00 - 5:00","47","µg/m³"
"PM2.5","2019-12-06","5:00 - 6:00","44","µg/m³"
"PM2.5","2019-12-06","6:00 - 7:00","41","µg/m³"
"PM2.5","2019-12-06","7:00 - 8:00","36","µg/m³"
"PM2.5","2019-12-06","8:00 - 9:00","42","µg/m³"
"PM2.5","2019-12-06","9:00 - 10:00","31","µg/m³"
"PM2.5","2019-12-06","10:00 - 11:00","23","µg/m³"
"PM2.5","2019-12-06","11:00 - 12:00","45","µg/m³"
"PM2.5","2019-12-06","12:00 - 13:00","36","µg/m³"
"PM2.5","2019-12-06","13:00 - 14:00","33","µg/m³"
"PM2.5","2019-12-06","14:00 - 15:00","27","µg/m³"
"PM2.5","2019-12-06","15:00 - 16:00","24","µg/m³"
