"Parámetro","Fecha","Hora","Valor","Unidad"
"HR","2005-09-01","23:00 - 0:00","59","%"
"HR","2005-09-01","0:00 - 1:00","69","%"
"HR","2005-09-01","1:00 - 2:00","65","%"
"HR","2005-09-01","2:00 - 3:00","64","%"
"HR","2005-09-01","3:00 - 4:00","68","%"
"HR","2005-09-01","4:00 - 5:00","74","%"
"HR","2005-09-01","5:00 - 6:00","72","%"
"HR","2005-09-01","6:00 - 7:00","68","%"
"HR","2005-09-01","7:00 - 8:00","63","%"
"HR","2005-09-01","8:00 - 9:00","59","%"
"HR","2005-09-01","9:00 - 10:00","56","%"
"HR","2005-09-01","10:00 - 11:00","57","%"
"HR","2005-09-01","11:00 - 12:00","54","%"
"HR","2005-09-01","12:00 - 13:00","55","%"
"HR","2005-09-01","13:00 - 14:00","52","%"
"HR","2005-09-01","14:00 - 15:00","49","%"
"HR","2005-09-01","15:00 - 16:00","46","%"
"HR","2005-09-01","16:00 - 17:00","76","%"
"HR","2005-09-01","17:00 - 18:00","82","%"
"HR","2005-09-01","18:00 - 19:00","79","%"
"HR","2005-09-01","19:00 - 20:00","87","%"
"HR","2005-09-01","20:00 - 21:00","90","%"
"HR","2005-09-01","21:00 - 22:00","90","%"
"HR","2005-09-01","22:00 - 23:00","91","%"
"HR","2005-09-02","23:00 - 0:00","90","%"
"HR","2005-09-02","0:00 - 1:00","90","%"
"HR","2005-09-02","1:00 - 2:00","92","%"
"HR","2005-09-02","2:00 - 3:00","93","%"
"HR","2005-09-02","3:00 - 4:00","92","%"
"HR","2005-09-02","4:00 - 5:00","92","%"
"HR","2005-09-02","5:00 - 6:00","92","%"
"HR","2005-09-02","6:00 - 7:00","91","%"
"HR","2005-09-02","7:00 - 8:00","85","%"
"HR","2005-09-02","8:00 - 9:00","82","%"
"HR","2005-09-02","9:00 - 10:00","79","%"
"HR","2005-09-02","10:00 - 11:00","75","%"
"HR","2005-09-02","11:00 - 12:00","70","%"
"HR","2005-09-02","12:00 - 13:00","67","%"
"HR","2005-09-02","13:00 - 14:00","66","%"
"HR","2005-09-02","14:00 - 15:00","64","%"
"HR","2005-09-02","15:00 - 16:00","59","%"
"HR","2005-09-02","16:00 - 17:00","64","%"
"HR","2005-09-02","18:00 - 19:00","83","%"
"HR","2005-09-02","19:00 - 20:00","88","%"
"HR","2005-09-02","20:00 - 21:00","91","%"
"HR","2005-09-02","21:00 - 22:00","91","%"
"HR","2005-09-02","22:00 - 23:00","92","%"
"HR","2005-09-03","23:00 - 0:00","92","%"
"HR","2005-09-03","0:00 - 1:00","92","%"
"HR","2005-09-03","1:00 - 2:00","92","%"
"HR","2005-09-03","2:00 - 3:00","93","%"
"HR","2005-09-03","3:00 - 4:00","93","%"
"HR","2005-09-03","4:00 - 5:00","93","%"
"HR","2005-09-03","5:00 - 6:00","91","%"
"HR","2005-09-03","6:00 - 7:00","86","%"
"HR","2005-09-03","7:00 - 8:00","77","%"
"HR","2005-09-03","8:00 - 9:00","75","%"
"HR","2005-09-03","9:00 - 10:00","71","%"
"HR","2005-09-03","10:00 - 11:00","70","%"
"HR","2005-09-03","11:00 - 12:00","67","%"
"HR","2005-09-03","12:00 - 13:00","65","%"
"HR","2005-09-03","13:00 - 14:00","64","%"
"HR","2005-09-03","14:00 - 15:00","63","%"
"HR","2005-09-03","15:00 - 16:00","64","%"
"HR","2005-09-03","16:00 - 17:00","64","%"
"HR","2005-09-03","17:00 - 18:00","65","%"
"HR","2005-09-03","18:00 - 19:00","72","%"
"HR","2005-09-03","19:00 - 20:00","72","%"
"HR","2005-09-03","20:00 - 21:00","79","%"
"HR","2005-09-03","21:00 - 22:00","80","%"
"HR","2005-09-03","22:00 - 23:00","80","%"
"HR","2005-09-04","23:00 - 0:00","84","%"
"HR","2005-09-04","0:00 - 1:00","88","%"
"HR","2005-09-04","1:00 - 2:00","92","%"
"HR","2005-09-04","2:00 - 3:00","91","%"
"HR","2005-09-04","3:00 - 4:00","91","%"
"HR","2005-09-04","4:00 - 5:00","92","%"
"HR","2005-09-04","5:00 - 6:00","90","%"
"HR","2005-09-04","6:00 - 7:00","86","%"
"HR","2005-09-04","7:00 - 8:00","76","%"
"HR","2005-09-04","8:00 - 9:00","75","%"
"HR","2005-09-04","9:00 - 10:00","73","%"
"HR","2005-09-04","10:00 - 11:00","66","%"
"HR","2005-09-04","11:00 - 12:00","61","%"
"HR","2005-09-04","12:00 - 13:00","58","%"
"HR","2005-09-04","13:00 - 14:00","57","%"
"HR","2005-09-04","14:00 - 15:00","56","%"
"HR","2005-09-04","15:00 - 16:00","56","%"
"HR","2005-09-04","16:00 - 17:00","59","%"
"HR","2005-09-04","17:00 - 18:00","69","%"
"HR","2005-09-04","18:00 - 19:00","73","%"
"HR","2005-09-04","19:00 - 20:00","75","%"
"HR","2005-09-04","20:00 - 21:00","74","%"
"HR","2005-09-04","21:00 - 22:00","79","%"
"HR","2005-09-04","22:00 - 23:00","82","%"
"HR","2005-09-05","23:00 - 0:00","71","%"
"HR","2005-09-05","0:00 - 1:00","77","%"
"HR","2005-09-05","1:00 - 2:00","80","%"
"HR","2005-09-05","2:00 - 3:00","83","%"
"HR","2005-09-05","3:00 - 4:00","83","%"
"HR","2005-09-05","4:00 - 5:00","88","%"
"HR","2005-09-05","5:00 - 6:00","88","%"
"HR","2005-09-05","6:00 - 7:00","84","%"
"HR","2005-09-05","7:00 - 8:00","77","%"
"HR","2005-09-05","8:00 - 9:00","74","%"
"HR","2005-09-05","9:00 - 10:00","68","%"
"HR","2005-09-05","10:00 - 11:00","63","%"
"HR","2005-09-05","11:00 - 12:00","59","%"
"HR","2005-09-05","12:00 - 13:00","55","%"
"HR","2005-09-05","13:00 - 14:00","53","%"
"HR","2005-09-05","14:00 - 15:00","52","%"
"HR","2005-09-05","15:00 - 16:00","53","%"
"HR","2005-09-05","16:00 - 17:00","53","%"
"HR","2005-09-05","17:00 - 18:00","54","%"
"HR","2005-09-05","18:00 - 19:00","57","%"
"HR","2005-09-05","19:00 - 20:00","59","%"
"HR","2005-09-05","20:00 - 21:00","57","%"
"HR","2005-09-05","21:00 - 22:00","53","%"
"HR","2005-09-05","22:00 - 23:00","57","%"
"HR","2005-09-06","23:00 - 0:00","67","%"
"HR","2005-09-06","0:00 - 1:00","71","%"
"HR","2005-09-06","1:00 - 2:00","75","%"
"HR","2005-09-06","2:00 - 3:00","76","%"
"HR","2005-09-06","3:00 - 4:00","86","%"
"HR","2005-09-06","4:00 - 5:00","91","%"
"HR","2005-09-06","5:00 - 6:00","90","%"
"HR","2005-09-06","6:00 - 7:00","86","%"
"HR","2005-09-06","7:00 - 8:00","78","%"
"HR","2005-09-06","8:00 - 9:00","71","%"
"HR","2005-09-06","9:00 - 10:00","66","%"
