"Parámetro","Fecha","Hora","Valor","Unidad"
"HR","2006-05-01","23:00 - 0:00","48","%"
"HR","2006-05-01","0:00 - 1:00","49","%"
"HR","2006-05-01","1:00 - 2:00","48","%"
"HR","2006-05-01","2:00 - 3:00","49","%"
"HR","2006-05-01","3:00 - 4:00","51","%"
"HR","2006-05-01","4:00 - 5:00","52","%"
"HR","2006-05-01","5:00 - 6:00","53","%"
"HR","2006-05-01","6:00 - 7:00","52","%"
"HR","2006-05-01","7:00 - 8:00","46","%"
"HR","2006-05-01","8:00 - 9:00","50","%"
"HR","2006-05-01","9:00 - 10:00","55","%"
"HR","2006-05-01","10:00 - 11:00","47","%"
"HR","2006-05-01","11:00 - 12:00","42","%"
"HR","2006-05-01","12:00 - 13:00","40","%"
"HR","2006-05-01","13:00 - 14:00","37","%"
"HR","2006-05-01","14:00 - 15:00","36","%"
"HR","2006-05-01","15:00 - 16:00","37","%"
"HR","2006-05-01","16:00 - 17:00","37","%"
"HR","2006-05-01","17:00 - 18:00","37","%"
"HR","2006-05-01","18:00 - 19:00","38","%"
"HR","2006-05-01","19:00 - 20:00","46","%"
"HR","2006-05-01","20:00 - 21:00","52","%"
"HR","2006-05-01","21:00 - 22:00","50","%"
"HR","2006-05-01","22:00 - 23:00","59","%"
"HR","2006-05-02","23:00 - 0:00","67","%"
"HR","2006-05-02","0:00 - 1:00","70","%"
"HR","2006-05-02","1:00 - 2:00","71","%"
"HR","2006-05-02","2:00 - 3:00","73","%"
"HR","2006-05-02","3:00 - 4:00","76","%"
"HR","2006-05-02","4:00 - 5:00","78","%"
"HR","2006-05-02","5:00 - 6:00","81","%"
"HR","2006-05-02","6:00 - 7:00","80","%"
"HR","2006-05-02","7:00 - 8:00","75","%"
"HR","2006-05-02","8:00 - 9:00","67","%"
"HR","2006-05-02","9:00 - 10:00","61","%"
"HR","2006-05-02","10:00 - 11:00","57","%"
"HR","2006-05-02","11:00 - 12:00","50","%"
"HR","2006-05-02","12:00 - 13:00","46","%"
"HR","2006-05-02","13:00 - 14:00","41","%"
"HR","2006-05-02","14:00 - 15:00","37","%"
"HR","2006-05-02","15:00 - 16:00","34","%"
"HR","2006-05-02","16:00 - 17:00","34","%"
"HR","2006-05-02","17:00 - 18:00","33","%"
"HR","2006-05-02","18:00 - 19:00","57","%"
"HR","2006-05-02","19:00 - 20:00","65","%"
"HR","2006-05-02","20:00 - 21:00","69","%"
"HR","2006-05-02","21:00 - 22:00","74","%"
"HR","2006-05-02","22:00 - 23:00","77","%"
"HR","2006-05-03","23:00 - 0:00","81","%"
"HR","2006-05-03","0:00 - 1:00","82","%"
"HR","2006-05-03","1:00 - 2:00","81","%"
"HR","2006-05-03","2:00 - 3:00","80","%"
"HR","2006-05-03","3:00 - 4:00","80","%"
"HR","2006-05-03","4:00 - 5:00","81","%"
"HR","2006-05-03","5:00 - 6:00","81","%"
"HR","2006-05-03","6:00 - 7:00","79","%"
"HR","2006-05-03","7:00 - 8:00","75","%"
"HR","2006-05-03","8:00 - 9:00","70","%"
"HR","2006-05-03","9:00 - 10:00","60","%"
"HR","2006-05-03","10:00 - 11:00","60","%"
"HR","2006-05-03","11:00 - 12:00","56","%"
"HR","2006-05-03","12:00 - 13:00","51","%"
"HR","2006-05-03","13:00 - 14:00","49","%"
"HR","2006-05-03","14:00 - 15:00","49","%"
"HR","2006-05-03","15:00 - 16:00","48","%"
"HR","2006-05-03","16:00 - 17:00","48","%"
"HR","2006-05-03","17:00 - 18:00","50","%"
"HR","2006-05-03","18:00 - 19:00","51","%"
"HR","2006-05-03","19:00 - 20:00","52","%"
"HR","2006-05-03","20:00 - 21:00","68","%"
"HR","2006-05-03","21:00 - 22:00","72","%"
"HR","2006-05-03","22:00 - 23:00","75","%"
"HR","2006-05-04","23:00 - 0:00","77","%"
"HR","2006-05-04","0:00 - 1:00","79","%"
"HR","2006-05-04","1:00 - 2:00","78","%"
"HR","2006-05-04","2:00 - 3:00","79","%"
"HR","2006-05-04","3:00 - 4:00","79","%"
"HR","2006-05-04","4:00 - 5:00","80","%"
"HR","2006-05-04","5:00 - 6:00","80","%"
"HR","2006-05-04","6:00 - 7:00","80","%"
"HR","2006-05-04","7:00 - 8:00","79","%"
"HR","2006-05-04","8:00 - 9:00","73","%"
