"Parámetro","Fecha","Hora","Valor","Unidad"
"HR","2009-10-01","23:00 - 0:00","78","%"
"HR","2009-10-01","0:00 - 1:00","80","%"
"HR","2009-10-01","1:00 - 2:00","82","%"
"HR","2009-10-01","2:00 - 3:00","83","%"
"HR","2009-10-01","3:00 - 4:00","83","%"
"HR","2009-10-01","4:00 - 5:00","87","%"
"HR","2009-10-01","5:00 - 6:00","88","%"
"HR","2009-10-01","6:00 - 7:00","88","%"
"HR","2009-10-01","7:00 - 8:00","81","%"
"HR","2009-10-01","8:00 - 9:00","66","%"
"HR","2009-10-01","9:00 - 10:00","53","%"
"HR","2009-10-01","10:00 - 11:00","54","%"
"HR","2009-10-01","11:00 - 12:00","50","%"
"HR","2009-10-01","12:00 - 13:00","49","%"
"HR","2009-10-01","13:00 - 14:00","50","%"
"HR","2009-10-01","14:00 - 15:00","53","%"
"HR","2009-10-01","15:00 - 16:00","58","%"
"HR","2009-10-01","16:00 - 17:00","64","%"
"HR","2009-10-01","17:00 - 18:00","70","%"
"HR","2009-10-01","18:00 - 19:00","68","%"
"HR","2009-10-01","19:00 - 20:00","67","%"
"HR","2009-10-01","20:00 - 21:00","72","%"
"HR","2009-10-01","21:00 - 22:00","78","%"
"HR","2009-10-01","22:00 - 23:00","84","%"
"HR","2009-10-02","23:00 - 0:00","83","%"
"HR","2009-10-02","0:00 - 1:00","79","%"
"HR","2009-10-02","1:00 - 2:00","68","%"
"HR","2009-10-02","2:00 - 3:00","70","%"
"HR","2009-10-02","3:00 - 4:00","64","%"
"HR","2009-10-02","4:00 - 5:00","64","%"
"HR","2009-10-02","5:00 - 6:00","65","%"
"HR","2009-10-02","6:00 - 7:00","64","%"
"HR","2009-10-02","7:00 - 8:00","57","%"
"HR","2009-10-02","8:00 - 9:00","49","%"
"HR","2009-10-02","9:00 - 10:00","41","%"
"HR","2009-10-02","10:00 - 11:00","42","%"
"HR","2009-10-02","11:00 - 12:00","39","%"
"HR","2009-10-02","12:00 - 13:00","38","%"
"HR","2009-10-02","13:00 - 14:00","41","%"
"HR","2009-10-02","14:00 - 15:00","41","%"
"HR","2009-10-02","15:00 - 16:00","45","%"
"HR","2009-10-02","16:00 - 17:00","54","%"
"HR","2009-10-02","17:00 - 18:00","58","%"
"HR","2009-10-02","18:00 - 19:00","63","%"
"HR","2009-10-02","19:00 - 20:00","69","%"
"HR","2009-10-02","20:00 - 21:00","69","%"
"HR","2009-10-02","21:00 - 22:00","69","%"
"HR","2009-10-02","22:00 - 23:00","70","%"
"HR","2009-10-03","23:00 - 0:00","73","%"
"HR","2009-10-03","0:00 - 1:00","77","%"
"HR","2009-10-03","1:00 - 2:00","79","%"
"HR","2009-10-03","2:00 - 3:00","80","%"
"HR","2009-10-03","3:00 - 4:00","79","%"
"HR","2009-10-03","4:00 - 5:00","80","%"
"HR","2009-10-03","5:00 - 6:00","80","%"
"HR","2009-10-03","6:00 - 7:00","76","%"
"HR","2009-10-03","7:00 - 8:00","69","%"
"HR","2009-10-03","8:00 - 9:00","63","%"
"HR","2009-10-03","9:00 - 10:00","61","%"
"HR","2009-10-03","10:00 - 11:00","62","%"
"HR","2009-10-03","11:00 - 12:00","61","%"
"HR","2009-10-03","12:00 - 13:00","61","%"
"HR","2009-10-03","13:00 - 14:00","62","%"
"HR","2009-10-03","14:00 - 15:00","64","%"
"HR","2009-10-03","15:00 - 16:00","67","%"
"HR","2009-10-03","16:00 - 17:00","67","%"
"HR","2009-10-03","17:00 - 18:00","68","%"
"HR","2009-10-03","18:00 - 19:00","71","%"
"HR","2009-10-03","19:00 - 20:00","73","%"
"HR","2009-10-03","20:00 - 21:00","74","%"
"HR","2009-10-03","21:00 - 22:00","75","%"
"HR","2009-10-03","22:00 - 23:00","76","%"
"HR","2009-10-04","23:00 - 0:00","81","%"
"HR","2009-10-04","0:00 - 1:00","83","%"
"HR","2009-10-04","1:00 - 2:00","84","%"
"HR","2009-10-04","2:00 - 3:00","84","%"
"HR","2009-10-04","3:00 - 4:00","86","%"
"HR","2009-10-04","4:00 - 5:00","87","%"
"HR","2009-10-04","5:00 - 6:00","85","%"
"HR","2009-10-04","6:00 - 7:00","85","%"
"HR","2009-10-04","7:00 - 8:00","82","%"
"HR","2009-10-04","8:00 - 9:00","72","%"
"HR","2009-10-04","9:00 - 10:00","67","%"
"HR","2009-10-04","10:00 - 11:00","66","%"
"HR","2009-10-04","11:00 - 12:00","57","%"
"HR","2009-10-04","12:00 - 13:00","52","%"
"HR","2009-10-04","13:00 - 14:00","54","%"
"HR","2009-10-04","14:00 - 15:00","58","%"
"HR","2009-10-04","15:00 - 16:00","61","%"
"HR","2009-10-04","16:00 - 17:00","65","%"
"HR","2009-10-04","17:00 - 18:00","71","%"
"HR","2009-10-04","18:00 - 19:00","72","%"
"HR","2009-10-04","19:00 - 20:00","73","%"
"HR","2009-10-04","20:00 - 21:00","71","%"
"HR","2009-10-04","21:00 - 22:00","75","%"
"HR","2009-10-04","22:00 - 23:00","79","%"
"HR","2009-10-05","23:00 - 0:00","77","%"
"HR","2009-10-05","0:00 - 1:00","81","%"
"HR","2009-10-05","1:00 - 2:00","83","%"
"HR","2009-10-05","2:00 - 3:00","83","%"
"HR","2009-10-05","3:00 - 4:00","81","%"
"HR","2009-10-05","4:00 - 5:00","76","%"
"HR","2009-10-05","5:00 - 6:00","73","%"
"HR","2009-10-05","6:00 - 7:00","71","%"
"HR","2009-10-05","7:00 - 8:00","58","%"
"HR","2009-10-05","8:00 - 9:00","47","%"
"HR","2009-10-05","9:00 - 10:00","41","%"
"HR","2009-10-05","10:00 - 11:00","44","%"
"HR","2009-10-05","11:00 - 12:00","55","%"
"HR","2009-10-05","12:00 - 13:00","55","%"
"HR","2009-10-05","13:00 - 14:00","59","%"
"HR","2009-10-05","14:00 - 15:00","58","%"
"HR","2009-10-05","15:00 - 16:00","61","%"
"HR","2009-10-05","16:00 - 17:00","64","%"
"HR","2009-10-05","17:00 - 18:00","69","%"
"HR","2009-10-05","18:00 - 19:00","73","%"
"HR","2009-10-05","19:00 - 20:00","73","%"
"HR","2009-10-05","20:00 - 21:00","74","%"
"HR","2009-10-05","21:00 - 22:00","74","%"
"HR","2009-10-05","22:00 - 23:00","74","%"
"HR","2009-10-06","23:00 - 0:00","75","%"
"HR","2009-10-06","0:00 - 1:00","79","%"
"HR","2009-10-06","1:00 - 2:00","81","%"
"HR","2009-10-06","2:00 - 3:00","84","%"
"HR","2009-10-06","3:00 - 4:00","88","%"
"HR","2009-10-06","4:00 - 5:00","87","%"
"HR","2009-10-06","5:00 - 6:00","87","%"
"HR","2009-10-06","6:00 - 7:00","86","%"
"HR","2009-10-06","7:00 - 8:00","81","%"
"HR","2009-10-06","8:00 - 9:00","79","%"
"HR","2009-10-06","9:00 - 10:00","73","%"
"HR","2009-10-06","10:00 - 11:00","70","%"
