"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2018-10-01","0:00 - 1:00","19","µg/m³"
"PM10","2018-10-01","1:00 - 2:00","9","µg/m³"
"PM10","2018-10-01","2:00 - 3:00","17","µg/m³"
"PM10","2018-10-01","3:00 - 4:00","17","µg/m³"
"PM10","2018-10-01","4:00 - 5:00","12","µg/m³"
"PM10","2018-10-01","5:00 - 6:00","17","µg/m³"
"PM10","2018-10-01","6:00 - 7:00","23","µg/m³"
"PM10","2018-10-01","7:00 - 8:00","22","µg/m³"
"PM10","2018-10-01","8:00 - 9:00","25","µg/m³"
"PM10","2018-10-01","9:00 - 10:00","22","µg/m³"
"PM10","2018-10-01","10:00 - 11:00","30","µg/m³"
"PM10","2018-10-01","12:00 - 13:00","33","µg/m³"
"PM10","2018-10-01","13:00 - 14:00","74","µg/m³"
"PM10","2018-10-01","14:00 - 15:00","23","µg/m³"
"PM10","2018-10-01","15:00 - 16:00","20","µg/m³"
"PM10","2018-10-01","16:00 - 17:00","27","µg/m³"
"PM10","2018-10-01","17:00 - 18:00","25","µg/m³"
"PM10","2018-10-01","18:00 - 19:00","17","µg/m³"
"PM10","2018-10-01","19:00 - 20:00","29","µg/m³"
"PM10","2018-10-01","20:00 - 21:00","13","µg/m³"
"PM10","2018-10-01","21:00 - 22:00","12","µg/m³"
"PM10","2018-10-01","22:00 - 23:00","6","µg/m³"
"PM10","2018-10-02","23:00 - 0:00","3","µg/m³"
"PM10","2018-10-02","0:00 - 1:00","19","µg/m³"
"PM10","2018-10-02","1:00 - 2:00","13","µg/m³"
"PM10","2018-10-02","2:00 - 3:00","12","µg/m³"
"PM10","2018-10-02","3:00 - 4:00","23","µg/m³"
"PM10","2018-10-02","4:00 - 5:00","22","µg/m³"
"PM10","2018-10-02","5:00 - 6:00","24","µg/m³"
"PM10","2018-10-02","6:00 - 7:00","30","µg/m³"
"PM10","2018-10-02","7:00 - 8:00","28","µg/m³"
"PM10","2018-10-02","8:00 - 9:00","32","µg/m³"
"PM10","2018-10-02","9:00 - 10:00","25","µg/m³"
"PM10","2018-10-02","10:00 - 11:00","38","µg/m³"
"PM10","2018-10-02","11:00 - 12:00","60","µg/m³"
"PM10","2018-10-02","12:00 - 13:00","53","µg/m³"
"PM10","2018-10-02","13:00 - 14:00","13","µg/m³"
"PM10","2018-10-02","14:00 - 15:00","26","µg/m³"
"PM10","2018-10-02","15:00 - 16:00","26","µg/m³"
"PM10","2018-10-02","16:00 - 17:00","21","µg/m³"
"PM10","2018-10-02","17:00 - 18:00","21","µg/m³"
"PM10","2018-10-02","18:00 - 19:00","18","µg/m³"
"PM10","2018-10-02","19:00 - 20:00","29","µg/m³"
"PM10","2018-10-02","20:00 - 21:00","49","µg/m³"
"PM10","2018-10-02","21:00 - 22:00","17","µg/m³"
"PM10","2018-10-02","22:00 - 23:00","10","µg/m³"
"PM10","2018-10-03","23:00 - 0:00","3","µg/m³"
"PM10","2018-10-03","2:00 - 3:00","6","µg/m³"
"PM10","2018-10-03","3:00 - 4:00","28","µg/m³"
"PM10","2018-10-03","4:00 - 5:00","18","µg/m³"
"PM10","2018-10-03","5:00 - 6:00","23","µg/m³"
"PM10","2018-10-03","6:00 - 7:00","33","µg/m³"
"PM10","2018-10-03","7:00 - 8:00","37","µg/m³"
"PM10","2018-10-03","8:00 - 9:00","32","µg/m³"
"PM10","2018-10-03","9:00 - 10:00","36","µg/m³"
"PM10","2018-10-03","10:00 - 11:00","35","µg/m³"
"PM10","2018-10-03","11:00 - 12:00","71","µg/m³"
"PM10","2018-10-03","12:00 - 13:00","65","µg/m³"
"PM10","2018-10-03","13:00 - 14:00","26","µg/m³"
"PM10","2018-10-03","14:00 - 15:00","29","µg/m³"
"PM10","2018-10-03","15:00 - 16:00","21","µg/m³"
"PM10","2018-10-03","16:00 - 17:00","29","µg/m³"
"PM10","2018-10-03","17:00 - 18:00","29","µg/m³"
"PM10","2018-10-03","18:00 - 19:00","33","µg/m³"
