"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2013-07-20","9:00 - 10:00","20","µg/m³"
"PM2.5","2013-07-20","10:00 - 11:00","9","µg/m³"
"PM2.5","2013-07-20","11:00 - 12:00","9","µg/m³"
"PM2.5","2013-07-20","12:00 - 13:00","16","µg/m³"
"PM2.5","2013-07-20","13:00 - 14:00","13","µg/m³"
"PM2.5","2013-07-20","14:00 - 15:00","29","µg/m³"
"PM2.5","2013-07-20","15:00 - 16:00","11","µg/m³"
"PM2.5","2013-07-20","16:00 - 17:00","12","µg/m³"
"PM2.5","2013-07-20","20:00 - 21:00","14","µg/m³"
"PM2.5","2013-07-20","21:00 - 22:00","9","µg/m³"
"PM2.5","2013-07-20","22:00 - 23:00","3","µg/m³"
"PM2.5","2013-07-21","23:00 - 0:00","5","µg/m³"
"PM2.5","2013-07-21","0:00 - 1:00","6","µg/m³"
"PM2.5","2013-07-21","1:00 - 2:00","9","µg/m³"
"PM2.5","2013-07-21","2:00 - 3:00","12","µg/m³"
"PM2.5","2013-07-21","3:00 - 4:00","5","µg/m³"
"PM2.5","2013-07-21","4:00 - 5:00","3","µg/m³"
"PM2.5","2013-07-21","5:00 - 6:00","4","µg/m³"
"PM2.5","2013-07-21","7:00 - 8:00","4","µg/m³"
"PM2.5","2013-07-21","8:00 - 9:00","8","µg/m³"
"PM2.5","2013-07-21","9:00 - 10:00","16","µg/m³"
"PM2.5","2013-07-21","10:00 - 11:00","11","µg/m³"
"PM2.5","2013-07-21","11:00 - 12:00","11","µg/m³"
"PM2.5","2013-07-21","12:00 - 13:00","26","µg/m³"
"PM2.5","2013-07-21","13:00 - 14:00","17","µg/m³"
"PM2.5","2013-07-21","14:00 - 15:00","22","µg/m³"
"PM2.5","2013-07-21","15:00 - 16:00","21","µg/m³"
"PM2.5","2013-07-21","16:00 - 17:00","8","µg/m³"
"PM2.5","2013-07-21","17:00 - 18:00","10","µg/m³"
"PM2.5","2013-07-21","18:00 - 19:00","11","µg/m³"
"PM2.5","2013-07-21","19:00 - 20:00","7","µg/m³"
"PM2.5","2013-07-21","20:00 - 21:00","8","µg/m³"
"PM2.5","2013-07-21","21:00 - 22:00","10","µg/m³"
"PM2.5","2013-07-21","22:00 - 23:00","10","µg/m³"
"PM2.5","2013-07-22","23:00 - 0:00","9","µg/m³"
"PM2.5","2013-07-22","0:00 - 1:00","4","µg/m³"
"PM2.5","2013-07-22","1:00 - 2:00","4","µg/m³"
"PM2.5","2013-07-22","2:00 - 3:00","6","µg/m³"
"PM2.5","2013-07-22","3:00 - 4:00","4","µg/m³"
"PM2.5","2013-07-22","4:00 - 5:00","5","µg/m³"
"PM2.5","2013-07-22","5:00 - 6:00","7","µg/m³"
"PM2.5","2013-07-22","6:00 - 7:00","8","µg/m³"
"PM2.5","2013-07-22","7:00 - 8:00","8","µg/m³"
"PM2.5","2013-07-22","8:00 - 9:00","11","µg/m³"
"PM2.5","2013-07-22","9:00 - 10:00","9","µg/m³"
"PM2.5","2013-07-22","10:00 - 11:00","7","µg/m³"
"PM2.5","2013-07-22","11:00 - 12:00","11","µg/m³"
"PM2.5","2013-07-22","12:00 - 13:00","23","µg/m³"
"PM2.5","2013-07-22","13:00 - 14:00","21","µg/m³"
"PM2.5","2013-07-22","14:00 - 15:00","15","µg/m³"
"PM2.5","2013-07-22","15:00 - 16:00","18","µg/m³"
"PM2.5","2013-07-22","16:00 - 17:00","17","µg/m³"
"PM2.5","2013-07-22","17:00 - 18:00","13","µg/m³"
"PM2.5","2013-07-22","18:00 - 19:00","12","µg/m³"
"PM2.5","2013-07-22","19:00 - 20:00","9","µg/m³"
"PM2.5","2013-07-22","20:00 - 21:00","23","µg/m³"
"PM2.5","2013-07-22","21:00 - 22:00","6","µg/m³"
"PM2.5","2013-07-22","22:00 - 23:00","9","µg/m³"
"PM2.5","2013-07-23","23:00 - 0:00","11","µg/m³"
"PM2.5","2013-07-23","0:00 - 1:00","16","µg/m³"
"PM2.5","2013-07-23","1:00 - 2:00","15","µg/m³"
"PM2.5","2013-07-23","2:00 - 3:00","16","µg/m³"
"PM2.5","2013-07-23","3:00 - 4:00","11","µg/m³"
"PM2.5","2013-07-23","4:00 - 5:00","12","µg/m³"
"PM2.5","2013-07-23","5:00 - 6:00","12","µg/m³"
