"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2018-11-01","0:00 - 1:00","127","µg/m³"
"PM10","2018-11-01","1:00 - 2:00","83","µg/m³"
"PM10","2018-11-01","2:00 - 3:00","60","µg/m³"
"PM10","2018-11-01","3:00 - 4:00","53","µg/m³"
"PM10","2018-11-01","4:00 - 5:00","32","µg/m³"
"PM10","2018-11-01","5:00 - 6:00","21","µg/m³"
"PM10","2018-11-01","7:00 - 8:00","25","µg/m³"
"PM10","2018-11-01","8:00 - 9:00","35","µg/m³"
"PM10","2018-11-01","9:00 - 10:00","42","µg/m³"
"PM10","2018-11-01","10:00 - 11:00","42","µg/m³"
"PM10","2018-11-01","11:00 - 12:00","42","µg/m³"
"PM10","2018-11-01","12:00 - 13:00","52","µg/m³"
"PM10","2018-11-01","13:00 - 14:00","63","µg/m³"
"PM10","2018-11-01","14:00 - 15:00","54","µg/m³"
"PM10","2018-11-01","15:00 - 16:00","68","µg/m³"
"PM10","2018-11-01","16:00 - 17:00","78","µg/m³"
"PM10","2018-11-01","17:00 - 18:00","52","µg/m³"
"PM10","2018-11-01","18:00 - 19:00","43","µg/m³"
"PM10","2018-11-01","19:00 - 20:00","35","µg/m³"
"PM10","2018-11-01","20:00 - 21:00","35","µg/m³"
"PM10","2018-11-01","21:00 - 22:00","39","µg/m³"
"PM10","2018-11-01","22:00 - 23:00","34","µg/m³"
"PM10","2018-11-02","23:00 - 0:00","28","µg/m³"
"PM10","2018-11-02","0:00 - 1:00","39","µg/m³"
"PM10","2018-11-02","1:00 - 2:00","35","µg/m³"
"PM10","2018-11-02","2:00 - 3:00","28","µg/m³"
"PM10","2018-11-02","3:00 - 4:00","28","µg/m³"
"PM10","2018-11-02","4:00 - 5:00","58","µg/m³"
"PM10","2018-11-02","5:00 - 6:00","50","µg/m³"
"PM10","2018-11-02","6:00 - 7:00","42","µg/m³"
"PM10","2018-11-02","7:00 - 8:00","28","µg/m³"
"PM10","2018-11-02","8:00 - 9:00","38","µg/m³"
"PM10","2018-11-02","9:00 - 10:00","55","µg/m³"
"PM10","2018-11-02","10:00 - 11:00","60","µg/m³"
"PM10","2018-11-02","11:00 - 12:00","49","µg/m³"
"PM10","2018-11-02","12:00 - 13:00","50","µg/m³"
"PM10","2018-11-02","13:00 - 14:00","50","µg/m³"
"PM10","2018-11-02","14:00 - 15:00","43","µg/m³"
"PM10","2018-11-02","15:00 - 16:00","43","µg/m³"
"PM10","2018-11-02","16:00 - 17:00","46","µg/m³"
"PM10","2018-11-02","17:00 - 18:00","44","µg/m³"
"PM10","2018-11-02","18:00 - 19:00","46","µg/m³"
"PM10","2018-11-02","19:00 - 20:00","51","µg/m³"
"PM10","2018-11-02","20:00 - 21:00","49","µg/m³"
"PM10","2018-11-02","21:00 - 22:00","58","µg/m³"
"PM10","2018-11-02","22:00 - 23:00","44","µg/m³"
"PM10","2018-11-03","23:00 - 0:00","42","µg/m³"
"PM10","2018-11-03","0:00 - 1:00","45","µg/m³"
"PM10","2018-11-03","1:00 - 2:00","30","µg/m³"
"PM10","2018-11-03","2:00 - 3:00","32","µg/m³"
"PM10","2018-11-03","3:00 - 4:00","42","µg/m³"
"PM10","2018-11-03","4:00 - 5:00","42","µg/m³"
"PM10","2018-11-03","5:00 - 6:00","43","µg/m³"
"PM10","2018-11-03","6:00 - 7:00","46","µg/m³"
"PM10","2018-11-03","7:00 - 8:00","66","µg/m³"
"PM10","2018-11-03","8:00 - 9:00","70","µg/m³"
"PM10","2018-11-03","9:00 - 10:00","95","µg/m³"
"PM10","2018-11-03","10:00 - 11:00","101","µg/m³"
"PM10","2018-11-03","11:00 - 12:00","91","µg/m³"
"PM10","2018-11-03","12:00 - 13:00","97","µg/m³"
"PM10","2018-11-03","13:00 - 14:00","104","µg/m³"
"PM10","2018-11-03","14:00 - 15:00","113","µg/m³"
"PM10","2018-11-03","15:00 - 16:00","74","µg/m³"
"PM10","2018-11-03","16:00 - 17:00","57","µg/m³"
"PM10","2018-11-03","17:00 - 18:00","49","µg/m³"
"PM10","2018-11-03","18:00 - 19:00","50","µg/m³"
"PM10","2018-11-03","19:00 - 20:00","73","µg/m³"
"PM10","2018-11-03","20:00 - 21:00","82","µg/m³"
"PM10","2018-11-03","21:00 - 22:00","63","µg/m³"
"PM10","2018-11-03","22:00 - 23:00","90","µg/m³"
"PM10","2018-11-04","23:00 - 0:00","69","µg/m³"
"PM10","2018-11-04","0:00 - 1:00","59","µg/m³"
"PM10","2018-11-04","1:00 - 2:00","54","µg/m³"
"PM10","2018-11-04","2:00 - 3:00","60","µg/m³"
"PM10","2018-11-04","3:00 - 4:00","79","µg/m³"
"PM10","2018-11-04","4:00 - 5:00","57","µg/m³"
"PM10","2018-11-04","5:00 - 6:00","53","µg/m³"
"PM10","2018-11-04","6:00 - 7:00","62","µg/m³"
"PM10","2018-11-04","7:00 - 8:00","59","µg/m³"
"PM10","2018-11-04","8:00 - 9:00","66","µg/m³"
"PM10","2018-11-04","9:00 - 10:00","69","µg/m³"
"PM10","2018-11-04","10:00 - 11:00","50","µg/m³"
"PM10","2018-11-04","11:00 - 12:00","44","µg/m³"
"PM10","2018-11-04","12:00 - 13:00","43","µg/m³"
"PM10","2018-11-04","13:00 - 14:00","44","µg/m³"
"PM10","2018-11-04","14:00 - 15:00","41","µg/m³"
"PM10","2018-11-04","15:00 - 16:00","36","µg/m³"
"PM10","2018-11-04","16:00 - 17:00","34","µg/m³"
"PM10","2018-11-04","17:00 - 18:00","35","µg/m³"
"PM10","2018-11-04","18:00 - 19:00","35","µg/m³"
"PM10","2018-11-04","19:00 - 20:00","46","µg/m³"
"PM10","2018-11-04","20:00 - 21:00","24","µg/m³"
"PM10","2018-11-04","21:00 - 22:00","28","µg/m³"
"PM10","2018-11-04","22:00 - 23:00","32","µg/m³"
"PM10","2018-11-05","23:00 - 0:00","30","µg/m³"
"PM10","2018-11-05","0:00 - 1:00","26","µg/m³"
"PM10","2018-11-05","1:00 - 2:00","17","µg/m³"
"PM10","2018-11-05","2:00 - 3:00","21","µg/m³"
"PM10","2018-11-05","3:00 - 4:00","24","µg/m³"
"PM10","2018-11-05","4:00 - 5:00","35","µg/m³"
"PM10","2018-11-05","5:00 - 6:00","24","µg/m³"
"PM10","2018-11-05","6:00 - 7:00","31","µg/m³"
"PM10","2018-11-05","7:00 - 8:00","29","µg/m³"
"PM10","2018-11-05","8:00 - 9:00","42","µg/m³"
"PM10","2018-11-05","9:00 - 10:00","66","µg/m³"
"PM10","2018-11-05","10:00 - 11:00","78","µg/m³"
"PM10","2018-11-05","11:00 - 12:00","94","µg/m³"
"PM10","2018-11-05","12:00 - 13:00","72","µg/m³"
"PM10","2018-11-05","13:00 - 14:00","73","µg/m³"
"PM10","2018-11-05","14:00 - 15:00","71","µg/m³"
"PM10","2018-11-05","15:00 - 16:00","59","µg/m³"
"PM10","2018-11-05","16:00 - 17:00","60","µg/m³"
"PM10","2018-11-05","17:00 - 18:00","58","µg/m³"
"PM10","2018-11-05","18:00 - 19:00","41","µg/m³"
"PM10","2018-11-05","19:00 - 20:00","55","µg/m³"
"PM10","2018-11-05","20:00 - 21:00","54","µg/m³"
"PM10","2018-11-05","21:00 - 22:00","63","µg/m³"
"PM10","2018-11-05","22:00 - 23:00","50","µg/m³"
"PM10","2018-11-06","23:00 - 0:00","47","µg/m³"
"PM10","2018-11-06","0:00 - 1:00","43","µg/m³"
"PM10","2018-11-06","1:00 - 2:00","34","µg/m³"
"PM10","2018-11-06","2:00 - 3:00","39","µg/m³"
"PM10","2018-11-06","3:00 - 4:00","32","µg/m³"
"PM10","2018-11-06","4:00 - 5:00","34","µg/m³"
"PM10","2018-11-06","5:00 - 6:00","33","µg/m³"
"PM10","2018-11-06","6:00 - 7:00","28","µg/m³"
"PM10","2018-11-06","7:00 - 8:00","31","µg/m³"
"PM10","2018-11-06","8:00 - 9:00","42","µg/m³"
"PM10","2018-11-06","9:00 - 10:00","60","µg/m³"
"PM10","2018-11-06","10:00 - 11:00","64","µg/m³"
"PM10","2018-11-06","11:00 - 12:00","119","µg/m³"
"PM10","2018-11-06","12:00 - 13:00","110","µg/m³"
"PM10","2018-11-06","13:00 - 14:00","114","µg/m³"
"PM10","2018-11-06","14:00 - 15:00","107","µg/m³"
"PM10","2018-11-06","15:00 - 16:00","105","µg/m³"
"PM10","2018-11-06","16:00 - 17:00","86","µg/m³"
"PM10","2018-11-06","17:00 - 18:00","81","µg/m³"
"PM10","2018-11-06","18:00 - 19:00","78","µg/m³"
"PM10","2018-11-06","19:00 - 20:00","66","µg/m³"
"PM10","2018-11-06","20:00 - 21:00","78","µg/m³"
"PM10","2018-11-06","21:00 - 22:00","76","µg/m³"
"PM10","2018-11-06","22:00 - 23:00","79","µg/m³"
"PM10","2018-11-07","23:00 - 0:00","69","µg/m³"
"PM10","2018-11-07","0:00 - 1:00","61","µg/m³"
"PM10","2018-11-07","1:00 - 2:00","57","µg/m³"
"PM10","2018-11-07","2:00 - 3:00","49","µg/m³"
"PM10","2018-11-07","3:00 - 4:00","64","µg/m³"
"PM10","2018-11-07","4:00 - 5:00","58","µg/m³"
"PM10","2018-11-07","5:00 - 6:00","49","µg/m³"
"PM10","2018-11-07","6:00 - 7:00","56","µg/m³"
"PM10","2018-11-07","7:00 - 8:00","64","µg/m³"
"PM10","2018-11-07","8:00 - 9:00","65","µg/m³"
"PM10","2018-11-07","9:00 - 10:00","75","µg/m³"
"PM10","2018-11-07","10:00 - 11:00","74","µg/m³"
"PM10","2018-11-07","11:00 - 12:00","69","µg/m³"
"PM10","2018-11-07","12:00 - 13:00","103","µg/m³"
"PM10","2018-11-07","13:00 - 14:00","144","µg/m³"
"PM10","2018-11-07","14:00 - 15:00","139","µg/m³"
"PM10","2018-11-07","15:00 - 16:00","87","µg/m³"
"PM10","2018-11-07","18:00 - 19:00","68","µg/m³"
"PM10","2018-11-07","19:00 - 20:00","56","µg/m³"
"PM10","2018-11-07","20:00 - 21:00","52","µg/m³"
"PM10","2018-11-07","21:00 - 22:00","60","µg/m³"
"PM10","2018-11-07","22:00 - 23:00","64","µg/m³"
"PM10","2018-11-08","23:00 - 0:00","68","µg/m³"
"PM10","2018-11-08","1:00 - 2:00","50","µg/m³"
"PM10","2018-11-08","2:00 - 3:00","51","µg/m³"
"PM10","2018-11-08","3:00 - 4:00","61","µg/m³"
"PM10","2018-11-08","4:00 - 5:00","52","µg/m³"
"PM10","2018-11-08","5:00 - 6:00","49","µg/m³"
"PM10","2018-11-08","6:00 - 7:00","51","µg/m³"
"PM10","2018-11-08","7:00 - 8:00","61","µg/m³"
"PM10","2018-11-08","8:00 - 9:00","79","µg/m³"
"PM10","2018-11-08","9:00 - 10:00","78","µg/m³"
"PM10","2018-11-08","10:00 - 11:00","97","µg/m³"
"PM10","2018-11-08","11:00 - 12:00","100","µg/m³"
"PM10","2018-11-08","12:00 - 13:00","107","µg/m³"
"PM10","2018-11-08","13:00 - 14:00","86","µg/m³"
"PM10","2018-11-08","14:00 - 15:00","95","µg/m³"
"PM10","2018-11-08","15:00 - 16:00","98","µg/m³"
"PM10","2018-11-08","16:00 - 17:00","69","µg/m³"
"PM10","2018-11-08","17:00 - 18:00","60","µg/m³"
"PM10","2018-11-08","18:00 - 19:00","62","µg/m³"
"PM10","2018-11-08","19:00 - 20:00","60","µg/m³"
"PM10","2018-11-08","20:00 - 21:00","67","µg/m³"
"PM10","2018-11-08","21:00 - 22:00","85","µg/m³"
"PM10","2018-11-08","22:00 - 23:00","82","µg/m³"
"PM10","2018-11-09","23:00 - 0:00","76","µg/m³"
"PM10","2018-11-09","0:00 - 1:00","86","µg/m³"
"PM10","2018-11-09","1:00 - 2:00","42","µg/m³"
