"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2007-10-05","12:00 - 13:00","11","µg/m³"
"PM2.5","2007-10-05","13:00 - 14:00","16","µg/m³"
"PM2.5","2007-10-05","15:00 - 16:00","52","µg/m³"
"PM2.5","2007-10-05","16:00 - 17:00","7","µg/m³"
"PM2.5","2007-10-05","18:00 - 19:00","49","µg/m³"
"PM2.5","2007-10-05","19:00 - 20:00","23","µg/m³"
"PM2.5","2007-10-05","21:00 - 22:00","8","µg/m³"
"PM2.5","2007-10-06","0:00 - 1:00","28","µg/m³"
"PM2.5","2007-10-06","1:00 - 2:00","17","µg/m³"
"PM2.5","2007-10-06","2:00 - 3:00","8","µg/m³"
"PM2.5","2007-10-06","3:00 - 4:00","13","µg/m³"
"PM2.5","2007-10-06","4:00 - 5:00","40","µg/m³"
"PM2.5","2007-10-06","5:00 - 6:00","26","µg/m³"
"PM2.5","2007-10-06","6:00 - 7:00","50","µg/m³"
"PM2.5","2007-10-06","8:00 - 9:00","11","µg/m³"
"PM2.5","2007-10-06","9:00 - 10:00","85","µg/m³"
"PM2.5","2007-10-06","10:00 - 11:00","7","µg/m³"
"PM2.5","2007-10-06","11:00 - 12:00","27","µg/m³"
"PM2.5","2007-10-06","12:00 - 13:00","61","µg/m³"
"PM2.5","2007-10-06","13:00 - 14:00","14","µg/m³"
"PM2.5","2007-10-06","14:00 - 15:00","19","µg/m³"
"PM2.5","2007-10-06","15:00 - 16:00","25","µg/m³"
"PM2.5","2007-10-06","16:00 - 17:00","34","µg/m³"
"PM2.5","2007-10-06","17:00 - 18:00","28","µg/m³"
"PM2.5","2007-10-06","19:00 - 20:00","16","µg/m³"
"PM2.5","2007-10-06","21:00 - 22:00","6","µg/m³"
"PM2.5","2007-10-06","22:00 - 23:00","9","µg/m³"
"PM2.5","2007-10-07","23:00 - 0:00","9","µg/m³"
"PM2.5","2007-10-07","1:00 - 2:00","21","µg/m³"
"PM2.5","2007-10-07","2:00 - 3:00","25","µg/m³"
"PM2.5","2007-10-07","3:00 - 4:00","6","µg/m³"
"PM2.5","2007-10-07","4:00 - 5:00","11","µg/m³"
"PM2.5","2007-10-07","5:00 - 6:00","23","µg/m³"
"PM2.5","2007-10-07","6:00 - 7:00","18","µg/m³"
"PM2.5","2007-10-07","7:00 - 8:00","27","µg/m³"
"PM2.5","2007-10-07","8:00 - 9:00","25","µg/m³"
"PM2.5","2007-10-07","9:00 - 10:00","24","µg/m³"
"PM2.5","2007-10-07","10:00 - 11:00","27","µg/m³"
"PM2.5","2007-10-07","11:00 - 12:00","49","µg/m³"
"PM2.5","2007-10-07","12:00 - 13:00","13","µg/m³"
"PM2.5","2007-10-07","13:00 - 14:00","22","µg/m³"
"PM2.5","2007-10-07","14:00 - 15:00","15","µg/m³"
"PM2.5","2007-10-07","16:00 - 17:00","6","µg/m³"
"PM2.5","2007-10-07","17:00 - 18:00","26","µg/m³"
"PM2.5","2007-10-08","23:00 - 0:00","30","µg/m³"
"PM2.5","2007-10-08","0:00 - 1:00","10","µg/m³"
"PM2.5","2007-10-08","1:00 - 2:00","22","µg/m³"
"PM2.5","2007-10-08","2:00 - 3:00","10","µg/m³"
"PM2.5","2007-10-08","5:00 - 6:00","19","µg/m³"
"PM2.5","2007-10-08","7:00 - 8:00","13","µg/m³"
"PM2.5","2007-10-08","9:00 - 10:00","48","µg/m³"
"PM2.5","2007-10-08","10:00 - 11:00","41","µg/m³"
"PM2.5","2007-10-08","13:00 - 14:00","26","µg/m³"
"PM2.5","2007-10-08","14:00 - 15:00","28","µg/m³"
"PM2.5","2007-10-08","17:00 - 18:00","15","µg/m³"
"PM2.5","2007-10-08","20:00 - 21:00","20","µg/m³"
"PM2.5","2007-10-08","21:00 - 22:00","14","µg/m³"
"PM2.5","2007-10-09","0:00 - 1:00","9","µg/m³"
"PM2.5","2007-10-09","5:00 - 6:00","17","µg/m³"
"PM2.5","2007-10-09","6:00 - 7:00","12","µg/m³"
"PM2.5","2007-10-09","8:00 - 9:00","24","µg/m³"
"PM2.5","2007-10-09","9:00 - 10:00","16","µg/m³"
"PM2.5","2007-10-09","10:00 - 11:00","6","µg/m³"
"PM2.5","2007-10-09","11:00 - 12:00","20","µg/m³"
"PM2.5","2007-10-09","13:00 - 14:00","23","µg/m³"
"PM2.5","2007-10-09","16:00 - 17:00","18","µg/m³"
"PM2.5","2007-10-09","17:00 - 18:00","23","µg/m³"
"PM2.5","2007-10-09","19:00 - 20:00","26","µg/m³"
