"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2001-04-01","4:00 - 5:00","36","µg/m³"
"PM10","2001-04-01","5:00 - 6:00","16","µg/m³"
"PM10","2001-04-01","6:00 - 7:00","14","µg/m³"
"PM10","2001-04-01","7:00 - 8:00","22","µg/m³"
"PM10","2001-04-01","8:00 - 9:00","20","µg/m³"
"PM10","2001-04-01","9:00 - 10:00","18","µg/m³"
"PM10","2001-04-01","10:00 - 11:00","16","µg/m³"
"PM10","2001-04-01","11:00 - 12:00","14","µg/m³"
"PM10","2001-04-01","12:00 - 13:00","24","µg/m³"
"PM10","2001-04-01","13:00 - 14:00","31","µg/m³"
"PM10","2001-04-01","14:00 - 15:00","38","µg/m³"
"PM10","2001-04-01","15:00 - 16:00","59","µg/m³"
"PM10","2001-04-01","16:00 - 17:00","80","µg/m³"
"PM10","2001-04-01","17:00 - 18:00","95","µg/m³"
"PM10","2001-04-01","18:00 - 19:00","107","µg/m³"
"PM10","2001-04-01","19:00 - 20:00","120","µg/m³"
"PM10","2001-04-01","20:00 - 21:00","135","µg/m³"
"PM10","2001-04-02","2:00 - 3:00","54","µg/m³"
"PM10","2001-04-02","3:00 - 4:00","47","µg/m³"
"PM10","2001-04-02","4:00 - 5:00","47","µg/m³"
"PM10","2001-04-02","5:00 - 6:00","58","µg/m³"
"PM10","2001-04-02","6:00 - 7:00","82","µg/m³"
"PM10","2001-04-02","7:00 - 8:00","164","µg/m³"
"PM10","2001-04-02","8:00 - 9:00","198","µg/m³"
"PM10","2001-04-02","9:00 - 10:00","178","µg/m³"
"PM10","2001-04-02","10:00 - 11:00","193","µg/m³"
"PM10","2001-04-02","11:00 - 12:00","210","µg/m³"
"PM10","2001-04-02","12:00 - 13:00","188","µg/m³"
"PM10","2001-04-02","13:00 - 14:00","166","µg/m³"
"PM10","2001-04-02","14:00 - 15:00","132","µg/m³"
"PM10","2001-04-02","15:00 - 16:00","95","µg/m³"
"PM10","2001-04-02","16:00 - 17:00","74","µg/m³"
"PM10","2001-04-02","17:00 - 18:00","67","µg/m³"
"PM10","2001-04-02","18:00 - 19:00","63","µg/m³"
"PM10","2001-04-02","19:00 - 20:00","68","µg/m³"
"PM10","2001-04-02","20:00 - 21:00","70","µg/m³"
"PM10","2001-04-02","21:00 - 22:00","75","µg/m³"
"PM10","2001-04-02","22:00 - 23:00","86","µg/m³"
"PM10","2001-04-03","23:00 - 0:00","108","µg/m³"
"PM10","2001-04-03","0:00 - 1:00","123","µg/m³"
"PM10","2001-04-03","1:00 - 2:00","136","µg/m³"
"PM10","2001-04-03","8:00 - 9:00","206","µg/m³"
"PM10","2001-04-03","9:00 - 10:00","236","µg/m³"
"PM10","2001-04-03","10:00 - 11:00","270","µg/m³"
"PM10","2001-04-03","11:00 - 12:00","249","µg/m³"
"PM10","2001-04-03","12:00 - 13:00","213","µg/m³"
"PM10","2001-04-03","13:00 - 14:00","186","µg/m³"
"PM10","2001-04-03","14:00 - 15:00","168","µg/m³"
"PM10","2001-04-03","15:00 - 16:00","152","µg/m³"
"PM10","2001-04-03","16:00 - 17:00","139","µg/m³"
"PM10","2001-04-03","17:00 - 18:00","124","µg/m³"
"PM10","2001-04-03","18:00 - 19:00","105","µg/m³"
"PM10","2001-04-03","19:00 - 20:00","98","µg/m³"
"PM10","2001-04-03","20:00 - 21:00","85","µg/m³"
"PM10","2001-04-03","21:00 - 22:00","80","µg/m³"
"PM10","2001-04-03","22:00 - 23:00","118","µg/m³"
"PM10","2001-04-04","23:00 - 0:00","136","µg/m³"
"PM10","2001-04-04","0:00 - 1:00","150","µg/m³"
"PM10","2001-04-04","1:00 - 2:00","137","µg/m³"
"PM10","2001-04-04","2:00 - 3:00","148","µg/m³"
"PM10","2001-04-04","3:00 - 4:00","155","µg/m³"
"PM10","2001-04-04","4:00 - 5:00","124","µg/m³"
"PM10","2001-04-04","5:00 - 6:00","124","µg/m³"
"PM10","2001-04-04","6:00 - 7:00","154","µg/m³"
"PM10","2001-04-04","7:00 - 8:00","218","µg/m³"
"PM10","2001-04-04","8:00 - 9:00","258","µg/m³"
"PM10","2001-04-04","9:00 - 10:00","275","µg/m³"
"PM10","2001-04-04","10:00 - 11:00","299","µg/m³"
"PM10","2001-04-04","11:00 - 12:00","233","µg/m³"
"PM10","2001-04-04","12:00 - 13:00","162","µg/m³"
"PM10","2001-04-04","13:00 - 14:00","171","µg/m³"
"PM10","2001-04-04","14:00 - 15:00","107","µg/m³"
"PM10","2001-04-04","15:00 - 16:00","151","µg/m³"
"PM10","2001-04-04","16:00 - 17:00","143","µg/m³"
"PM10","2001-04-04","17:00 - 18:00","92","µg/m³"
"PM10","2001-04-04","18:00 - 19:00","138","µg/m³"
"PM10","2001-04-04","19:00 - 20:00","142","µg/m³"
"PM10","2001-04-04","20:00 - 21:00","138","µg/m³"
"PM10","2001-04-04","21:00 - 22:00","130","µg/m³"
"PM10","2001-04-04","22:00 - 23:00","140","µg/m³"
"PM10","2001-04-05","23:00 - 0:00","128","µg/m³"
"PM10","2001-04-05","0:00 - 1:00","106","µg/m³"
"PM10","2001-04-05","1:00 - 2:00","124","µg/m³"
"PM10","2001-04-05","2:00 - 3:00","124","µg/m³"
"PM10","2001-04-05","3:00 - 4:00","270","µg/m³"
"PM10","2001-04-05","4:00 - 5:00","117","µg/m³"
"PM10","2001-04-05","5:00 - 6:00","80","µg/m³"
"PM10","2001-04-05","6:00 - 7:00","67","µg/m³"
"PM10","2001-04-05","7:00 - 8:00","154","µg/m³"
"PM10","2001-04-05","8:00 - 9:00","188","µg/m³"
"PM10","2001-04-05","9:00 - 10:00","216","µg/m³"
"PM10","2001-04-05","10:00 - 11:00","213","µg/m³"
"PM10","2001-04-05","11:00 - 12:00","204","µg/m³"
"PM10","2001-04-05","12:00 - 13:00","192","µg/m³"
"PM10","2001-04-05","13:00 - 14:00","154","µg/m³"
"PM10","2001-04-05","14:00 - 15:00","143","µg/m³"
"PM10","2001-04-05","15:00 - 16:00","124","µg/m³"
"PM10","2001-04-05","16:00 - 17:00","114","µg/m³"
"PM10","2001-04-05","17:00 - 18:00","92","µg/m³"
"PM10","2001-04-05","18:00 - 19:00","105","µg/m³"
"PM10","2001-04-05","19:00 - 20:00","99","µg/m³"
"PM10","2001-04-05","20:00 - 21:00","90","µg/m³"
"PM10","2001-04-05","21:00 - 22:00","94","µg/m³"
"PM10","2001-04-05","22:00 - 23:00","104","µg/m³"
"PM10","2001-04-06","23:00 - 0:00","80","µg/m³"
"PM10","2001-04-06","0:00 - 1:00","66","µg/m³"
"PM10","2001-04-06","1:00 - 2:00","64","µg/m³"
"PM10","2001-04-06","2:00 - 3:00","66","µg/m³"
"PM10","2001-04-06","3:00 - 4:00","67","µg/m³"
"PM10","2001-04-06","4:00 - 5:00","75","µg/m³"
"PM10","2001-04-06","5:00 - 6:00","90","µg/m³"
"PM10","2001-04-06","6:00 - 7:00","112","µg/m³"
"PM10","2001-04-06","7:00 - 8:00","126","µg/m³"
"PM10","2001-04-06","8:00 - 9:00","151","µg/m³"
"PM10","2001-04-06","9:00 - 10:00","170","µg/m³"
"PM10","2001-04-06","10:00 - 11:00","221","µg/m³"
"PM10","2001-04-06","11:00 - 12:00","249","µg/m³"
"PM10","2001-04-06","12:00 - 13:00","200","µg/m³"
"PM10","2001-04-06","13:00 - 14:00","164","µg/m³"
"PM10","2001-04-06","14:00 - 15:00","127","µg/m³"
"PM10","2001-04-06","15:00 - 16:00","96","µg/m³"
"PM10","2001-04-06","16:00 - 17:00","87","µg/m³"
"PM10","2001-04-06","17:00 - 18:00","82","µg/m³"
"PM10","2001-04-06","18:00 - 19:00","86","µg/m³"
"PM10","2001-04-06","19:00 - 20:00","86","µg/m³"
"PM10","2001-04-06","20:00 - 21:00","82","µg/m³"
"PM10","2001-04-06","21:00 - 22:00","78","µg/m³"
"PM10","2001-04-06","22:00 - 23:00","72","µg/m³"
"PM10","2001-04-07","23:00 - 0:00","68","µg/m³"
"PM10","2001-04-07","0:00 - 1:00","71","µg/m³"
"PM10","2001-04-07","1:00 - 2:00","88","µg/m³"
"PM10","2001-04-07","2:00 - 3:00","97","µg/m³"
"PM10","2001-04-07","3:00 - 4:00","102","µg/m³"
"PM10","2001-04-07","4:00 - 5:00","105","µg/m³"
"PM10","2001-04-07","5:00 - 6:00","94","µg/m³"
"PM10","2001-04-07","6:00 - 7:00","85","µg/m³"
"PM10","2001-04-07","7:00 - 8:00","95","µg/m³"
"PM10","2001-04-07","8:00 - 9:00","90","µg/m³"
"PM10","2001-04-07","9:00 - 10:00","95","µg/m³"
"PM10","2001-04-07","10:00 - 11:00","122","µg/m³"
"PM10","2001-04-07","11:00 - 12:00","150","µg/m³"
"PM10","2001-04-07","12:00 - 13:00","135","µg/m³"
"PM10","2001-04-07","13:00 - 14:00","102","µg/m³"
"PM10","2001-04-07","14:00 - 15:00","94","µg/m³"
"PM10","2001-04-07","15:00 - 16:00","90","µg/m³"
"PM10","2001-04-07","16:00 - 17:00","90","µg/m³"
"PM10","2001-04-07","17:00 - 18:00","96","µg/m³"
"PM10","2001-04-07","18:00 - 19:00","94","µg/m³"
"PM10","2001-04-07","19:00 - 20:00","90","µg/m³"
"PM10","2001-04-07","20:00 - 21:00","82","µg/m³"
"PM10","2001-04-07","21:00 - 22:00","86","µg/m³"
"PM10","2001-04-07","22:00 - 23:00","76","µg/m³"
"PM10","2001-04-08","23:00 - 0:00","66","µg/m³"
"PM10","2001-04-08","0:00 - 1:00","73","µg/m³"
"PM10","2001-04-08","1:00 - 2:00","94","µg/m³"
"PM10","2001-04-08","2:00 - 3:00","92","µg/m³"
"PM10","2001-04-08","3:00 - 4:00","90","µg/m³"
"PM10","2001-04-08","4:00 - 5:00","105","µg/m³"
"PM10","2001-04-08","5:00 - 6:00","129","µg/m³"
"PM10","2001-04-08","6:00 - 7:00","154","µg/m³"
"PM10","2001-04-08","7:00 - 8:00","118","µg/m³"
"PM10","2001-04-08","8:00 - 9:00","151","µg/m³"
"PM10","2001-04-08","9:00 - 10:00","71","µg/m³"
"PM10","2001-04-08","10:00 - 11:00","112","µg/m³"
"PM10","2001-04-08","11:00 - 12:00","134","µg/m³"
"PM10","2001-04-08","12:00 - 13:00","149","µg/m³"
"PM10","2001-04-08","13:00 - 14:00","152","µg/m³"
"PM10","2001-04-08","14:00 - 15:00","158","µg/m³"
"PM10","2001-04-08","15:00 - 16:00","132","µg/m³"
"PM10","2001-04-08","16:00 - 17:00","100","µg/m³"
"PM10","2001-04-08","17:00 - 18:00","85","µg/m³"
"PM10","2001-04-08","18:00 - 19:00","74","µg/m³"
"PM10","2001-04-08","19:00 - 20:00","70","µg/m³"
"PM10","2001-04-08","20:00 - 21:00","68","µg/m³"
"PM10","2001-04-08","21:00 - 22:00","96","µg/m³"
"PM10","2001-04-08","22:00 - 23:00","84","µg/m³"
"PM10","2001-04-09","23:00 - 0:00","74","µg/m³"
"PM10","2001-04-09","0:00 - 1:00","77","µg/m³"
"PM10","2001-04-09","1:00 - 2:00","94","µg/m³"
"PM10","2001-04-09","2:00 - 3:00","102","µg/m³"
"PM10","2001-04-09","3:00 - 4:00","106","µg/m³"
"PM10","2001-04-09","4:00 - 5:00","112","µg/m³"
"PM10","2001-04-09","5:00 - 6:00","99","µg/m³"
"PM10","2001-04-09","6:00 - 7:00","89","µg/m³"
"PM10","2001-04-09","7:00 - 8:00","88","µg/m³"
"PM10","2001-04-09","8:00 - 9:00","122","µg/m³"
"PM10","2001-04-09","9:00 - 10:00","163","µg/m³"
"PM10","2001-04-09","10:00 - 11:00","186","µg/m³"
"PM10","2001-04-09","11:00 - 12:00","210","µg/m³"
"PM10","2001-04-09","12:00 - 13:00","198","µg/m³"
"PM10","2001-04-09","13:00 - 14:00","156","µg/m³"
"PM10","2001-04-09","14:00 - 15:00","126","µg/m³"
"PM10","2001-04-09","15:00 - 16:00","108","µg/m³"
"PM10","2001-04-09","16:00 - 17:00","99","µg/m³"
"PM10","2001-04-09","17:00 - 18:00","112","µg/m³"
"PM10","2001-04-09","18:00 - 19:00","113","µg/m³"
"PM10","2001-04-09","19:00 - 20:00","145","µg/m³"
"PM10","2001-04-09","20:00 - 21:00","82","µg/m³"
"PM10","2001-04-09","21:00 - 22:00","81","µg/m³"
"PM10","2001-04-09","22:00 - 23:00","106","µg/m³"
"PM10","2001-04-10","23:00 - 0:00","109","µg/m³"
"PM10","2001-04-10","0:00 - 1:00","112","µg/m³"
"PM10","2001-04-10","1:00 - 2:00","101","µg/m³"
"PM10","2001-04-10","2:00 - 3:00","100","µg/m³"
"PM10","2001-04-10","3:00 - 4:00","102","µg/m³"
"PM10","2001-04-10","4:00 - 5:00","100","µg/m³"
"PM10","2001-04-10","5:00 - 6:00","112","µg/m³"
"PM10","2001-04-10","6:00 - 7:00","115","µg/m³"
"PM10","2001-04-10","7:00 - 8:00","101","µg/m³"
"PM10","2001-04-10","8:00 - 9:00","100","µg/m³"
"PM10","2001-04-10","9:00 - 10:00","120","µg/m³"
"PM10","2001-04-10","10:00 - 11:00","185","µg/m³"
"PM10","2001-04-10","11:00 - 12:00","199","µg/m³"
"PM10","2001-04-10","12:00 - 13:00","149","µg/m³"
"PM10","2001-04-10","13:00 - 14:00","134","µg/m³"
"PM10","2001-04-10","14:00 - 15:00","126","µg/m³"
"PM10","2001-04-10","15:00 - 16:00","102","µg/m³"
"PM10","2001-04-10","16:00 - 17:00","88","µg/m³"
"PM10","2001-04-10","17:00 - 18:00","86","µg/m³"
"PM10","2001-04-10","18:00 - 19:00","82","µg/m³"
"PM10","2001-04-10","19:00 - 20:00","81","µg/m³"
"PM10","2001-04-10","20:00 - 21:00","86","µg/m³"
"PM10","2001-04-10","21:00 - 22:00","89","µg/m³"
"PM10","2001-04-10","22:00 - 23:00","80","µg/m³"
"PM10","2001-04-11","23:00 - 0:00","76","µg/m³"
"PM10","2001-04-11","0:00 - 1:00","84","µg/m³"
"PM10","2001-04-11","1:00 - 2:00","97","µg/m³"
"PM10","2001-04-11","2:00 - 3:00","107","µg/m³"
"PM10","2001-04-11","3:00 - 4:00","132","µg/m³"
"PM10","2001-04-11","4:00 - 5:00","134","µg/m³"
"PM10","2001-04-11","5:00 - 6:00","146","µg/m³"
"PM10","2001-04-11","6:00 - 7:00","132","µg/m³"
"PM10","2001-04-11","7:00 - 8:00","149","µg/m³"
"PM10","2001-04-11","8:00 - 9:00","284","µg/m³"
"PM10","2001-04-11","9:00 - 10:00","312","µg/m³"
"PM10","2001-04-11","10:00 - 11:00","356","µg/m³"
"PM10","2001-04-11","11:00 - 12:00","418","µg/m³"
"PM10","2001-04-11","12:00 - 13:00","440","µg/m³"
"PM10","2001-04-11","13:00 - 14:00","368","µg/m³"
"PM10","2001-04-11","14:00 - 15:00","300","µg/m³"
"PM10","2001-04-11","15:00 - 16:00","244","µg/m³"
"PM10","2001-04-11","16:00 - 17:00","227","µg/m³"
"PM10","2001-04-11","17:00 - 18:00","176","µg/m³"
"PM10","2001-04-11","18:00 - 19:00","142","µg/m³"
"PM10","2001-04-11","19:00 - 20:00","125","µg/m³"
"PM10","2001-04-11","20:00 - 21:00","130","µg/m³"
"PM10","2001-04-11","21:00 - 22:00","127","µg/m³"
"PM10","2001-04-11","22:00 - 23:00","118","µg/m³"
"PM10","2001-04-12","23:00 - 0:00","108","µg/m³"
"PM10","2001-04-12","0:00 - 1:00","102","µg/m³"
"PM10","2001-04-12","1:00 - 2:00","110","µg/m³"
"PM10","2001-04-12","2:00 - 3:00","114","µg/m³"
"PM10","2001-04-12","3:00 - 4:00","102","µg/m³"
"PM10","2001-04-12","4:00 - 5:00","182","µg/m³"
"PM10","2001-04-12","5:00 - 6:00","200","µg/m³"
"PM10","2001-04-12","6:00 - 7:00","186","µg/m³"
"PM10","2001-04-12","7:00 - 8:00","223","µg/m³"
"PM10","2001-04-12","8:00 - 9:00","238","µg/m³"
"PM10","2001-04-12","9:00 - 10:00","175","µg/m³"
"PM10","2001-04-12","10:00 - 11:00","144","µg/m³"
"PM10","2001-04-12","11:00 - 12:00","178","µg/m³"
"PM10","2001-04-12","12:00 - 13:00","222","µg/m³"
"PM10","2001-04-12","13:00 - 14:00","180","µg/m³"
"PM10","2001-04-12","14:00 - 15:00","134","µg/m³"
"PM10","2001-04-12","15:00 - 16:00","120","µg/m³"
"PM10","2001-04-12","16:00 - 17:00","94","µg/m³"
"PM10","2001-04-12","17:00 - 18:00","90","µg/m³"
"PM10","2001-04-12","18:00 - 19:00","86","µg/m³"
"PM10","2001-04-12","19:00 - 20:00","86","µg/m³"
"PM10","2001-04-12","20:00 - 21:00","84","µg/m³"
"PM10","2001-04-12","21:00 - 22:00","86","µg/m³"
"PM10","2001-04-12","22:00 - 23:00","102","µg/m³"
"PM10","2001-04-13","23:00 - 0:00","142","µg/m³"
"PM10","2001-04-13","0:00 - 1:00","115","µg/m³"
"PM10","2001-04-13","7:00 - 8:00","111","µg/m³"
"PM10","2001-04-13","8:00 - 9:00","122","µg/m³"
"PM10","2001-04-13","9:00 - 10:00","137","µg/m³"
"PM10","2001-04-13","10:00 - 11:00","174","µg/m³"
"PM10","2001-04-14","3:00 - 4:00","90","µg/m³"
"PM10","2001-04-14","4:00 - 5:00","96","µg/m³"
"PM10","2001-04-14","5:00 - 6:00","108","µg/m³"
"PM10","2001-04-14","6:00 - 7:00","108","µg/m³"
"PM10","2001-04-14","7:00 - 8:00","134","µg/m³"
"PM10","2001-04-14","15:00 - 16:00","54","µg/m³"
"PM10","2001-04-14","16:00 - 17:00","66","µg/m³"
"PM10","2001-04-14","17:00 - 18:00","65","µg/m³"
"PM10","2001-04-14","18:00 - 19:00","68","µg/m³"
"PM10","2001-04-14","19:00 - 20:00","66","µg/m³"
"PM10","2001-04-14","20:00 - 21:00","63","µg/m³"
"PM10","2001-04-14","21:00 - 22:00","76","µg/m³"
"PM10","2001-04-14","22:00 - 23:00","64","µg/m³"
"PM10","2001-04-15","23:00 - 0:00","52","µg/m³"
"PM10","2001-04-15","0:00 - 1:00","59","µg/m³"
"PM10","2001-04-15","1:00 - 2:00","65","µg/m³"
"PM10","2001-04-15","2:00 - 3:00","64","µg/m³"
"PM10","2001-04-15","3:00 - 4:00","70","µg/m³"
"PM10","2001-04-15","4:00 - 5:00","86","µg/m³"
"PM10","2001-04-15","5:00 - 6:00","78","µg/m³"
"PM10","2001-04-15","6:00 - 7:00","75","µg/m³"
"PM10","2001-04-15","7:00 - 8:00","83","µg/m³"
"PM10","2001-04-15","8:00 - 9:00","116","µg/m³"
"PM10","2001-04-15","9:00 - 10:00","122","µg/m³"
"PM10","2001-04-15","10:00 - 11:00","143","µg/m³"
"PM10","2001-04-15","11:00 - 12:00","144","µg/m³"
"PM10","2001-04-15","12:00 - 13:00","128","µg/m³"
"PM10","2001-04-15","13:00 - 14:00","102","µg/m³"
"PM10","2001-04-15","14:00 - 15:00","70","µg/m³"
"PM10","2001-04-15","15:00 - 16:00","70","µg/m³"
"PM10","2001-04-15","16:00 - 17:00","80","µg/m³"
"PM10","2001-04-15","17:00 - 18:00","88","µg/m³"
"PM10","2001-04-15","18:00 - 19:00","100","µg/m³"
"PM10","2001-04-15","19:00 - 20:00","104","µg/m³"
"PM10","2001-04-15","20:00 - 21:00","108","µg/m³"
"PM10","2001-04-15","21:00 - 22:00","108","µg/m³"
"PM10","2001-04-16","4:00 - 5:00","62","µg/m³"
"PM10","2001-04-16","5:00 - 6:00","68","µg/m³"
"PM10","2001-04-16","6:00 - 7:00","74","µg/m³"
"PM10","2001-04-16","7:00 - 8:00","80","µg/m³"
"PM10","2001-04-16","8:00 - 9:00","124","µg/m³"
"PM10","2001-04-16","9:00 - 10:00","158","µg/m³"
"PM10","2001-04-16","10:00 - 11:00","152","µg/m³"
"PM10","2001-04-16","11:00 - 12:00","108","µg/m³"
"PM10","2001-04-16","12:00 - 13:00","108","µg/m³"
"PM10","2001-04-16","13:00 - 14:00","129","µg/m³"
"PM10","2001-04-16","14:00 - 15:00","118","µg/m³"
"PM10","2001-04-16","15:00 - 16:00","88","µg/m³"
"PM10","2001-04-16","16:00 - 17:00","80","µg/m³"
"PM10","2001-04-16","17:00 - 18:00","74","µg/m³"
"PM10","2001-04-16","18:00 - 19:00","77","µg/m³"
"PM10","2001-04-16","19:00 - 20:00","85","µg/m³"
"PM10","2001-04-16","20:00 - 21:00","80","µg/m³"
"PM10","2001-04-16","21:00 - 22:00","102","µg/m³"
"PM10","2001-04-16","22:00 - 23:00","94","µg/m³"
"PM10","2001-04-17","23:00 - 0:00","70","µg/m³"
"PM10","2001-04-17","0:00 - 1:00","60","µg/m³"
"PM10","2001-04-17","1:00 - 2:00","56","µg/m³"
"PM10","2001-04-17","2:00 - 3:00","48","µg/m³"
"PM10","2001-04-17","3:00 - 4:00","60","µg/m³"
"PM10","2001-04-17","4:00 - 5:00","58","µg/m³"
