"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2015-05-01","23:00 - 0:00","8","µg/m³"
"PM2.5","2015-05-01","1:00 - 2:00","7","µg/m³"
"PM2.5","2015-05-01","2:00 - 3:00","16","µg/m³"
"PM2.5","2015-05-01","3:00 - 4:00","16","µg/m³"
"PM2.5","2015-05-01","4:00 - 5:00","31","µg/m³"
"PM2.5","2015-05-01","6:00 - 7:00","24","µg/m³"
"PM2.5","2015-05-01","7:00 - 8:00","5","µg/m³"
"PM2.5","2015-05-01","8:00 - 9:00","36","µg/m³"
"PM2.5","2015-05-01","9:00 - 10:00","30","µg/m³"
"PM2.5","2015-05-01","10:00 - 11:00","38","µg/m³"
"PM2.5","2015-05-01","11:00 - 12:00","19","µg/m³"
"PM2.5","2015-05-01","12:00 - 13:00","21","µg/m³"
"PM2.5","2015-05-01","13:00 - 14:00","20","µg/m³"
"PM2.5","2015-05-01","14:00 - 15:00","25","µg/m³"
"PM2.5","2015-05-01","15:00 - 16:00","16","µg/m³"
"PM2.5","2015-05-01","16:00 - 17:00","17","µg/m³"
"PM2.5","2015-05-01","17:00 - 18:00","15","µg/m³"
"PM2.5","2015-05-01","18:00 - 19:00","19","µg/m³"
"PM2.5","2015-05-01","19:00 - 20:00","9","µg/m³"
"PM2.5","2015-05-01","20:00 - 21:00","6","µg/m³"
"PM2.5","2015-05-01","21:00 - 22:00","8","µg/m³"
"PM2.5","2015-05-01","22:00 - 23:00","12","µg/m³"
"PM2.5","2015-05-02","23:00 - 0:00","8","µg/m³"
"PM2.5","2015-05-02","3:00 - 4:00","23","µg/m³"
"PM2.5","2015-05-02","4:00 - 5:00","29","µg/m³"
"PM2.5","2015-05-02","5:00 - 6:00","30","µg/m³"
"PM2.5","2015-05-02","8:00 - 9:00","35","µg/m³"
"PM2.5","2015-05-02","9:00 - 10:00","21","µg/m³"
"PM2.5","2015-05-02","10:00 - 11:00","42","µg/m³"
"PM2.5","2015-05-02","11:00 - 12:00","34","µg/m³"
"PM2.5","2015-05-02","13:00 - 14:00","13","µg/m³"
"PM2.5","2015-05-02","16:00 - 17:00","14","µg/m³"
"PM2.5","2015-05-02","19:00 - 20:00","12","µg/m³"
"PM2.5","2015-05-02","20:00 - 21:00","14","µg/m³"
"PM2.5","2015-05-02","21:00 - 22:00","26","µg/m³"
"PM2.5","2015-05-03","23:00 - 0:00","8","µg/m³"
"PM2.5","2015-05-03","0:00 - 1:00","10","µg/m³"
"PM2.5","2015-05-03","1:00 - 2:00","10","µg/m³"
"PM2.5","2015-05-03","2:00 - 3:00","11","µg/m³"
"PM2.5","2015-05-03","4:00 - 5:00","13","µg/m³"
"PM2.5","2015-05-03","5:00 - 6:00","19","µg/m³"
"PM2.5","2015-05-03","6:00 - 7:00","12","µg/m³"
"PM2.5","2015-05-03","7:00 - 8:00","14","µg/m³"
"PM2.5","2015-05-03","8:00 - 9:00","19","µg/m³"
"PM2.5","2015-05-03","9:00 - 10:00","16","µg/m³"
"PM2.5","2015-05-03","10:00 - 11:00","14","µg/m³"
"PM2.5","2015-05-03","11:00 - 12:00","21","µg/m³"
"PM2.5","2015-05-03","12:00 - 13:00","21","µg/m³"
"PM2.5","2015-05-03","15:00 - 16:00","9","µg/m³"
"PM2.5","2015-05-03","16:00 - 17:00","14","µg/m³"
"PM2.5","2015-05-03","21:00 - 22:00","13","µg/m³"
"PM2.5","2015-05-04","0:00 - 1:00","24","µg/m³"
"PM2.5","2015-05-04","1:00 - 2:00","10","µg/m³"
"PM2.5","2015-05-04","2:00 - 3:00","5","µg/m³"
"PM2.5","2015-05-04","4:00 - 5:00","10","µg/m³"
"PM2.5","2015-05-04","5:00 - 6:00","8","µg/m³"
"PM2.5","2015-05-04","6:00 - 7:00","19","µg/m³"
"PM2.5","2015-05-04","8:00 - 9:00","11","µg/m³"
"PM2.5","2015-05-04","9:00 - 10:00","22","µg/m³"
"PM2.5","2015-05-04","11:00 - 12:00","15","µg/m³"
"PM2.5","2015-05-04","14:00 - 15:00","9","µg/m³"
"PM2.5","2015-05-04","21:00 - 22:00","10","µg/m³"
"PM2.5","2015-05-04","22:00 - 23:00","10","µg/m³"
"PM2.5","2015-05-05","0:00 - 1:00","7","µg/m³"
"PM2.5","2015-05-05","4:00 - 5:00","8","µg/m³"
"PM2.5","2015-05-05","7:00 - 8:00","9","µg/m³"
"PM2.5","2015-05-05","8:00 - 9:00","12","µg/m³"
"PM2.5","2015-05-05","9:00 - 10:00","18","µg/m³"
"PM2.5","2015-05-05","10:00 - 11:00","20","µg/m³"
"PM2.5","2015-05-05","11:00 - 12:00","14","µg/m³"
"PM2.5","2015-05-05","12:00 - 13:00","35","µg/m³"
"PM2.5","2015-05-05","13:00 - 14:00","40","µg/m³"
"PM2.5","2015-05-05","14:00 - 15:00","42","µg/m³"
"PM2.5","2015-05-05","17:00 - 18:00","17","µg/m³"
"PM2.5","2015-05-06","7:00 - 8:00","12","µg/m³"
"PM2.5","2015-05-06","8:00 - 9:00","13","µg/m³"
"PM2.5","2015-05-06","9:00 - 10:00","11","µg/m³"
"PM2.5","2015-05-06","12:00 - 13:00","8","µg/m³"
"PM2.5","2015-05-06","13:00 - 14:00","6","µg/m³"
"PM2.5","2015-05-06","14:00 - 15:00","15","µg/m³"
"PM2.5","2015-05-06","15:00 - 16:00","20","µg/m³"
"PM2.5","2015-05-06","16:00 - 17:00","13","µg/m³"
"PM2.5","2015-05-06","17:00 - 18:00","25","µg/m³"
"PM2.5","2015-05-07","2:00 - 3:00","31","µg/m³"
"PM2.5","2015-05-07","4:00 - 5:00","27","µg/m³"
"PM2.5","2015-05-07","9:00 - 10:00","17","µg/m³"
"PM2.5","2015-05-07","11:00 - 12:00","32","µg/m³"
"PM2.5","2015-05-07","12:00 - 13:00","36","µg/m³"
"PM2.5","2015-05-07","13:00 - 14:00","31","µg/m³"
"PM2.5","2015-05-07","14:00 - 15:00","23","µg/m³"
"PM2.5","2015-05-07","15:00 - 16:00","27","µg/m³"
"PM2.5","2015-05-07","16:00 - 17:00","24","µg/m³"
"PM2.5","2015-05-07","17:00 - 18:00","36","µg/m³"
"PM2.5","2015-05-07","18:00 - 19:00","23","µg/m³"
"PM2.5","2015-05-07","19:00 - 20:00","41","µg/m³"
"PM2.5","2015-05-07","20:00 - 21:00","30","µg/m³"
"PM2.5","2015-05-07","21:00 - 22:00","33","µg/m³"
"PM2.5","2015-05-08","7:00 - 8:00","30","µg/m³"
"PM2.5","2015-05-08","9:00 - 10:00","46","µg/m³"
"PM2.5","2015-05-08","10:00 - 11:00","46","µg/m³"
"PM2.5","2015-05-08","11:00 - 12:00","71","µg/m³"
"PM2.5","2015-05-08","12:00 - 13:00","78","µg/m³"
"PM2.5","2015-05-08","13:00 - 14:00","77","µg/m³"
"PM2.5","2015-05-08","14:00 - 15:00","82","µg/m³"
"PM2.5","2015-05-08","15:00 - 16:00","119","µg/m³"
"PM2.5","2015-05-08","16:00 - 17:00","68","µg/m³"
"PM2.5","2015-05-08","17:00 - 18:00","23","µg/m³"
"PM2.5","2015-05-08","18:00 - 19:00","12","µg/m³"
"PM2.5","2015-05-08","21:00 - 22:00","7","µg/m³"
"PM2.5","2015-05-08","22:00 - 23:00","38","µg/m³"
