"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2019-12-01","0:00 - 1:00","60","µg/m³"
"PM10","2019-12-01","1:00 - 2:00","44","µg/m³"
"PM10","2019-12-01","2:00 - 3:00","49","µg/m³"
"PM10","2019-12-01","3:00 - 4:00","62","µg/m³"
"PM10","2019-12-01","4:00 - 5:00","52","µg/m³"
"PM10","2019-12-01","5:00 - 6:00","42","µg/m³"
"PM10","2019-12-01","6:00 - 7:00","39","µg/m³"
"PM10","2019-12-01","7:00 - 8:00","26","µg/m³"
"PM10","2019-12-01","8:00 - 9:00","23","µg/m³"
"PM10","2019-12-01","9:00 - 10:00","23","µg/m³"
"PM10","2019-12-01","10:00 - 11:00","24","µg/m³"
"PM10","2019-12-01","11:00 - 12:00","30","µg/m³"
"PM10","2019-12-01","12:00 - 13:00","40","µg/m³"
"PM10","2019-12-01","13:00 - 14:00","43","µg/m³"
"PM10","2019-12-01","14:00 - 15:00","42","µg/m³"
"PM10","2019-12-01","15:00 - 16:00","41","µg/m³"
"PM10","2019-12-01","16:00 - 17:00","38","µg/m³"
"PM10","2019-12-01","17:00 - 18:00","28","µg/m³"
"PM10","2019-12-01","18:00 - 19:00","27","µg/m³"
"PM10","2019-12-01","19:00 - 20:00","35","µg/m³"
"PM10","2019-12-01","20:00 - 21:00","29","µg/m³"
"PM10","2019-12-01","21:00 - 22:00","24","µg/m³"
"PM10","2019-12-01","22:00 - 23:00","29","µg/m³"
"PM10","2019-12-02","23:00 - 0:00","26","µg/m³"
"PM10","2019-12-02","0:00 - 1:00","27","µg/m³"
"PM10","2019-12-02","1:00 - 2:00","30","µg/m³"
"PM10","2019-12-02","2:00 - 3:00","26","µg/m³"
"PM10","2019-12-02","3:00 - 4:00","23","µg/m³"
"PM10","2019-12-02","4:00 - 5:00","22","µg/m³"
"PM10","2019-12-02","5:00 - 6:00","20","µg/m³"
"PM10","2019-12-02","6:00 - 7:00","22","µg/m³"
"PM10","2019-12-02","7:00 - 8:00","22","µg/m³"
"PM10","2019-12-02","8:00 - 9:00","54","µg/m³"
"PM10","2019-12-02","9:00 - 10:00","34","µg/m³"
"PM10","2019-12-02","10:00 - 11:00","30","µg/m³"
"PM10","2019-12-02","11:00 - 12:00","25","µg/m³"
"PM10","2019-12-02","12:00 - 13:00","23","µg/m³"
"PM10","2019-12-02","13:00 - 14:00","36","µg/m³"
"PM10","2019-12-02","14:00 - 15:00","32","µg/m³"
"PM10","2019-12-02","15:00 - 16:00","27","µg/m³"
"PM10","2019-12-02","16:00 - 17:00","28","µg/m³"
"PM10","2019-12-03","23:00 - 0:00","39","µg/m³"
"PM10","2019-12-03","1:00 - 2:00","22","µg/m³"
"PM10","2019-12-03","2:00 - 3:00","18","µg/m³"
"PM10","2019-12-03","3:00 - 4:00","27","µg/m³"
"PM10","2019-12-03","4:00 - 5:00","25","µg/m³"
"PM10","2019-12-03","5:00 - 6:00","22","µg/m³"
"PM10","2019-12-03","6:00 - 7:00","43","µg/m³"
"PM10","2019-12-03","7:00 - 8:00","50","µg/m³"
"PM10","2019-12-03","8:00 - 9:00","56","µg/m³"
"PM10","2019-12-03","9:00 - 10:00","79","µg/m³"
"PM10","2019-12-03","10:00 - 11:00","115","µg/m³"
"PM10","2019-12-03","11:00 - 12:00","104","µg/m³"
"PM10","2019-12-03","12:00 - 13:00","117","µg/m³"
"PM10","2019-12-03","13:00 - 14:00","102","µg/m³"
"PM10","2019-12-03","14:00 - 15:00","120","µg/m³"
"PM10","2019-12-03","15:00 - 16:00","112","µg/m³"
"PM10","2019-12-03","16:00 - 17:00","130","µg/m³"
"PM10","2019-12-03","17:00 - 18:00","127","µg/m³"
"PM10","2019-12-03","18:00 - 19:00","70","µg/m³"
"PM10","2019-12-03","19:00 - 20:00","85","µg/m³"
"PM10","2019-12-03","21:00 - 22:00","76","µg/m³"
"PM10","2019-12-03","22:00 - 23:00","75","µg/m³"
"PM10","2019-12-04","23:00 - 0:00","57","µg/m³"
"PM10","2019-12-04","0:00 - 1:00","56","µg/m³"
"PM10","2019-12-04","1:00 - 2:00","35","µg/m³"
"PM10","2019-12-04","2:00 - 3:00","59","µg/m³"
"PM10","2019-12-04","3:00 - 4:00","47","µg/m³"
"PM10","2019-12-04","4:00 - 5:00","55","µg/m³"
"PM10","2019-12-04","5:00 - 6:00","55","µg/m³"
"PM10","2019-12-04","6:00 - 7:00","56","µg/m³"
"PM10","2019-12-04","7:00 - 8:00","51","µg/m³"
"PM10","2019-12-04","8:00 - 9:00","43","µg/m³"
"PM10","2019-12-04","9:00 - 10:00","70","µg/m³"
"PM10","2019-12-04","10:00 - 11:00","61","µg/m³"
"PM10","2019-12-04","11:00 - 12:00","44","µg/m³"
"PM10","2019-12-04","12:00 - 13:00","21","µg/m³"
"PM10","2019-12-04","13:00 - 14:00","31","µg/m³"
"PM10","2019-12-04","14:00 - 15:00","31","µg/m³"
"PM10","2019-12-04","15:00 - 16:00","36","µg/m³"
"PM10","2019-12-04","16:00 - 17:00","46","µg/m³"
"PM10","2019-12-04","17:00 - 18:00","51","µg/m³"
"PM10","2019-12-04","18:00 - 19:00","49","µg/m³"
"PM10","2019-12-04","19:00 - 20:00","43","µg/m³"
"PM10","2019-12-04","20:00 - 21:00","36","µg/m³"
"PM10","2019-12-04","21:00 - 22:00","53","µg/m³"
"PM10","2019-12-04","22:00 - 23:00","49","µg/m³"
"PM10","2019-12-05","23:00 - 0:00","45","µg/m³"
"PM10","2019-12-05","0:00 - 1:00","29","µg/m³"
"PM10","2019-12-05","1:00 - 2:00","24","µg/m³"
"PM10","2019-12-05","2:00 - 3:00","23","µg/m³"
"PM10","2019-12-05","5:00 - 6:00","18","µg/m³"
"PM10","2019-12-05","6:00 - 7:00","23","µg/m³"
"PM10","2019-12-05","7:00 - 8:00","21","µg/m³"
"PM10","2019-12-05","8:00 - 9:00","30","µg/m³"
"PM10","2019-12-05","9:00 - 10:00","68","µg/m³"
"PM10","2019-12-05","10:00 - 11:00","69","µg/m³"
"PM10","2019-12-05","11:00 - 12:00","105","µg/m³"
"PM10","2019-12-05","12:00 - 13:00","122","µg/m³"
"PM10","2019-12-05","13:00 - 14:00","109","µg/m³"
"PM10","2019-12-05","14:00 - 15:00","99","µg/m³"
"PM10","2019-12-05","15:00 - 16:00","80","µg/m³"
"PM10","2019-12-05","16:00 - 17:00","91","µg/m³"
"PM10","2019-12-05","17:00 - 18:00","58","µg/m³"
"PM10","2019-12-05","18:00 - 19:00","67","µg/m³"
"PM10","2019-12-05","19:00 - 20:00","69","µg/m³"
"PM10","2019-12-05","20:00 - 21:00","74","µg/m³"
"PM10","2019-12-05","21:00 - 22:00","109","µg/m³"
"PM10","2019-12-05","22:00 - 23:00","80","µg/m³"
"PM10","2019-12-08","23:00 - 0:00","39","µg/m³"
"PM10","2019-12-08","0:00 - 1:00","48","µg/m³"
"PM10","2019-12-08","1:00 - 2:00","37","µg/m³"
"PM10","2019-12-08","2:00 - 3:00","34","µg/m³"
"PM10","2019-12-08","3:00 - 4:00","19","µg/m³"
"PM10","2019-12-08","4:00 - 5:00","27","µg/m³"
"PM10","2019-12-08","5:00 - 6:00","26","µg/m³"
"PM10","2019-12-08","6:00 - 7:00","24","µg/m³"
"PM10","2019-12-08","7:00 - 8:00","26","µg/m³"
"PM10","2019-12-08","8:00 - 9:00","32","µg/m³"
"PM10","2019-12-08","9:00 - 10:00","27","µg/m³"
"PM10","2019-12-08","10:00 - 11:00","48","µg/m³"
"PM10","2019-12-08","11:00 - 12:00","66","µg/m³"
"PM10","2019-12-08","12:00 - 13:00","78","µg/m³"
"PM10","2019-12-08","13:00 - 14:00","72","µg/m³"
"PM10","2019-12-08","14:00 - 15:00","47","µg/m³"
"PM10","2019-12-08","15:00 - 16:00","55","µg/m³"
"PM10","2019-12-08","16:00 - 17:00","41","µg/m³"
"PM10","2019-12-08","17:00 - 18:00","41","µg/m³"
"PM10","2019-12-08","18:00 - 19:00","48","µg/m³"
"PM10","2019-12-08","19:00 - 20:00","54","µg/m³"
"PM10","2019-12-08","20:00 - 21:00","63","µg/m³"
"PM10","2019-12-08","21:00 - 22:00","51","µg/m³"
"PM10","2019-12-08","22:00 - 23:00","50","µg/m³"
"PM10","2019-12-09","23:00 - 0:00","33","µg/m³"
"PM10","2019-12-09","0:00 - 1:00","30","µg/m³"
"PM10","2019-12-09","1:00 - 2:00","25","µg/m³"
"PM10","2019-12-09","2:00 - 3:00","26","µg/m³"
"PM10","2019-12-09","3:00 - 4:00","32","µg/m³"
"PM10","2019-12-09","4:00 - 5:00","31","µg/m³"
"PM10","2019-12-09","5:00 - 6:00","28","µg/m³"
"PM10","2019-12-09","6:00 - 7:00","36","µg/m³"
"PM10","2019-12-09","7:00 - 8:00","34","µg/m³"
"PM10","2019-12-09","8:00 - 9:00","55","µg/m³"
"PM10","2019-12-09","9:00 - 10:00","77","µg/m³"
"PM10","2019-12-09","12:00 - 13:00","94","µg/m³"
"PM10","2019-12-09","13:00 - 14:00","76","µg/m³"
"PM10","2019-12-09","14:00 - 15:00","113","µg/m³"
"PM10","2019-12-09","15:00 - 16:00","63","µg/m³"
"PM10","2019-12-09","16:00 - 17:00","58","µg/m³"
"PM10","2019-12-09","17:00 - 18:00","53","µg/m³"
