"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2019-04-01","2:00 - 3:00","2","µg/m³"
"PM2.5","2019-04-01","3:00 - 4:00","2","µg/m³"
"PM2.5","2019-04-01","5:00 - 6:00","2","µg/m³"
"PM2.5","2019-04-01","7:00 - 8:00","3","µg/m³"
"PM2.5","2019-04-01","8:00 - 9:00","7","µg/m³"
"PM2.5","2019-04-01","9:00 - 10:00","6","µg/m³"
"PM2.5","2019-04-01","10:00 - 11:00","10","µg/m³"
"PM2.5","2019-04-01","11:00 - 12:00","9","µg/m³"
"PM2.5","2019-04-01","12:00 - 13:00","17","µg/m³"
"PM2.5","2019-04-01","13:00 - 14:00","13","µg/m³"
"PM2.5","2019-04-01","14:00 - 15:00","19","µg/m³"
"PM2.5","2019-04-01","15:00 - 16:00","20","µg/m³"
"PM2.5","2019-04-01","16:00 - 17:00","12","µg/m³"
"PM2.5","2019-04-01","17:00 - 18:00","13","µg/m³"
"PM2.5","2019-04-01","18:00 - 19:00","24","µg/m³"
"PM2.5","2019-04-01","19:00 - 20:00","17","µg/m³"
"PM2.5","2019-04-01","20:00 - 21:00","6","µg/m³"
"PM2.5","2019-04-01","21:00 - 22:00","11","µg/m³"
"PM2.5","2019-04-01","22:00 - 23:00","7","µg/m³"
"PM2.5","2019-04-02","23:00 - 0:00","4","µg/m³"
"PM2.5","2019-04-02","0:00 - 1:00","6","µg/m³"
"PM2.5","2019-04-02","1:00 - 2:00","7","µg/m³"
"PM2.5","2019-04-02","2:00 - 3:00","6","µg/m³"
"PM2.5","2019-04-02","3:00 - 4:00","10","µg/m³"
"PM2.5","2019-04-02","5:00 - 6:00","5","µg/m³"
"PM2.5","2019-04-02","6:00 - 7:00","10","µg/m³"
"PM2.5","2019-04-02","7:00 - 8:00","2","µg/m³"
"PM2.5","2019-04-02","8:00 - 9:00","3","µg/m³"
"PM2.5","2019-04-02","9:00 - 10:00","8","µg/m³"
"PM2.5","2019-04-02","10:00 - 11:00","5","µg/m³"
"PM2.5","2019-04-02","13:00 - 14:00","11","µg/m³"
"PM2.5","2019-04-02","14:00 - 15:00","22","µg/m³"
"PM2.5","2019-04-02","15:00 - 16:00","24","µg/m³"
"PM2.5","2019-04-02","16:00 - 17:00","22","µg/m³"
"PM2.5","2019-04-02","17:00 - 18:00","12","µg/m³"
"PM2.5","2019-04-02","18:00 - 19:00","5","µg/m³"
"PM2.5","2019-04-02","19:00 - 20:00","8","µg/m³"
"PM2.5","2019-04-02","22:00 - 23:00","3","µg/m³"
"PM2.5","2019-04-03","23:00 - 0:00","2","µg/m³"
"PM2.5","2019-04-03","2:00 - 3:00","5","µg/m³"
"PM2.5","2019-04-03","3:00 - 4:00","7","µg/m³"
"PM2.5","2019-04-03","6:00 - 7:00","7","µg/m³"
"PM2.5","2019-04-03","7:00 - 8:00","4","µg/m³"
"PM2.5","2019-04-03","8:00 - 9:00","4","µg/m³"
"PM2.5","2019-04-03","11:00 - 12:00","4","µg/m³"
"PM2.5","2019-04-03","12:00 - 13:00","4","µg/m³"
"PM2.5","2019-04-03","13:00 - 14:00","21","µg/m³"
"PM2.5","2019-04-03","15:00 - 16:00","33","µg/m³"
"PM2.5","2019-04-03","16:00 - 17:00","32","µg/m³"
"PM2.5","2019-04-03","17:00 - 18:00","24","µg/m³"
"PM2.5","2019-04-03","18:00 - 19:00","23","µg/m³"
"PM2.5","2019-04-03","19:00 - 20:00","15","µg/m³"
"PM2.5","2019-04-03","20:00 - 21:00","3","µg/m³"
"PM2.5","2019-04-03","22:00 - 23:00","2","µg/m³"
"PM2.5","2019-04-04","0:00 - 1:00","3","µg/m³"
