"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2005-09-01","23:00 - 0:00","96","µg/m³"
"PM10","2005-09-01","0:00 - 1:00","61","µg/m³"
"PM10","2005-09-01","1:00 - 2:00","61","µg/m³"
"PM10","2005-09-01","2:00 - 3:00","78","µg/m³"
"PM10","2005-09-01","3:00 - 4:00","79","µg/m³"
"PM10","2005-09-01","4:00 - 5:00","78","µg/m³"
"PM10","2005-09-01","5:00 - 6:00","71","µg/m³"
"PM10","2005-09-01","6:00 - 7:00","85","µg/m³"
"PM10","2005-09-01","7:00 - 8:00","109","µg/m³"
"PM10","2005-09-01","8:00 - 9:00","106","µg/m³"
"PM10","2005-09-01","9:00 - 10:00","68","µg/m³"
"PM10","2005-09-01","10:00 - 11:00","74","µg/m³"
"PM10","2005-09-01","11:00 - 12:00","93","µg/m³"
"PM10","2005-09-01","12:00 - 13:00","87","µg/m³"
"PM10","2005-09-01","13:00 - 14:00","79","µg/m³"
"PM10","2005-09-01","14:00 - 15:00","77","µg/m³"
"PM10","2005-09-01","15:00 - 16:00","83","µg/m³"
"PM10","2005-09-01","16:00 - 17:00","147","µg/m³"
"PM10","2005-09-02","1:00 - 2:00","54","µg/m³"
"PM10","2005-09-02","2:00 - 3:00","68","µg/m³"
"PM10","2005-09-02","3:00 - 4:00","72","µg/m³"
"PM10","2005-09-02","4:00 - 5:00","105","µg/m³"
"PM10","2005-09-02","5:00 - 6:00","122","µg/m³"
"PM10","2005-09-02","6:00 - 7:00","110","µg/m³"
"PM10","2005-09-02","7:00 - 8:00","132","µg/m³"
"PM10","2005-09-02","8:00 - 9:00","131","µg/m³"
"PM10","2005-09-02","9:00 - 10:00","134","µg/m³"
"PM10","2005-09-02","10:00 - 11:00","137","µg/m³"
"PM10","2005-09-02","11:00 - 12:00","104","µg/m³"
"PM10","2005-09-02","12:00 - 13:00","95","µg/m³"
"PM10","2005-09-02","13:00 - 14:00","67","µg/m³"
"PM10","2005-09-02","14:00 - 15:00","62","µg/m³"
"PM10","2005-09-02","15:00 - 16:00","58","µg/m³"
"PM10","2005-09-02","16:00 - 17:00","56","µg/m³"
"PM10","2005-09-02","17:00 - 18:00","79","µg/m³"
"PM10","2005-09-02","20:00 - 21:00","73","µg/m³"
"PM10","2005-09-02","21:00 - 22:00","55","µg/m³"
"PM10","2005-09-02","22:00 - 23:00","71","µg/m³"
"PM10","2005-09-03","23:00 - 0:00","65","µg/m³"
"PM10","2005-09-03","0:00 - 1:00","35","µg/m³"
"PM10","2005-09-03","1:00 - 2:00","43","µg/m³"
"PM10","2005-09-03","2:00 - 3:00","42","µg/m³"
"PM10","2005-09-03","3:00 - 4:00","57","µg/m³"
"PM10","2005-09-03","4:00 - 5:00","54","µg/m³"
"PM10","2005-09-03","5:00 - 6:00","51","µg/m³"
"PM10","2005-09-03","6:00 - 7:00","63","µg/m³"
"PM10","2005-09-03","7:00 - 8:00","68","µg/m³"
"PM10","2005-09-03","8:00 - 9:00","78","µg/m³"
"PM10","2005-09-03","9:00 - 10:00","69","µg/m³"
"PM10","2005-09-03","10:00 - 11:00","85","µg/m³"
"PM10","2005-09-03","11:00 - 12:00","84","µg/m³"
"PM10","2005-09-03","12:00 - 13:00","82","µg/m³"
"PM10","2005-09-03","13:00 - 14:00","83","µg/m³"
"PM10","2005-09-03","14:00 - 15:00","62","µg/m³"
"PM10","2005-09-03","15:00 - 16:00","51","µg/m³"
"PM10","2005-09-03","16:00 - 17:00","53","µg/m³"
"PM10","2005-09-03","17:00 - 18:00","53","µg/m³"
"PM10","2005-09-03","18:00 - 19:00","49","µg/m³"
"PM10","2005-09-03","19:00 - 20:00","51","µg/m³"
"PM10","2005-09-03","20:00 - 21:00","51","µg/m³"
"PM10","2005-09-03","21:00 - 22:00","47","µg/m³"
"PM10","2005-09-03","22:00 - 23:00","41","µg/m³"
"PM10","2005-09-04","23:00 - 0:00","37","µg/m³"
"PM10","2005-09-04","0:00 - 1:00","44","µg/m³"
"PM10","2005-09-04","1:00 - 2:00","70","µg/m³"
"PM10","2005-09-04","2:00 - 3:00","77","µg/m³"
"PM10","2005-09-04","3:00 - 4:00","63","µg/m³"
"PM10","2005-09-04","4:00 - 5:00","80","µg/m³"
"PM10","2005-09-04","5:00 - 6:00","111","µg/m³"
"PM10","2005-09-04","6:00 - 7:00","126","µg/m³"
"PM10","2005-09-04","7:00 - 8:00","145","µg/m³"
"PM10","2005-09-04","8:00 - 9:00","137","µg/m³"
"PM10","2005-09-04","9:00 - 10:00","97","µg/m³"
"PM10","2005-09-04","10:00 - 11:00","53","µg/m³"
"PM10","2005-09-04","11:00 - 12:00","38","µg/m³"
"PM10","2005-09-04","12:00 - 13:00","52","µg/m³"
"PM10","2005-09-04","13:00 - 14:00","57","µg/m³"
"PM10","2005-09-04","14:00 - 15:00","67","µg/m³"
"PM10","2005-09-04","15:00 - 16:00","56","µg/m³"
"PM10","2005-09-04","16:00 - 17:00","52","µg/m³"
"PM10","2005-09-04","17:00 - 18:00","52","µg/m³"
"PM10","2005-09-04","18:00 - 19:00","73","µg/m³"
"PM10","2005-09-04","19:00 - 20:00","66","µg/m³"
"PM10","2005-09-04","20:00 - 21:00","48","µg/m³"
"PM10","2005-09-04","21:00 - 22:00","35","µg/m³"
"PM10","2005-09-04","22:00 - 23:00","82","µg/m³"
"PM10","2005-09-05","23:00 - 0:00","84","µg/m³"
"PM10","2005-09-05","0:00 - 1:00","78","µg/m³"
"PM10","2005-09-05","1:00 - 2:00","86","µg/m³"
"PM10","2005-09-05","2:00 - 3:00","92","µg/m³"
"PM10","2005-09-05","3:00 - 4:00","97","µg/m³"
"PM10","2005-09-05","4:00 - 5:00","97","µg/m³"
"PM10","2005-09-05","5:00 - 6:00","103","µg/m³"
"PM10","2005-09-05","6:00 - 7:00","105","µg/m³"
"PM10","2005-09-05","7:00 - 8:00","100","µg/m³"
"PM10","2005-09-05","8:00 - 9:00","103","µg/m³"
"PM10","2005-09-05","9:00 - 10:00","105","µg/m³"
"PM10","2005-09-05","10:00 - 11:00","96","µg/m³"
"PM10","2005-09-05","11:00 - 12:00","91","µg/m³"
"PM10","2005-09-05","12:00 - 13:00","80","µg/m³"
"PM10","2005-09-05","13:00 - 14:00","73","µg/m³"
"PM10","2005-09-05","14:00 - 15:00","70","µg/m³"
"PM10","2005-09-05","15:00 - 16:00","73","µg/m³"
"PM10","2005-09-05","16:00 - 17:00","69","µg/m³"
"PM10","2005-09-05","17:00 - 18:00","94","µg/m³"
"PM10","2005-09-05","18:00 - 19:00","79","µg/m³"
"PM10","2005-09-05","19:00 - 20:00","88","µg/m³"
"PM10","2005-09-05","20:00 - 21:00","93","µg/m³"
"PM10","2005-09-05","21:00 - 22:00","93","µg/m³"
"PM10","2005-09-05","22:00 - 23:00","81","µg/m³"
"PM10","2005-09-06","23:00 - 0:00","83","µg/m³"
"PM10","2005-09-06","0:00 - 1:00","75","µg/m³"
"PM10","2005-09-06","1:00 - 2:00","86","µg/m³"
"PM10","2005-09-06","2:00 - 3:00","72","µg/m³"
"PM10","2005-09-06","3:00 - 4:00","89","µg/m³"
"PM10","2005-09-06","4:00 - 5:00","129","µg/m³"
"PM10","2005-09-06","5:00 - 6:00","166","µg/m³"
"PM10","2005-09-06","6:00 - 7:00","175","µg/m³"
"PM10","2005-09-06","7:00 - 8:00","182","µg/m³"
"PM10","2005-09-06","8:00 - 9:00","160","µg/m³"
"PM10","2005-09-06","9:00 - 10:00","137","µg/m³"
"PM10","2005-09-06","10:00 - 11:00","119","µg/m³"
"PM10","2005-09-06","11:00 - 12:00","92","µg/m³"
"PM10","2005-09-06","12:00 - 13:00","79","µg/m³"
"PM10","2005-09-06","13:00 - 14:00","74","µg/m³"
"PM10","2005-09-06","14:00 - 15:00","78","µg/m³"
"PM10","2005-09-06","15:00 - 16:00","74","µg/m³"
"PM10","2005-09-06","16:00 - 17:00","63","µg/m³"
"PM10","2005-09-06","17:00 - 18:00","66","µg/m³"
"PM10","2005-09-06","18:00 - 19:00","69","µg/m³"
"PM10","2005-09-06","19:00 - 20:00","88","µg/m³"
"PM10","2005-09-06","20:00 - 21:00","103","µg/m³"
"PM10","2005-09-06","21:00 - 22:00","91","µg/m³"
"PM10","2005-09-06","22:00 - 23:00","82","µg/m³"
"PM10","2005-09-07","23:00 - 0:00","62","µg/m³"
"PM10","2005-09-07","0:00 - 1:00","60","µg/m³"
"PM10","2005-09-07","1:00 - 2:00","71","µg/m³"
"PM10","2005-09-07","2:00 - 3:00","78","µg/m³"
"PM10","2005-09-07","3:00 - 4:00","105","µg/m³"
"PM10","2005-09-07","4:00 - 5:00","100","µg/m³"
"PM10","2005-09-07","5:00 - 6:00","125","µg/m³"
"PM10","2005-09-07","6:00 - 7:00","126","µg/m³"
"PM10","2005-09-07","7:00 - 8:00","126","µg/m³"
"PM10","2005-09-07","8:00 - 9:00","124","µg/m³"
"PM10","2005-09-07","9:00 - 10:00","70","µg/m³"
"PM10","2005-09-07","10:00 - 11:00","73","µg/m³"
"PM10","2005-09-07","11:00 - 12:00","72","µg/m³"
"PM10","2005-09-07","12:00 - 13:00","68","µg/m³"
"PM10","2005-09-07","13:00 - 14:00","55","µg/m³"
"PM10","2005-09-07","14:00 - 15:00","70","µg/m³"
"PM10","2005-09-07","15:00 - 16:00","54","µg/m³"
"PM10","2005-09-07","16:00 - 17:00","54","µg/m³"
"PM10","2005-09-07","17:00 - 18:00","69","µg/m³"
"PM10","2005-09-07","18:00 - 19:00","108","µg/m³"
"PM10","2005-09-07","19:00 - 20:00","86","µg/m³"
"PM10","2005-09-07","20:00 - 21:00","109","µg/m³"
"PM10","2005-09-07","21:00 - 22:00","161","µg/m³"
"PM10","2005-09-07","22:00 - 23:00","186","µg/m³"
"PM10","2005-09-08","23:00 - 0:00","164","µg/m³"
"PM10","2005-09-08","0:00 - 1:00","140","µg/m³"
"PM10","2005-09-08","1:00 - 2:00","146","µg/m³"
"PM10","2005-09-08","2:00 - 3:00","139","µg/m³"
