"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2016-05-01","23:00 - 0:00","18","µg/m³"
"PM2.5","2016-05-01","0:00 - 1:00","23","µg/m³"
"PM2.5","2016-05-01","1:00 - 2:00","24","µg/m³"
"PM2.5","2016-05-01","2:00 - 3:00","23","µg/m³"
"PM2.5","2016-05-01","3:00 - 4:00","36","µg/m³"
"PM2.5","2016-05-01","4:00 - 5:00","34","µg/m³"
"PM2.5","2016-05-01","5:00 - 6:00","37","µg/m³"
"PM2.5","2016-05-01","6:00 - 7:00","14","µg/m³"
"PM2.5","2016-05-01","7:00 - 8:00","22","µg/m³"
"PM2.5","2016-05-01","8:00 - 9:00","41","µg/m³"
"PM2.5","2016-05-01","9:00 - 10:00","53","µg/m³"
"PM2.5","2016-05-01","10:00 - 11:00","39","µg/m³"
"PM2.5","2016-05-01","11:00 - 12:00","42","µg/m³"
"PM2.5","2016-05-01","12:00 - 13:00","27","µg/m³"
"PM2.5","2016-05-01","13:00 - 14:00","28","µg/m³"
"PM2.5","2016-05-01","14:00 - 15:00","30","µg/m³"
"PM2.5","2016-05-01","15:00 - 16:00","36","µg/m³"
"PM2.5","2016-05-01","16:00 - 17:00","42","µg/m³"
"PM2.5","2016-05-01","17:00 - 18:00","41","µg/m³"
"PM2.5","2016-05-01","18:00 - 19:00","39","µg/m³"
"PM2.5","2016-05-01","19:00 - 20:00","25","µg/m³"
"PM2.5","2016-05-01","20:00 - 21:00","33","µg/m³"
"PM2.5","2016-05-01","21:00 - 22:00","35","µg/m³"
"PM2.5","2016-05-01","22:00 - 23:00","40","µg/m³"
"PM2.5","2016-05-02","23:00 - 0:00","38","µg/m³"
"PM2.5","2016-05-02","0:00 - 1:00","48","µg/m³"
"PM2.5","2016-05-02","1:00 - 2:00","67","µg/m³"
"PM2.5","2016-05-02","2:00 - 3:00","5","µg/m³"
"PM2.5","2016-05-02","3:00 - 4:00","12","µg/m³"
"PM2.5","2016-05-02","4:00 - 5:00","10","µg/m³"
"PM2.5","2016-05-02","5:00 - 6:00","12","µg/m³"
"PM2.5","2016-05-02","6:00 - 7:00","10","µg/m³"
"PM2.5","2016-05-02","7:00 - 8:00","16","µg/m³"
"PM2.5","2016-05-02","8:00 - 9:00","9","µg/m³"
"PM2.5","2016-05-02","11:00 - 12:00","11","µg/m³"
"PM2.5","2016-05-02","12:00 - 13:00","10","µg/m³"
"PM2.5","2016-05-02","15:00 - 16:00","5","µg/m³"
"PM2.5","2016-05-02","17:00 - 18:00","8","µg/m³"
"PM2.5","2016-05-02","20:00 - 21:00","8","µg/m³"
"PM2.5","2016-05-02","21:00 - 22:00","9","µg/m³"
"PM2.5","2016-05-02","22:00 - 23:00","10","µg/m³"
"PM2.5","2016-05-03","23:00 - 0:00","7","µg/m³"
"PM2.5","2016-05-03","0:00 - 1:00","12","µg/m³"
"PM2.5","2016-05-03","1:00 - 2:00","13","µg/m³"
"PM2.5","2016-05-03","2:00 - 3:00","15","µg/m³"
"PM2.5","2016-05-03","3:00 - 4:00","16","µg/m³"
"PM2.5","2016-05-03","4:00 - 5:00","17","µg/m³"
"PM2.5","2016-05-03","5:00 - 6:00","22","µg/m³"
