"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2001-05-21","12:00 - 13:00","96","µg/m³"
"PM10","2001-05-21","13:00 - 14:00","70","µg/m³"
"PM10","2001-05-21","14:00 - 15:00","92","µg/m³"
"PM10","2001-05-21","15:00 - 16:00","124","µg/m³"
"PM10","2001-05-21","16:00 - 17:00","158","µg/m³"
"PM10","2001-05-21","17:00 - 18:00","112","µg/m³"
"PM10","2001-05-21","18:00 - 19:00","142","µg/m³"
"PM10","2001-05-21","19:00 - 20:00","122","µg/m³"
"PM10","2001-05-21","20:00 - 21:00","106","µg/m³"
"PM10","2001-05-21","21:00 - 22:00","108","µg/m³"
"PM10","2001-05-21","22:00 - 23:00","145","µg/m³"
"PM10","2001-05-22","23:00 - 0:00","102","µg/m³"
"PM10","2001-05-22","0:00 - 1:00","88","µg/m³"
"PM10","2001-05-22","1:00 - 2:00","95","µg/m³"
"PM10","2001-05-22","2:00 - 3:00","76","µg/m³"
"PM10","2001-05-22","3:00 - 4:00","85","µg/m³"
"PM10","2001-05-22","4:00 - 5:00","104","µg/m³"
"PM10","2001-05-22","5:00 - 6:00","84","µg/m³"
"PM10","2001-05-22","6:00 - 7:00","111","µg/m³"
"PM10","2001-05-22","7:00 - 8:00","104","µg/m³"
"PM10","2001-05-22","8:00 - 9:00","132","µg/m³"
"PM10","2001-05-22","9:00 - 10:00","104","µg/m³"
"PM10","2001-05-22","10:00 - 11:00","98","µg/m³"
"PM10","2001-05-22","11:00 - 12:00","65","µg/m³"
"PM10","2001-05-22","12:00 - 13:00","83","µg/m³"
"PM10","2001-05-22","14:00 - 15:00","118","µg/m³"
"PM10","2001-05-22","15:00 - 16:00","114","µg/m³"
"PM10","2001-05-22","16:00 - 17:00","126","µg/m³"
"PM10","2001-05-22","17:00 - 18:00","152","µg/m³"
"PM10","2001-05-22","18:00 - 19:00","144","µg/m³"
"PM10","2001-05-22","19:00 - 20:00","144","µg/m³"
"PM10","2001-05-22","20:00 - 21:00","152","µg/m³"
"PM10","2001-05-22","21:00 - 22:00","109","µg/m³"
"PM10","2001-05-22","22:00 - 23:00","106","µg/m³"
"PM10","2001-05-23","23:00 - 0:00","108","µg/m³"
"PM10","2001-05-23","0:00 - 1:00","104","µg/m³"
"PM10","2001-05-23","1:00 - 2:00","110","µg/m³"
"PM10","2001-05-23","2:00 - 3:00","108","µg/m³"
"PM10","2001-05-23","3:00 - 4:00","162","µg/m³"
"PM10","2001-05-23","4:00 - 5:00","162","µg/m³"
"PM10","2001-05-23","5:00 - 6:00","148","µg/m³"
"PM10","2001-05-23","6:00 - 7:00","159","µg/m³"
"PM10","2001-05-23","7:00 - 8:00","159","µg/m³"
"PM10","2001-05-23","8:00 - 9:00","117","µg/m³"
"PM10","2001-05-23","9:00 - 10:00","156","µg/m³"
"PM10","2001-05-23","10:00 - 11:00","91","µg/m³"
"PM10","2001-05-23","11:00 - 12:00","87","µg/m³"
"PM10","2001-05-23","12:00 - 13:00","122","µg/m³"
"PM10","2001-05-23","13:00 - 14:00","102","µg/m³"
"PM10","2001-05-23","14:00 - 15:00","105","µg/m³"
"PM10","2001-05-23","15:00 - 16:00","92","µg/m³"
"PM10","2001-05-23","16:00 - 17:00","97","µg/m³"
"PM10","2001-05-23","17:00 - 18:00","82","µg/m³"
"PM10","2001-05-23","18:00 - 19:00","80","µg/m³"
"PM10","2001-05-23","19:00 - 20:00","93","µg/m³"
"PM10","2001-05-23","20:00 - 21:00","90","µg/m³"
"PM10","2001-05-23","21:00 - 22:00","92","µg/m³"
"PM10","2001-05-23","22:00 - 23:00","90","µg/m³"
"PM10","2001-05-24","23:00 - 0:00","86","µg/m³"
"PM10","2001-05-24","0:00 - 1:00","64","µg/m³"
"PM10","2001-05-24","1:00 - 2:00","72","µg/m³"
"PM10","2001-05-24","2:00 - 3:00","83","µg/m³"
"PM10","2001-05-24","3:00 - 4:00","97","µg/m³"
"PM10","2001-05-24","4:00 - 5:00","132","µg/m³"
"PM10","2001-05-24","5:00 - 6:00","181","µg/m³"
"PM10","2001-05-24","6:00 - 7:00","292","µg/m³"
"PM10","2001-05-24","7:00 - 8:00","212","µg/m³"
"PM10","2001-05-24","8:00 - 9:00","196","µg/m³"
"PM10","2001-05-24","9:00 - 10:00","184","µg/m³"
"PM10","2001-05-24","10:00 - 11:00","186","µg/m³"
"PM10","2001-05-24","11:00 - 12:00","212","µg/m³"
"PM10","2001-05-24","12:00 - 13:00","154","µg/m³"
"PM10","2001-05-24","13:00 - 14:00","146","µg/m³"
"PM10","2001-05-24","14:00 - 15:00","196","µg/m³"
"PM10","2001-05-24","15:00 - 16:00","164","µg/m³"
"PM10","2001-05-24","16:00 - 17:00","136","µg/m³"
"PM10","2001-05-24","17:00 - 18:00","114","µg/m³"
"PM10","2001-05-24","18:00 - 19:00","102","µg/m³"
"PM10","2001-05-24","19:00 - 20:00","124","µg/m³"
"PM10","2001-05-24","20:00 - 21:00","162","µg/m³"
