"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2019-09-01","0:00 - 1:00","15","µg/m³"
"PM2.5","2019-09-02","0:00 - 1:00","13","µg/m³"
"PM2.5","2019-09-02","1:00 - 2:00","12","µg/m³"
"PM2.5","2019-09-02","2:00 - 3:00","10","µg/m³"
"PM2.5","2019-09-02","3:00 - 4:00","10","µg/m³"
"PM2.5","2019-09-02","4:00 - 5:00","11","µg/m³"
"PM2.5","2019-09-02","5:00 - 6:00","13","µg/m³"
"PM2.5","2019-09-02","6:00 - 7:00","12","µg/m³"
"PM2.5","2019-09-02","7:00 - 8:00","11","µg/m³"
"PM2.5","2019-09-02","8:00 - 9:00","11","µg/m³"
"PM2.5","2019-09-02","9:00 - 10:00","13","µg/m³"
"PM2.5","2019-09-02","10:00 - 11:00","17","µg/m³"
"PM2.5","2019-09-02","11:00 - 12:00","18","µg/m³"
"PM2.5","2019-09-02","12:00 - 13:00","8","µg/m³"
"PM2.5","2019-09-02","13:00 - 14:00","9","µg/m³"
"PM2.5","2019-09-02","14:00 - 15:00","8","µg/m³"
"PM2.5","2019-09-02","15:00 - 16:00","10","µg/m³"
"PM2.5","2019-09-02","16:00 - 17:00","9","µg/m³"
"PM2.5","2019-09-02","17:00 - 18:00","9","µg/m³"
"PM2.5","2019-09-02","18:00 - 19:00","11","µg/m³"
"PM2.5","2019-09-02","19:00 - 20:00","9","µg/m³"
"PM2.5","2019-09-02","20:00 - 21:00","10","µg/m³"
"PM2.5","2019-09-02","21:00 - 22:00","9","µg/m³"
"PM2.5","2019-09-02","22:00 - 23:00","9","µg/m³"
"PM2.5","2019-09-03","23:00 - 0:00","15","µg/m³"
"PM2.5","2019-09-03","0:00 - 1:00","10","µg/m³"
"PM2.5","2019-09-03","1:00 - 2:00","11","µg/m³"
"PM2.5","2019-09-03","2:00 - 3:00","9","µg/m³"
"PM2.5","2019-09-03","3:00 - 4:00","8","µg/m³"
"PM2.5","2019-09-03","4:00 - 5:00","7","µg/m³"
"PM2.5","2019-09-03","5:00 - 6:00","8","µg/m³"
"PM2.5","2019-09-03","6:00 - 7:00","27","µg/m³"
"PM2.5","2019-09-03","7:00 - 8:00","16","µg/m³"
"PM2.5","2019-09-03","8:00 - 9:00","15","µg/m³"
"PM2.5","2019-09-03","9:00 - 10:00","10","µg/m³"
"PM2.5","2019-09-03","10:00 - 11:00","7","µg/m³"
"PM2.5","2019-09-03","11:00 - 12:00","8","µg/m³"
"PM2.5","2019-09-03","12:00 - 13:00","8","µg/m³"
"PM2.5","2019-09-03","13:00 - 14:00","7","µg/m³"
"PM2.5","2019-09-03","14:00 - 15:00","7","µg/m³"
"PM2.5","2019-09-03","15:00 - 16:00","6","µg/m³"
"PM2.5","2019-09-03","16:00 - 17:00","5","µg/m³"
"PM2.5","2019-09-03","17:00 - 18:00","7","µg/m³"
"PM2.5","2019-09-03","18:00 - 19:00","10","µg/m³"
"PM2.5","2019-09-03","19:00 - 20:00","9","µg/m³"
"PM2.5","2019-09-03","20:00 - 21:00","8","µg/m³"
"PM2.5","2019-09-03","21:00 - 22:00","7","µg/m³"
"PM2.5","2019-09-03","22:00 - 23:00","7","µg/m³"
"PM2.5","2019-09-04","23:00 - 0:00","7","µg/m³"
"PM2.5","2019-09-04","0:00 - 1:00","7","µg/m³"
"PM2.5","2019-09-04","1:00 - 2:00","8","µg/m³"
"PM2.5","2019-09-04","2:00 - 3:00","10","µg/m³"
"PM2.5","2019-09-04","3:00 - 4:00","13","µg/m³"
"PM2.5","2019-09-04","4:00 - 5:00","11","µg/m³"
"PM2.5","2019-09-04","5:00 - 6:00","8","µg/m³"
"PM2.5","2019-09-04","6:00 - 7:00","10","µg/m³"
"PM2.5","2019-09-04","7:00 - 8:00","8","µg/m³"
"PM2.5","2019-09-04","8:00 - 9:00","8","µg/m³"
"PM2.5","2019-09-04","9:00 - 10:00","9","µg/m³"
"PM2.5","2019-09-04","10:00 - 11:00","10","µg/m³"
"PM2.5","2019-09-04","11:00 - 12:00","7","µg/m³"
"PM2.5","2019-09-04","12:00 - 13:00","6","µg/m³"
"PM2.5","2019-09-04","15:00 - 16:00","7","µg/m³"
"PM2.5","2019-09-04","17:00 - 18:00","4","µg/m³"
"PM2.5","2019-09-04","19:00 - 20:00","4","µg/m³"
"PM2.5","2019-09-04","20:00 - 21:00","4","µg/m³"
"PM2.5","2019-09-04","21:00 - 22:00","6","µg/m³"
"PM2.5","2019-09-04","22:00 - 23:00","8","µg/m³"
"PM2.5","2019-09-05","23:00 - 0:00","6","µg/m³"
"PM2.5","2019-09-05","0:00 - 1:00","4","µg/m³"
"PM2.5","2019-09-05","2:00 - 3:00","3","µg/m³"
"PM2.5","2019-09-05","3:00 - 4:00","4","µg/m³"
"PM2.5","2019-09-05","5:00 - 6:00","5","µg/m³"
"PM2.5","2019-09-05","6:00 - 7:00","5","µg/m³"
"PM2.5","2019-09-05","7:00 - 8:00","7","µg/m³"
"PM2.5","2019-09-05","8:00 - 9:00","8","µg/m³"
"PM2.5","2019-09-05","9:00 - 10:00","10","µg/m³"
"PM2.5","2019-09-05","10:00 - 11:00","9","µg/m³"
"PM2.5","2019-09-05","11:00 - 12:00","11","µg/m³"
"PM2.5","2019-09-05","12:00 - 13:00","15","µg/m³"
"PM2.5","2019-09-05","13:00 - 14:00","18","µg/m³"
"PM2.5","2019-09-05","14:00 - 15:00","14","µg/m³"
"PM2.5","2019-09-05","15:00 - 16:00","13","µg/m³"
"PM2.5","2019-09-05","16:00 - 17:00","10","µg/m³"
"PM2.5","2019-09-05","17:00 - 18:00","9","µg/m³"
"PM2.5","2019-09-05","18:00 - 19:00","9","µg/m³"
"PM2.5","2019-09-05","19:00 - 20:00","12","µg/m³"
"PM2.5","2019-09-05","20:00 - 21:00","13","µg/m³"
"PM2.5","2019-09-05","21:00 - 22:00","8","µg/m³"
"PM2.5","2019-09-05","22:00 - 23:00","13","µg/m³"
"PM2.5","2019-09-06","23:00 - 0:00","8","µg/m³"
"PM2.5","2019-09-06","0:00 - 1:00","10","µg/m³"
"PM2.5","2019-09-10","9:00 - 10:00","0","µg/m³"
"PM2.5","2019-09-16","9:00 - 10:00","11","µg/m³"
"PM2.5","2019-09-16","10:00 - 11:00","12","µg/m³"
"PM2.5","2019-09-16","11:00 - 12:00","8","µg/m³"
"PM2.5","2019-09-16","12:00 - 13:00","6","µg/m³"
"PM2.5","2019-09-16","13:00 - 14:00","6","µg/m³"
"PM2.5","2019-09-16","14:00 - 15:00","7","µg/m³"
"PM2.5","2019-09-16","15:00 - 16:00","7","µg/m³"
"PM2.5","2019-09-16","16:00 - 17:00","7","µg/m³"
"PM2.5","2019-09-16","17:00 - 18:00","7","µg/m³"
"PM2.5","2019-09-16","18:00 - 19:00","8","µg/m³"
"PM2.5","2019-09-16","19:00 - 20:00","13","µg/m³"
"PM2.5","2019-09-16","20:00 - 21:00","13","µg/m³"
"PM2.5","2019-09-16","21:00 - 22:00","9","µg/m³"
"PM2.5","2019-09-16","22:00 - 23:00","10","µg/m³"
"PM2.5","2019-09-17","23:00 - 0:00","8","µg/m³"
"PM2.5","2019-09-17","0:00 - 1:00","15","µg/m³"
"PM2.5","2019-09-17","1:00 - 2:00","18","µg/m³"
"PM2.5","2019-09-17","2:00 - 3:00","11","µg/m³"
"PM2.5","2019-09-17","3:00 - 4:00","8","µg/m³"
"PM2.5","2019-09-17","4:00 - 5:00","8","µg/m³"
"PM2.5","2019-09-17","5:00 - 6:00","11","µg/m³"
"PM2.5","2019-09-17","6:00 - 7:00","12","µg/m³"
"PM2.5","2019-09-17","7:00 - 8:00","10","µg/m³"
"PM2.5","2019-09-17","8:00 - 9:00","12","µg/m³"
"PM2.5","2019-09-17","9:00 - 10:00","17","µg/m³"
"PM2.5","2019-09-17","10:00 - 11:00","15","µg/m³"
"PM2.5","2019-09-17","11:00 - 12:00","13","µg/m³"
"PM2.5","2019-09-17","12:00 - 13:00","13","µg/m³"
"PM2.5","2019-09-17","13:00 - 14:00","11","µg/m³"
"PM2.5","2019-09-17","14:00 - 15:00","18","µg/m³"
"PM2.5","2019-09-17","15:00 - 16:00","27","µg/m³"
"PM2.5","2019-09-17","16:00 - 17:00","17","µg/m³"
"PM2.5","2019-09-17","17:00 - 18:00","16","µg/m³"
"PM2.5","2019-09-17","18:00 - 19:00","11","µg/m³"
"PM2.5","2019-09-17","19:00 - 20:00","13","µg/m³"
"PM2.5","2019-09-17","20:00 - 21:00","12","µg/m³"
"PM2.5","2019-09-17","21:00 - 22:00","13","µg/m³"
"PM2.5","2019-09-17","22:00 - 23:00","14","µg/m³"
"PM2.5","2019-09-18","23:00 - 0:00","17","µg/m³"
"PM2.5","2019-09-18","0:00 - 1:00","17","µg/m³"
"PM2.5","2019-09-18","1:00 - 2:00","13","µg/m³"
"PM2.5","2019-09-18","2:00 - 3:00","11","µg/m³"
"PM2.5","2019-09-18","3:00 - 4:00","9","µg/m³"
"PM2.5","2019-09-18","4:00 - 5:00","11","µg/m³"
"PM2.5","2019-09-18","5:00 - 6:00","14","µg/m³"
"PM2.5","2019-09-18","6:00 - 7:00","15","µg/m³"
"PM2.5","2019-09-18","7:00 - 8:00","17","µg/m³"
"PM2.5","2019-09-18","8:00 - 9:00","20","µg/m³"
"PM2.5","2019-09-18","9:00 - 10:00","19","µg/m³"
"PM2.5","2019-09-18","10:00 - 11:00","16","µg/m³"
"PM2.5","2019-09-18","11:00 - 12:00","15","µg/m³"
"PM2.5","2019-09-18","12:00 - 13:00","15","µg/m³"
"PM2.5","2019-09-18","13:00 - 14:00","15","µg/m³"
"PM2.5","2019-09-18","14:00 - 15:00","14","µg/m³"
"PM2.5","2019-09-18","15:00 - 16:00","16","µg/m³"
"PM2.5","2019-09-18","16:00 - 17:00","24","µg/m³"
"PM2.5","2019-09-18","17:00 - 18:00","26","µg/m³"
"PM2.5","2019-09-18","18:00 - 19:00","20","µg/m³"
"PM2.5","2019-09-18","19:00 - 20:00","30","µg/m³"
"PM2.5","2019-09-18","20:00 - 21:00","27","µg/m³"
"PM2.5","2019-09-18","21:00 - 22:00","22","µg/m³"
"PM2.5","2019-09-18","22:00 - 23:00","16","µg/m³"
"PM2.5","2019-09-19","23:00 - 0:00","17","µg/m³"
"PM2.5","2019-09-19","0:00 - 1:00","17","µg/m³"
"PM2.5","2019-09-19","1:00 - 2:00","19","µg/m³"
"PM2.5","2019-09-19","2:00 - 3:00","17","µg/m³"
"PM2.5","2019-09-19","3:00 - 4:00","15","µg/m³"
"PM2.5","2019-09-19","4:00 - 5:00","18","µg/m³"
"PM2.5","2019-09-19","5:00 - 6:00","16","µg/m³"
"PM2.5","2019-09-19","6:00 - 7:00","18","µg/m³"
"PM2.5","2019-09-19","7:00 - 8:00","20","µg/m³"
"PM2.5","2019-09-19","8:00 - 9:00","23","µg/m³"
"PM2.5","2019-09-19","9:00 - 10:00","24","µg/m³"
"PM2.5","2019-09-19","10:00 - 11:00","29","µg/m³"
"PM2.5","2019-09-19","11:00 - 12:00","28","µg/m³"
"PM2.5","2019-09-19","12:00 - 13:00","24","µg/m³"
"PM2.5","2019-09-19","13:00 - 14:00","23","µg/m³"
"PM2.5","2019-09-19","14:00 - 15:00","32","µg/m³"
"PM2.5","2019-09-19","15:00 - 16:00","37","µg/m³"
"PM2.5","2019-09-19","16:00 - 17:00","33","µg/m³"
"PM2.5","2019-09-19","17:00 - 18:00","32","µg/m³"
"PM2.5","2019-09-19","18:00 - 19:00","28","µg/m³"
"PM2.5","2019-09-19","19:00 - 20:00","25","µg/m³"
"PM2.5","2019-09-19","20:00 - 21:00","26","µg/m³"
"PM2.5","2019-09-19","21:00 - 22:00","27","µg/m³"
"PM2.5","2019-09-19","22:00 - 23:00","25","µg/m³"
"PM2.5","2019-09-20","23:00 - 0:00","22","µg/m³"
"PM2.5","2019-09-20","0:00 - 1:00","20","µg/m³"
"PM2.5","2019-09-20","1:00 - 2:00","15","µg/m³"
"PM2.5","2019-09-20","2:00 - 3:00","15","µg/m³"
"PM2.5","2019-09-20","3:00 - 4:00","16","µg/m³"
"PM2.5","2019-09-20","4:00 - 5:00","16","µg/m³"
"PM2.5","2019-09-20","5:00 - 6:00","18","µg/m³"
"PM2.5","2019-09-20","6:00 - 7:00","21","µg/m³"
"PM2.5","2019-09-20","7:00 - 8:00","21","µg/m³"
"PM2.5","2019-09-20","8:00 - 9:00","23","µg/m³"
"PM2.5","2019-09-20","9:00 - 10:00","23","µg/m³"
"PM2.5","2019-09-20","10:00 - 11:00","23","µg/m³"
"PM2.5","2019-09-20","11:00 - 12:00","24","µg/m³"
"PM2.5","2019-09-20","12:00 - 13:00","22","µg/m³"
"PM2.5","2019-09-20","13:00 - 14:00","20","µg/m³"
"PM2.5","2019-09-20","14:00 - 15:00","19","µg/m³"
"PM2.5","2019-09-20","22:00 - 23:00","11","µg/m³"
"PM2.5","2019-09-21","23:00 - 0:00","18","µg/m³"
"PM2.5","2019-09-21","0:00 - 1:00","10","µg/m³"
"PM2.5","2019-09-21","1:00 - 2:00","8","µg/m³"
"PM2.5","2019-09-21","2:00 - 3:00","10","µg/m³"
"PM2.5","2019-09-21","3:00 - 4:00","8","µg/m³"
"PM2.5","2019-09-21","4:00 - 5:00","9","µg/m³"
"PM2.5","2019-09-21","5:00 - 6:00","11","µg/m³"
"PM2.5","2019-09-21","6:00 - 7:00","11","µg/m³"
"PM2.5","2019-09-21","7:00 - 8:00","11","µg/m³"
"PM2.5","2019-09-21","8:00 - 9:00","14","µg/m³"
"PM2.5","2019-09-21","9:00 - 10:00","19","µg/m³"
"PM2.5","2019-09-21","10:00 - 11:00","18","µg/m³"
"PM2.5","2019-09-21","12:00 - 13:00","15","µg/m³"
"PM2.5","2019-09-21","13:00 - 14:00","15","µg/m³"
"PM2.5","2019-09-21","14:00 - 15:00","17","µg/m³"
"PM2.5","2019-09-21","15:00 - 16:00","16","µg/m³"
"PM2.5","2019-09-21","16:00 - 17:00","15","µg/m³"
"PM2.5","2019-09-21","17:00 - 18:00","14","µg/m³"
"PM2.5","2019-09-21","18:00 - 19:00","17","µg/m³"
"PM2.5","2019-09-21","19:00 - 20:00","22","µg/m³"
"PM2.5","2019-09-21","20:00 - 21:00","21","µg/m³"
"PM2.5","2019-09-21","21:00 - 22:00","14","µg/m³"
"PM2.5","2019-09-21","22:00 - 23:00","12","µg/m³"
"PM2.5","2019-09-22","23:00 - 0:00","9","µg/m³"
"PM2.5","2019-09-22","0:00 - 1:00","10","µg/m³"
"PM2.5","2019-09-22","1:00 - 2:00","11","µg/m³"
"PM2.5","2019-09-22","2:00 - 3:00","10","µg/m³"
"PM2.5","2019-09-22","3:00 - 4:00","9","µg/m³"
"PM2.5","2019-09-22","4:00 - 5:00","9","µg/m³"
"PM2.5","2019-09-22","5:00 - 6:00","8","µg/m³"
"PM2.5","2019-09-22","6:00 - 7:00","9","µg/m³"
"PM2.5","2019-09-22","7:00 - 8:00","10","µg/m³"
"PM2.5","2019-09-22","8:00 - 9:00","12","µg/m³"
"PM2.5","2019-09-22","9:00 - 10:00","14","µg/m³"
"PM2.5","2019-09-22","10:00 - 11:00","18","µg/m³"
"PM2.5","2019-09-22","11:00 - 12:00","20","µg/m³"
"PM2.5","2019-09-22","12:00 - 13:00","23","µg/m³"
"PM2.5","2019-09-22","13:00 - 14:00","19","µg/m³"
"PM2.5","2019-09-22","14:00 - 15:00","16","µg/m³"
"PM2.5","2019-09-22","15:00 - 16:00","18","µg/m³"
"PM2.5","2019-09-22","16:00 - 17:00","18","µg/m³"
"PM2.5","2019-09-22","17:00 - 18:00","19","µg/m³"
"PM2.5","2019-09-22","18:00 - 19:00","18","µg/m³"
"PM2.5","2019-09-22","19:00 - 20:00","15","µg/m³"
"PM2.5","2019-09-22","20:00 - 21:00","22","µg/m³"
"PM2.5","2019-09-22","21:00 - 22:00","18","µg/m³"
"PM2.5","2019-09-22","22:00 - 23:00","11","µg/m³"
"PM2.5","2019-09-23","23:00 - 0:00","8","µg/m³"
"PM2.5","2019-09-23","0:00 - 1:00","7","µg/m³"
"PM2.5","2019-09-23","1:00 - 2:00","7","µg/m³"
"PM2.5","2019-09-23","2:00 - 3:00","6","µg/m³"
"PM2.5","2019-09-23","3:00 - 4:00","6","µg/m³"
"PM2.5","2019-09-23","4:00 - 5:00","7","µg/m³"
"PM2.5","2019-09-23","5:00 - 6:00","10","µg/m³"
"PM2.5","2019-09-23","6:00 - 7:00","13","µg/m³"
"PM2.5","2019-09-23","7:00 - 8:00","14","µg/m³"
"PM2.5","2019-09-23","8:00 - 9:00","12","µg/m³"
"PM2.5","2019-09-23","9:00 - 10:00","16","µg/m³"
"PM2.5","2019-09-23","10:00 - 11:00","20","µg/m³"
"PM2.5","2019-09-23","11:00 - 12:00","20","µg/m³"
"PM2.5","2019-09-23","12:00 - 13:00","17","µg/m³"
"PM2.5","2019-09-23","13:00 - 14:00","19","µg/m³"
"PM2.5","2019-09-23","14:00 - 15:00","13","µg/m³"
"PM2.5","2019-09-23","15:00 - 16:00","13","µg/m³"
"PM2.5","2019-09-23","16:00 - 17:00","13","µg/m³"
"PM2.5","2019-09-23","17:00 - 18:00","15","µg/m³"
"PM2.5","2019-09-23","18:00 - 19:00","15","µg/m³"
"PM2.5","2019-09-23","19:00 - 20:00","13","µg/m³"
"PM2.5","2019-09-23","20:00 - 21:00","18","µg/m³"
"PM2.5","2019-09-23","21:00 - 22:00","14","µg/m³"
"PM2.5","2019-09-23","22:00 - 23:00","9","µg/m³"
"PM2.5","2019-09-24","23:00 - 0:00","8","µg/m³"
"PM2.5","2019-09-24","0:00 - 1:00","8","µg/m³"
"PM2.5","2019-09-24","1:00 - 2:00","9","µg/m³"
"PM2.5","2019-09-24","2:00 - 3:00","8","µg/m³"
"PM2.5","2019-09-24","3:00 - 4:00","7","µg/m³"
"PM2.5","2019-09-24","4:00 - 5:00","7","µg/m³"
"PM2.5","2019-09-24","5:00 - 6:00","7","µg/m³"
"PM2.5","2019-09-24","6:00 - 7:00","9","µg/m³"
"PM2.5","2019-09-24","7:00 - 8:00","14","µg/m³"
"PM2.5","2019-09-24","8:00 - 9:00","16","µg/m³"
"PM2.5","2019-09-24","9:00 - 10:00","15","µg/m³"
"PM2.5","2019-09-24","10:00 - 11:00","18","µg/m³"
"PM2.5","2019-09-24","11:00 - 12:00","20","µg/m³"
"PM2.5","2019-09-24","12:00 - 13:00","22","µg/m³"
"PM2.5","2019-09-24","13:00 - 14:00","22","µg/m³"
"PM2.5","2019-09-24","14:00 - 15:00","12","µg/m³"
"PM2.5","2019-09-24","15:00 - 16:00","14","µg/m³"
"PM2.5","2019-09-24","16:00 - 17:00","13","µg/m³"
"PM2.5","2019-09-24","17:00 - 18:00","11","µg/m³"
"PM2.5","2019-09-24","18:00 - 19:00","11","µg/m³"
"PM2.5","2019-09-24","19:00 - 20:00","11","µg/m³"
"PM2.5","2019-09-24","20:00 - 21:00","12","µg/m³"
"PM2.5","2019-09-24","21:00 - 22:00","8","µg/m³"
"PM2.5","2019-09-24","22:00 - 23:00","8","µg/m³"
"PM2.5","2019-09-25","23:00 - 0:00","11","µg/m³"
"PM2.5","2019-09-25","0:00 - 1:00","8","µg/m³"
"PM2.5","2019-09-25","1:00 - 2:00","8","µg/m³"
"PM2.5","2019-09-25","2:00 - 3:00","8","µg/m³"
"PM2.5","2019-09-25","3:00 - 4:00","8","µg/m³"
"PM2.5","2019-09-25","4:00 - 5:00","9","µg/m³"
"PM2.5","2019-09-25","5:00 - 6:00","10","µg/m³"
"PM2.5","2019-09-25","6:00 - 7:00","12","µg/m³"
"PM2.5","2019-09-25","7:00 - 8:00","14","µg/m³"
"PM2.5","2019-09-25","8:00 - 9:00","14","µg/m³"
"PM2.5","2019-09-25","9:00 - 10:00","13","µg/m³"
"PM2.5","2019-09-25","10:00 - 11:00","15","µg/m³"
"PM2.5","2019-09-25","11:00 - 12:00","16","µg/m³"
"PM2.5","2019-09-25","12:00 - 13:00","16","µg/m³"
"PM2.5","2019-09-25","13:00 - 14:00","16","µg/m³"
"PM2.5","2019-09-25","14:00 - 15:00","16","µg/m³"
"PM2.5","2019-09-25","15:00 - 16:00","17","µg/m³"
"PM2.5","2019-09-25","16:00 - 17:00","17","µg/m³"
"PM2.5","2019-09-25","17:00 - 18:00","25","µg/m³"
"PM2.5","2019-09-25","18:00 - 19:00","22","µg/m³"
"PM2.5","2019-09-25","19:00 - 20:00","26","µg/m³"
"PM2.5","2019-09-25","20:00 - 21:00","28","µg/m³"
"PM2.5","2019-09-25","21:00 - 22:00","26","µg/m³"
"PM2.5","2019-09-25","22:00 - 23:00","28","µg/m³"
"PM2.5","2019-09-26","23:00 - 0:00","16","µg/m³"
"PM2.5","2019-09-26","0:00 - 1:00","12","µg/m³"
"PM2.5","2019-09-26","1:00 - 2:00","10","µg/m³"
"PM2.5","2019-09-26","2:00 - 3:00","8","µg/m³"
"PM2.5","2019-09-26","3:00 - 4:00","11","µg/m³"
"PM2.5","2019-09-26","4:00 - 5:00","11","µg/m³"
"PM2.5","2019-09-26","5:00 - 6:00","13","µg/m³"
"PM2.5","2019-09-26","6:00 - 7:00","17","µg/m³"
"PM2.5","2019-09-26","7:00 - 8:00","15","µg/m³"
"PM2.5","2019-09-26","8:00 - 9:00","18","µg/m³"
"PM2.5","2019-09-26","9:00 - 10:00","20","µg/m³"
