"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2017-03-01","23:00 - 0:00","91","µg/m³"
"PM10","2017-03-01","0:00 - 1:00","90","µg/m³"
"PM10","2017-03-01","1:00 - 2:00","105","µg/m³"
"PM10","2017-03-01","2:00 - 3:00","83","µg/m³"
"PM10","2017-03-01","3:00 - 4:00","111","µg/m³"
"PM10","2017-03-01","4:00 - 5:00","59","µg/m³"
"PM10","2017-03-01","5:00 - 6:00","63","µg/m³"
"PM10","2017-03-01","6:00 - 7:00","87","µg/m³"
"PM10","2017-03-01","7:00 - 8:00","72","µg/m³"
"PM10","2017-03-01","8:00 - 9:00","76","µg/m³"
"PM10","2017-03-01","9:00 - 10:00","156","µg/m³"
"PM10","2017-03-01","10:00 - 11:00","313","µg/m³"
"PM10","2017-03-01","11:00 - 12:00","253","µg/m³"
"PM10","2017-03-01","12:00 - 13:00","165","µg/m³"
"PM10","2017-03-01","13:00 - 14:00","125","µg/m³"
"PM10","2017-03-01","14:00 - 15:00","115","µg/m³"
"PM10","2017-03-01","15:00 - 16:00","128","µg/m³"
"PM10","2017-03-01","16:00 - 17:00","113","µg/m³"
"PM10","2017-03-01","17:00 - 18:00","82","µg/m³"
"PM10","2017-03-01","18:00 - 19:00","69","µg/m³"
"PM10","2017-03-01","19:00 - 20:00","68","µg/m³"
"PM10","2017-03-01","20:00 - 21:00","73","µg/m³"
"PM10","2017-03-01","21:00 - 22:00","75","µg/m³"
"PM10","2017-03-01","22:00 - 23:00","69","µg/m³"
"PM10","2017-03-02","23:00 - 0:00","69","µg/m³"
"PM10","2017-03-02","0:00 - 1:00","69","µg/m³"
"PM10","2017-03-02","1:00 - 2:00","67","µg/m³"
"PM10","2017-03-02","2:00 - 3:00","53","µg/m³"
"PM10","2017-03-02","3:00 - 4:00","69","µg/m³"
"PM10","2017-03-02","4:00 - 5:00","41","µg/m³"
"PM10","2017-03-02","5:00 - 6:00","53","µg/m³"
"PM10","2017-03-02","6:00 - 7:00","22","µg/m³"
"PM10","2017-03-02","7:00 - 8:00","32","µg/m³"
"PM10","2017-03-02","8:00 - 9:00","60","µg/m³"
"PM10","2017-03-02","9:00 - 10:00","45","µg/m³"
"PM10","2017-03-02","10:00 - 11:00","66","µg/m³"
"PM10","2017-03-02","11:00 - 12:00","85","µg/m³"
"PM10","2017-03-02","12:00 - 13:00","73","µg/m³"
"PM10","2017-03-02","13:00 - 14:00","66","µg/m³"
"PM10","2017-03-02","14:00 - 15:00","68","µg/m³"
