"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2015-04-01","1:00 - 2:00","17","µg/m³"
"PM2.5","2015-04-01","5:00 - 6:00","14","µg/m³"
"PM2.5","2015-04-01","6:00 - 7:00","30","µg/m³"
"PM2.5","2015-04-01","7:00 - 8:00","28","µg/m³"
"PM2.5","2015-04-02","23:00 - 0:00","14","µg/m³"
"PM2.5","2015-04-02","0:00 - 1:00","20","µg/m³"
"PM2.5","2015-04-02","1:00 - 2:00","19","µg/m³"
"PM2.5","2015-04-02","2:00 - 3:00","18","µg/m³"
"PM2.5","2015-04-02","3:00 - 4:00","16","µg/m³"
"PM2.5","2015-04-02","4:00 - 5:00","20","µg/m³"
"PM2.5","2015-04-02","5:00 - 6:00","16","µg/m³"
"PM2.5","2015-04-05","5:00 - 6:00","13","µg/m³"
"PM2.5","2015-04-05","6:00 - 7:00","24","µg/m³"
"PM2.5","2015-04-05","7:00 - 8:00","27","µg/m³"
"PM2.5","2015-04-05","20:00 - 21:00","14","µg/m³"
"PM2.5","2015-04-05","22:00 - 23:00","15","µg/m³"
"PM2.5","2015-04-06","23:00 - 0:00","23","µg/m³"
"PM2.5","2015-04-06","0:00 - 1:00","19","µg/m³"
"PM2.5","2015-04-06","1:00 - 2:00","17","µg/m³"
"PM2.5","2015-04-06","2:00 - 3:00","19","µg/m³"
"PM2.5","2015-04-06","3:00 - 4:00","25","µg/m³"
"PM2.5","2015-04-06","4:00 - 5:00","16","µg/m³"
"PM2.5","2015-04-06","5:00 - 6:00","21","µg/m³"
"PM2.5","2015-04-06","6:00 - 7:00","22","µg/m³"
"PM2.5","2015-04-06","7:00 - 8:00","13","µg/m³"
"PM2.5","2015-04-06","10:00 - 11:00","17","µg/m³"
"PM2.5","2015-04-06","12:00 - 13:00","15","µg/m³"
"PM2.5","2015-04-07","2:00 - 3:00","20","µg/m³"
"PM2.5","2015-04-07","5:00 - 6:00","23","µg/m³"
"PM2.5","2015-04-07","6:00 - 7:00","34","µg/m³"
"PM2.5","2015-04-07","7:00 - 8:00","44","µg/m³"
"PM2.5","2015-04-07","20:00 - 21:00","17","µg/m³"
"PM2.5","2015-04-07","21:00 - 22:00","15","µg/m³"
"PM2.5","2015-04-07","22:00 - 23:00","20","µg/m³"
"PM2.5","2015-04-08","23:00 - 0:00","14","µg/m³"
"PM2.5","2015-04-08","0:00 - 1:00","18","µg/m³"
"PM2.5","2015-04-08","1:00 - 2:00","14","µg/m³"
"PM2.5","2015-04-08","4:00 - 5:00","18","µg/m³"
"PM2.5","2015-04-08","5:00 - 6:00","14","µg/m³"
"PM2.5","2015-04-08","6:00 - 7:00","42","µg/m³"
"PM2.5","2015-04-08","7:00 - 8:00","27","µg/m³"
"PM2.5","2015-04-08","8:00 - 9:00","16","µg/m³"
"PM2.5","2015-04-08","10:00 - 11:00","35","µg/m³"
"PM2.5","2015-04-08","11:00 - 12:00","21","µg/m³"
"PM2.5","2015-04-08","19:00 - 20:00","8","µg/m³"
"PM2.5","2015-04-08","20:00 - 21:00","34","µg/m³"
"PM2.5","2015-04-08","21:00 - 22:00","10","µg/m³"
"PM2.5","2015-04-09","23:00 - 0:00","23","µg/m³"
"PM2.5","2015-04-09","0:00 - 1:00","11","µg/m³"
"PM2.5","2015-04-09","1:00 - 2:00","10","µg/m³"
"PM2.5","2015-04-09","2:00 - 3:00","7","µg/m³"
"PM2.5","2015-04-09","4:00 - 5:00","9","µg/m³"
"PM2.5","2015-04-09","5:00 - 6:00","7","µg/m³"
"PM2.5","2015-04-09","6:00 - 7:00","30","µg/m³"
"PM2.5","2015-04-09","7:00 - 8:00","21","µg/m³"
"PM2.5","2015-04-10","1:00 - 2:00","18","µg/m³"
"PM2.5","2015-04-10","2:00 - 3:00","28","µg/m³"
"PM2.5","2015-04-10","4:00 - 5:00","10","µg/m³"
"PM2.5","2015-04-10","5:00 - 6:00","7","µg/m³"
"PM2.5","2015-04-10","6:00 - 7:00","5","µg/m³"
"PM2.5","2015-04-10","19:00 - 20:00","7","µg/m³"
"PM2.5","2015-04-10","20:00 - 21:00","9","µg/m³"
"PM2.5","2015-04-10","21:00 - 22:00","12","µg/m³"
"PM2.5","2015-04-11","0:00 - 1:00","11","µg/m³"
"PM2.5","2015-04-11","1:00 - 2:00","9","µg/m³"
"PM2.5","2015-04-11","2:00 - 3:00","7","µg/m³"
