"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2002-03-01","23:00 - 0:00","82","µg/m³"
"PM10","2002-03-01","0:00 - 1:00","85","µg/m³"
"PM10","2002-03-01","1:00 - 2:00","87","µg/m³"
"PM10","2002-03-01","2:00 - 3:00","80","µg/m³"
"PM10","2002-03-01","3:00 - 4:00","89","µg/m³"
"PM10","2002-03-01","4:00 - 5:00","82","µg/m³"
"PM10","2002-03-01","5:00 - 6:00","120","µg/m³"
"PM10","2002-03-01","6:00 - 7:00","230","µg/m³"
"PM10","2002-03-01","7:00 - 8:00","327","µg/m³"
"PM10","2002-03-01","8:00 - 9:00","259","µg/m³"
"PM10","2002-03-01","9:00 - 10:00","210","µg/m³"
"PM10","2002-03-01","10:00 - 11:00","156","µg/m³"
"PM10","2002-03-01","11:00 - 12:00","160","µg/m³"
"PM10","2002-03-01","12:00 - 13:00","168","µg/m³"
"PM10","2002-03-01","13:00 - 14:00","162","µg/m³"
"PM10","2002-03-01","14:00 - 15:00","130","µg/m³"
"PM10","2002-03-01","15:00 - 16:00","124","µg/m³"
"PM10","2002-03-01","16:00 - 17:00","120","µg/m³"
"PM10","2002-03-01","17:00 - 18:00","114","µg/m³"
"PM10","2002-03-01","18:00 - 19:00","164","µg/m³"
"PM10","2002-03-01","19:00 - 20:00","270","µg/m³"
"PM10","2002-03-01","20:00 - 21:00","367","µg/m³"
"PM10","2002-03-01","21:00 - 22:00","358","µg/m³"
"PM10","2002-03-01","22:00 - 23:00","400","µg/m³"
"PM10","2002-03-02","23:00 - 0:00","302","µg/m³"
"PM10","2002-03-02","0:00 - 1:00","236","µg/m³"
"PM10","2002-03-02","1:00 - 2:00","168","µg/m³"
"PM10","2002-03-02","2:00 - 3:00","176","µg/m³"
"PM10","2002-03-02","3:00 - 4:00","136","µg/m³"
"PM10","2002-03-02","4:00 - 5:00","103","µg/m³"
"PM10","2002-03-02","5:00 - 6:00","194","µg/m³"
"PM10","2002-03-02","6:00 - 7:00","126","µg/m³"
"PM10","2002-03-02","7:00 - 8:00","91","µg/m³"
"PM10","2002-03-02","8:00 - 9:00","110","µg/m³"
"PM10","2002-03-02","9:00 - 10:00","284","µg/m³"
"PM10","2002-03-02","10:00 - 11:00","298","µg/m³"
"PM10","2002-03-02","11:00 - 12:00","581","µg/m³"
"PM10","2002-03-02","12:00 - 13:00","527","µg/m³"
"PM10","2002-03-02","13:00 - 14:00","396","µg/m³"
"PM10","2002-03-02","14:00 - 15:00","280","µg/m³"
"PM10","2002-03-02","15:00 - 16:00","234","µg/m³"
"PM10","2002-03-02","16:00 - 17:00","230","µg/m³"
"PM10","2002-03-02","17:00 - 18:00","230","µg/m³"
"PM10","2002-03-02","18:00 - 19:00","235","µg/m³"
"PM10","2002-03-02","19:00 - 20:00","244","µg/m³"
"PM10","2002-03-02","20:00 - 21:00","186","µg/m³"
"PM10","2002-03-02","21:00 - 22:00","153","µg/m³"
"PM10","2002-03-02","22:00 - 23:00","110","µg/m³"
"PM10","2002-03-03","23:00 - 0:00","109","µg/m³"
"PM10","2002-03-03","0:00 - 1:00","124","µg/m³"
"PM10","2002-03-03","1:00 - 2:00","71","µg/m³"
"PM10","2002-03-03","2:00 - 3:00","56","µg/m³"
"PM10","2002-03-03","3:00 - 4:00","42","µg/m³"
"PM10","2002-03-03","4:00 - 5:00","36","µg/m³"
"PM10","2002-03-03","5:00 - 6:00","35","µg/m³"
"PM10","2002-03-03","6:00 - 7:00","34","µg/m³"
"PM10","2002-03-03","7:00 - 8:00","39","µg/m³"
"PM10","2002-03-03","8:00 - 9:00","26","µg/m³"
"PM10","2002-03-03","9:00 - 10:00","26","µg/m³"
"PM10","2002-03-03","10:00 - 11:00","32","µg/m³"
"PM10","2002-03-03","11:00 - 12:00","34","µg/m³"
"PM10","2002-03-03","12:00 - 13:00","36","µg/m³"
"PM10","2002-03-03","13:00 - 14:00","40","µg/m³"
"PM10","2002-03-03","14:00 - 15:00","52","µg/m³"
"PM10","2002-03-03","15:00 - 16:00","56","µg/m³"
"PM10","2002-03-03","16:00 - 17:00","50","µg/m³"
"PM10","2002-03-03","17:00 - 18:00","54","µg/m³"
"PM10","2002-03-03","18:00 - 19:00","57","µg/m³"
"PM10","2002-03-03","19:00 - 20:00","55","µg/m³"
"PM10","2002-03-03","20:00 - 21:00","48","µg/m³"
"PM10","2002-03-03","21:00 - 22:00","40","µg/m³"
"PM10","2002-03-03","22:00 - 23:00","36","µg/m³"
"PM10","2002-03-04","23:00 - 0:00","24","µg/m³"
"PM10","2002-03-04","0:00 - 1:00","16","µg/m³"
"PM10","2002-03-04","1:00 - 2:00","13","µg/m³"
"PM10","2002-03-04","2:00 - 3:00","14","µg/m³"
"PM10","2002-03-04","3:00 - 4:00","16","µg/m³"
