"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2004-05-01","23:00 - 0:00","24.900","°C"
"TMP","2004-05-01","0:00 - 1:00","24.100","°C"
"TMP","2004-05-01","1:00 - 2:00","22.100","°C"
"TMP","2004-05-01","2:00 - 3:00","21.900","°C"
"TMP","2004-05-01","3:00 - 4:00","21.900","°C"
"TMP","2004-05-01","4:00 - 5:00","22.100","°C"
"TMP","2004-05-01","5:00 - 6:00","22.500","°C"
"TMP","2004-05-01","6:00 - 7:00","23.000","°C"
"TMP","2004-05-01","7:00 - 8:00","23.500","°C"
"TMP","2004-05-01","8:00 - 9:00","22.700","°C"
"TMP","2004-05-01","9:00 - 10:00","22.100","°C"
"TMP","2004-05-01","10:00 - 11:00","21.600","°C"
"TMP","2004-05-01","11:00 - 12:00","20.800","°C"
"TMP","2004-05-01","12:00 - 13:00","19.600","°C"
"TMP","2004-05-01","13:00 - 14:00","20.900","°C"
"TMP","2004-05-01","14:00 - 15:00","21.700","°C"
"TMP","2004-05-01","15:00 - 16:00","23.000","°C"
"TMP","2004-05-01","16:00 - 17:00","22.300","°C"
"TMP","2004-05-01","17:00 - 18:00","20.900","°C"
"TMP","2004-05-01","18:00 - 19:00","19.700","°C"
"TMP","2004-05-01","19:00 - 20:00","18.700","°C"
"TMP","2004-05-01","20:00 - 21:00","18.300","°C"
"TMP","2004-05-01","21:00 - 22:00","17.700","°C"
"TMP","2004-05-01","22:00 - 23:00","17.900","°C"
