"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2005-11-01","23:00 - 0:00","20.200","°C"
"TMP","2005-11-01","0:00 - 1:00","19.000","°C"
"TMP","2005-11-01","1:00 - 2:00","18.100","°C"
"TMP","2005-11-01","2:00 - 3:00","17.500","°C"
"TMP","2005-11-01","3:00 - 4:00","16.800","°C"
"TMP","2005-11-01","4:00 - 5:00","16.400","°C"
"TMP","2005-11-01","5:00 - 6:00","16.200","°C"
"TMP","2005-11-01","6:00 - 7:00","16.100","°C"
"TMP","2005-11-01","7:00 - 8:00","16.700","°C"
"TMP","2005-11-01","8:00 - 9:00","17.900","°C"
"TMP","2005-11-01","9:00 - 10:00","19.100","°C"
"TMP","2005-11-01","10:00 - 11:00","20.400","°C"
"TMP","2005-11-01","11:00 - 12:00","22.000","°C"
"TMP","2005-11-01","12:00 - 13:00","22.200","°C"
"TMP","2005-11-01","13:00 - 14:00","22.600","°C"
"TMP","2005-11-01","14:00 - 15:00","22.300","°C"
"TMP","2005-11-01","15:00 - 16:00","22.400","°C"
"TMP","2005-11-01","16:00 - 17:00","20.900","°C"
"TMP","2005-11-01","17:00 - 18:00","19.300","°C"
"TMP","2005-11-01","18:00 - 19:00","18.500","°C"
"TMP","2005-11-01","19:00 - 20:00","17.600","°C"
"TMP","2005-11-01","20:00 - 21:00","16.600","°C"
"TMP","2005-11-01","21:00 - 22:00","15.400","°C"
"TMP","2005-11-01","22:00 - 23:00","14.300","°C"
"TMP","2005-11-02","23:00 - 0:00","14.000","°C"
"TMP","2005-11-02","0:00 - 1:00","13.500","°C"
"TMP","2005-11-02","1:00 - 2:00","13.300","°C"
"TMP","2005-11-02","2:00 - 3:00","13.200","°C"
"TMP","2005-11-02","3:00 - 4:00","12.500","°C"
"TMP","2005-11-02","4:00 - 5:00","12.400","°C"
"TMP","2005-11-02","5:00 - 6:00","12.000","°C"
"TMP","2005-11-02","6:00 - 7:00","13.900","°C"
"TMP","2005-11-02","7:00 - 8:00","19.100","°C"
"TMP","2005-11-02","8:00 - 9:00","20.600","°C"
"TMP","2005-11-02","9:00 - 10:00","20.600","°C"
"TMP","2005-11-02","10:00 - 11:00","21.300","°C"
"TMP","2005-11-02","11:00 - 12:00","21.600","°C"
"TMP","2005-11-02","12:00 - 13:00","22.300","°C"
"TMP","2005-11-02","13:00 - 14:00","22.300","°C"
"TMP","2005-11-02","14:00 - 15:00","22.500","°C"
"TMP","2005-11-02","15:00 - 16:00","22.500","°C"
"TMP","2005-11-02","16:00 - 17:00","21.100","°C"
"TMP","2005-11-02","17:00 - 18:00","19.600","°C"
"TMP","2005-11-02","18:00 - 19:00","18.500","°C"
"TMP","2005-11-02","19:00 - 20:00","17.900","°C"
"TMP","2005-11-02","20:00 - 21:00","17.600","°C"
"TMP","2005-11-02","21:00 - 22:00","16.100","°C"
"TMP","2005-11-02","22:00 - 23:00","15.700","°C"
"TMP","2005-11-03","23:00 - 0:00","15.100","°C"
"TMP","2005-11-03","0:00 - 1:00","14.500","°C"
"TMP","2005-11-03","1:00 - 2:00","13.600","°C"
"TMP","2005-11-03","2:00 - 3:00","13.400","°C"
"TMP","2005-11-03","3:00 - 4:00","13.200","°C"
"TMP","2005-11-03","4:00 - 5:00","12.100","°C"
"TMP","2005-11-03","5:00 - 6:00","11.800","°C"
"TMP","2005-11-03","6:00 - 7:00","13.500","°C"
"TMP","2005-11-03","7:00 - 8:00","18.500","°C"
"TMP","2005-11-03","8:00 - 9:00","20.800","°C"
"TMP","2005-11-03","9:00 - 10:00","22.900","°C"
