"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2001-09-18","12:00 - 13:00","26.000","°C"
"TMP","2001-09-18","13:00 - 14:00","26.400","°C"
"TMP","2001-09-18","14:00 - 15:00","26.600","°C"
"TMP","2001-09-18","15:00 - 16:00","26.900","°C"
"TMP","2001-09-18","16:00 - 17:00","26.400","°C"
"TMP","2001-09-18","17:00 - 18:00","25.600","°C"
"TMP","2001-09-18","18:00 - 19:00","25.300","°C"
"TMP","2001-09-18","19:00 - 20:00","25.100","°C"
"TMP","2001-09-18","20:00 - 21:00","24.900","°C"
"TMP","2001-09-18","21:00 - 22:00","24.400","°C"
"TMP","2001-09-18","22:00 - 23:00","23.800","°C"
"TMP","2001-09-19","23:00 - 0:00","23.500","°C"
"TMP","2001-09-19","0:00 - 1:00","22.400","°C"
"TMP","2001-09-19","1:00 - 2:00","21.700","°C"
"TMP","2001-09-19","2:00 - 3:00","17.100","°C"
"TMP","2001-09-19","3:00 - 4:00","20.900","°C"
"TMP","2001-09-19","4:00 - 5:00","20.600","°C"
"TMP","2001-09-19","5:00 - 6:00","20.700","°C"
"TMP","2001-09-19","6:00 - 7:00","21.000","°C"
"TMP","2001-09-19","7:00 - 8:00","21.400","°C"
"TMP","2001-09-19","8:00 - 9:00","22.600","°C"
"TMP","2001-09-19","9:00 - 10:00","24.600","°C"
"TMP","2001-09-19","10:00 - 11:00","25.300","°C"
"TMP","2001-09-19","11:00 - 12:00","25.100","°C"
"TMP","2001-09-19","12:00 - 13:00","25.400","°C"
"TMP","2001-09-19","13:00 - 14:00","26.100","°C"
"TMP","2001-09-19","14:00 - 15:00","26.600","°C"
"TMP","2001-09-19","15:00 - 16:00","26.900","°C"
"TMP","2001-09-19","16:00 - 17:00","26.600","°C"
"TMP","2001-09-19","17:00 - 18:00","25.800","°C"
"TMP","2001-09-19","18:00 - 19:00","25.500","°C"
"TMP","2001-09-19","19:00 - 20:00","25.100","°C"
"TMP","2001-09-19","20:00 - 21:00","24.400","°C"
"TMP","2001-09-19","21:00 - 22:00","23.900","°C"
"TMP","2001-09-19","22:00 - 23:00","23.300","°C"
"TMP","2001-09-20","23:00 - 0:00","23.100","°C"
"TMP","2001-09-20","0:00 - 1:00","22.600","°C"
"TMP","2001-09-20","1:00 - 2:00","22.100","°C"
"TMP","2001-09-20","2:00 - 3:00","17.400","°C"
"TMP","2001-09-20","3:00 - 4:00","21.600","°C"
"TMP","2001-09-20","4:00 - 5:00","21.600","°C"
"TMP","2001-09-20","5:00 - 6:00","21.600","°C"
"TMP","2001-09-20","6:00 - 7:00","21.600","°C"
"TMP","2001-09-20","7:00 - 8:00","21.600","°C"
"TMP","2001-09-20","8:00 - 9:00","22.100","°C"
"TMP","2001-09-20","9:00 - 10:00","22.600","°C"
"TMP","2001-09-20","10:00 - 11:00","23.400","°C"
"TMP","2001-09-20","11:00 - 12:00","23.700","°C"
"TMP","2001-09-20","12:00 - 13:00","23.600","°C"
"TMP","2001-09-20","13:00 - 14:00","21.800","°C"
"TMP","2001-09-20","14:00 - 15:00","21.600","°C"
"TMP","2001-09-20","15:00 - 16:00","21.300","°C"
"TMP","2001-09-20","16:00 - 17:00","21.600","°C"
"TMP","2001-09-20","17:00 - 18:00","21.600","°C"
"TMP","2001-09-20","18:00 - 19:00","21.600","°C"
"TMP","2001-09-20","19:00 - 20:00","21.500","°C"
"TMP","2001-09-20","20:00 - 21:00","21.600","°C"
"TMP","2001-09-20","21:00 - 22:00","21.600","°C"
"TMP","2001-09-20","22:00 - 23:00","21.600","°C"
"TMP","2001-09-21","23:00 - 0:00","21.000","°C"
"TMP","2001-09-21","0:00 - 1:00","20.900","°C"
"TMP","2001-09-21","1:00 - 2:00","20.900","°C"
"TMP","2001-09-21","2:00 - 3:00","16.800","°C"
"TMP","2001-09-21","3:00 - 4:00","20.800","°C"
"TMP","2001-09-21","4:00 - 5:00","20.600","°C"
"TMP","2001-09-21","5:00 - 6:00","20.600","°C"
"TMP","2001-09-21","6:00 - 7:00","20.900","°C"
"TMP","2001-09-21","7:00 - 8:00","20.900","°C"
"TMP","2001-09-21","8:00 - 9:00","21.100","°C"
"TMP","2001-09-21","9:00 - 10:00","21.400","°C"
"TMP","2001-09-21","10:00 - 11:00","21.600","°C"
"TMP","2001-09-21","11:00 - 12:00","22.100","°C"
"TMP","2001-09-21","12:00 - 13:00","22.900","°C"
"TMP","2001-09-21","13:00 - 14:00","23.300","°C"
"TMP","2001-09-21","14:00 - 15:00","22.900","°C"
"TMP","2001-09-21","15:00 - 16:00","23.300","°C"
"TMP","2001-09-21","16:00 - 17:00","23.400","°C"
"TMP","2001-09-21","17:00 - 18:00","22.900","°C"
"TMP","2001-09-21","18:00 - 19:00","20.600","°C"
"TMP","2001-09-21","19:00 - 20:00","20.600","°C"
"TMP","2001-09-21","20:00 - 21:00","20.600","°C"
"TMP","2001-09-21","21:00 - 22:00","20.900","°C"
"TMP","2001-09-21","22:00 - 23:00","20.800","°C"
"TMP","2001-09-22","23:00 - 0:00","20.600","°C"
"TMP","2001-09-22","0:00 - 1:00","20.400","°C"
"TMP","2001-09-22","1:00 - 2:00","20.500","°C"
"TMP","2001-09-22","2:00 - 3:00","16.600","°C"
"TMP","2001-09-22","3:00 - 4:00","20.800","°C"
"TMP","2001-09-22","4:00 - 5:00","20.600","°C"
"TMP","2001-09-22","5:00 - 6:00","20.600","°C"
"TMP","2001-09-22","6:00 - 7:00","20.900","°C"
"TMP","2001-09-22","7:00 - 8:00","21.300","°C"
"TMP","2001-09-22","8:00 - 9:00","21.500","°C"
"TMP","2001-09-22","9:00 - 10:00","21.400","°C"
"TMP","2001-09-22","10:00 - 11:00","22.100","°C"
"TMP","2001-09-22","11:00 - 12:00","24.100","°C"
"TMP","2001-09-22","12:00 - 13:00","24.100","°C"
"TMP","2001-09-22","13:00 - 14:00","23.900","°C"
"TMP","2001-09-22","14:00 - 15:00","23.000","°C"
"TMP","2001-09-22","15:00 - 16:00","21.200","°C"
"TMP","2001-09-22","16:00 - 17:00","21.600","°C"
"TMP","2001-09-22","17:00 - 18:00","21.800","°C"
"TMP","2001-09-22","18:00 - 19:00","21.800","°C"
"TMP","2001-09-22","19:00 - 20:00","21.400","°C"
"TMP","2001-09-22","20:00 - 21:00","21.300","°C"
"TMP","2001-09-22","21:00 - 22:00","21.100","°C"
"TMP","2001-09-22","22:00 - 23:00","20.500","°C"
"TMP","2001-09-23","23:00 - 0:00","20.300","°C"
"TMP","2001-09-23","0:00 - 1:00","20.000","°C"
"TMP","2001-09-23","1:00 - 2:00","19.900","°C"
"TMP","2001-09-23","2:00 - 3:00","15.800","°C"
"TMP","2001-09-23","3:00 - 4:00","19.400","°C"
"TMP","2001-09-23","4:00 - 5:00","19.400","°C"
"TMP","2001-09-23","5:00 - 6:00","19.600","°C"
"TMP","2001-09-23","6:00 - 7:00","20.000","°C"
"TMP","2001-09-23","7:00 - 8:00","21.600","°C"
"TMP","2001-09-23","8:00 - 9:00","23.100","°C"
"TMP","2001-09-23","9:00 - 10:00","24.300","°C"
"TMP","2001-09-23","10:00 - 11:00","24.800","°C"
"TMP","2001-09-23","11:00 - 12:00","25.600","°C"
"TMP","2001-09-23","12:00 - 13:00","25.000","°C"
"TMP","2001-09-23","13:00 - 14:00","24.500","°C"
"TMP","2001-09-23","14:00 - 15:00","23.400","°C"
"TMP","2001-09-23","15:00 - 16:00","22.900","°C"
"TMP","2001-09-23","16:00 - 17:00","22.900","°C"
"TMP","2001-09-23","17:00 - 18:00","22.000","°C"
"TMP","2001-09-23","18:00 - 19:00","21.800","°C"
"TMP","2001-09-23","19:00 - 20:00","21.400","°C"
"TMP","2001-09-23","20:00 - 21:00","20.600","°C"
"TMP","2001-09-23","21:00 - 22:00","20.100","°C"
"TMP","2001-09-23","22:00 - 23:00","20.100","°C"
"TMP","2001-09-24","23:00 - 0:00","20.000","°C"
"TMP","2001-09-24","0:00 - 1:00","19.700","°C"
"TMP","2001-09-24","1:00 - 2:00","18.400","°C"
"TMP","2001-09-24","2:00 - 3:00","15.200","°C"
"TMP","2001-09-24","3:00 - 4:00","19.200","°C"
"TMP","2001-09-24","4:00 - 5:00","19.500","°C"
"TMP","2001-09-24","5:00 - 6:00","19.400","°C"
"TMP","2001-09-24","6:00 - 7:00","19.700","°C"
"TMP","2001-09-24","7:00 - 8:00","21.200","°C"
"TMP","2001-09-24","8:00 - 9:00","23.100","°C"
"TMP","2001-09-24","9:00 - 10:00","23.300","°C"
"TMP","2001-09-24","10:00 - 11:00","22.900","°C"
"TMP","2001-09-24","11:00 - 12:00","23.500","°C"
"TMP","2001-09-24","12:00 - 13:00","23.000","°C"
"TMP","2001-09-24","13:00 - 14:00","20.600","°C"
"TMP","2001-09-24","14:00 - 15:00","22.100","°C"
"TMP","2001-09-24","15:00 - 16:00","23.100","°C"
"TMP","2001-09-24","16:00 - 17:00","20.300","°C"
"TMP","2001-09-24","17:00 - 18:00","19.600","°C"
"TMP","2001-09-24","18:00 - 19:00","19.900","°C"
"TMP","2001-09-24","19:00 - 20:00","19.100","°C"
"TMP","2001-09-24","20:00 - 21:00","18.600","°C"
"TMP","2001-09-24","21:00 - 22:00","19.200","°C"
"TMP","2001-09-24","22:00 - 23:00","19.600","°C"
"TMP","2001-09-25","23:00 - 0:00","19.600","°C"
"TMP","2001-09-25","0:00 - 1:00","18.800","°C"
"TMP","2001-09-25","1:00 - 2:00","18.400","°C"
"TMP","2001-09-25","2:00 - 3:00","14.700","°C"
"TMP","2001-09-25","3:00 - 4:00","18.300","°C"
"TMP","2001-09-25","4:00 - 5:00","17.800","°C"
"TMP","2001-09-25","5:00 - 6:00","17.500","°C"
"TMP","2001-09-25","6:00 - 7:00","17.300","°C"
"TMP","2001-09-25","7:00 - 8:00","17.900","°C"
"TMP","2001-09-25","8:00 - 9:00","18.400","°C"
"TMP","2001-09-25","9:00 - 10:00","20.100","°C"
"TMP","2001-09-25","10:00 - 11:00","20.700","°C"
"TMP","2001-09-25","11:00 - 12:00","22.100","°C"
"TMP","2001-09-25","12:00 - 13:00","21.900","°C"
"TMP","2001-09-25","13:00 - 14:00","21.900","°C"
"TMP","2001-09-25","14:00 - 15:00","21.600","°C"
