"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2003-07-01","23:00 - 0:00","22.000","°C"
"TMP","2003-07-01","0:00 - 1:00","21.800","°C"
"TMP","2003-07-01","1:00 - 2:00","20.900","°C"
"TMP","2003-07-01","2:00 - 3:00","22.100","°C"
"TMP","2003-07-01","3:00 - 4:00","22.100","°C"
"TMP","2003-07-01","4:00 - 5:00","21.800","°C"
"TMP","2003-07-01","5:00 - 6:00","21.700","°C"
"TMP","2003-07-01","6:00 - 7:00","22.800","°C"
"TMP","2003-07-01","7:00 - 8:00","25.900","°C"
"TMP","2003-07-01","8:00 - 9:00","27.700","°C"
"TMP","2003-07-01","9:00 - 10:00","25.400","°C"
"TMP","2003-07-01","10:00 - 11:00","29.000","°C"
"TMP","2003-07-01","11:00 - 12:00","29.900","°C"
"TMP","2003-07-01","12:00 - 13:00","27.100","°C"
"TMP","2003-07-01","13:00 - 14:00","26.500","°C"
"TMP","2003-07-01","14:00 - 15:00","27.700","°C"
"TMP","2003-07-01","15:00 - 16:00","25.600","°C"
"TMP","2003-07-01","16:00 - 17:00","25.400","°C"
"TMP","2003-07-01","17:00 - 18:00","26.600","°C"
"TMP","2003-07-01","18:00 - 19:00","26.700","°C"
"TMP","2003-07-01","19:00 - 20:00","26.400","°C"
"TMP","2003-07-01","20:00 - 21:00","26.100","°C"
"TMP","2003-07-01","21:00 - 22:00","25.900","°C"
"TMP","2003-07-01","22:00 - 23:00","25.200","°C"
"TMP","2003-07-02","23:00 - 0:00","24.700","°C"
"TMP","2003-07-02","0:00 - 1:00","24.300","°C"
"TMP","2003-07-02","1:00 - 2:00","23.700","°C"
"TMP","2003-07-02","2:00 - 3:00","23.600","°C"
"TMP","2003-07-02","3:00 - 4:00","23.400","°C"
"TMP","2003-07-02","4:00 - 5:00","22.900","°C"
"TMP","2003-07-02","5:00 - 6:00","22.900","°C"
"TMP","2003-07-02","6:00 - 7:00","23.100","°C"
"TMP","2003-07-02","7:00 - 8:00","23.900","°C"
"TMP","2003-07-02","8:00 - 9:00","26.000","°C"
"TMP","2003-07-02","9:00 - 10:00","28.300","°C"
