"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2019-01-01","0:00 - 1:00","167","µg/m³"
"PM10","2019-01-01","1:00 - 2:00","173","µg/m³"
"PM10","2019-01-01","2:00 - 3:00","193","µg/m³"
"PM10","2019-01-01","3:00 - 4:00","122","µg/m³"
"PM10","2019-01-01","4:00 - 5:00","70","µg/m³"
"PM10","2019-01-01","5:00 - 6:00","61","µg/m³"
"PM10","2019-01-01","6:00 - 7:00","63","µg/m³"
"PM10","2019-01-01","7:00 - 8:00","54","µg/m³"
"PM10","2019-01-01","8:00 - 9:00","47","µg/m³"
"PM10","2019-01-01","9:00 - 10:00","58","µg/m³"
"PM10","2019-01-01","10:00 - 11:00","64","µg/m³"
"PM10","2019-01-01","11:00 - 12:00","61","µg/m³"
"PM10","2019-01-01","12:00 - 13:00","81","µg/m³"
"PM10","2019-01-01","13:00 - 14:00","95","µg/m³"
"PM10","2019-01-01","14:00 - 15:00","71","µg/m³"
"PM10","2019-01-01","15:00 - 16:00","58","µg/m³"
"PM10","2019-01-01","16:00 - 17:00","53","µg/m³"
"PM10","2019-01-01","17:00 - 18:00","45","µg/m³"
"PM10","2019-01-01","18:00 - 19:00","52","µg/m³"
"PM10","2019-01-01","19:00 - 20:00","48","µg/m³"
"PM10","2019-01-01","20:00 - 21:00","60","µg/m³"
"PM10","2019-01-01","21:00 - 22:00","51","µg/m³"
"PM10","2019-01-01","22:00 - 23:00","70","µg/m³"
"PM10","2019-01-02","23:00 - 0:00","65","µg/m³"
"PM10","2019-01-02","0:00 - 1:00","57","µg/m³"
"PM10","2019-01-02","1:00 - 2:00","36","µg/m³"
"PM10","2019-01-02","2:00 - 3:00","43","µg/m³"
"PM10","2019-01-02","3:00 - 4:00","46","µg/m³"
"PM10","2019-01-02","4:00 - 5:00","39","µg/m³"
"PM10","2019-01-02","5:00 - 6:00","40","µg/m³"
"PM10","2019-01-02","6:00 - 7:00","36","µg/m³"
"PM10","2019-01-02","7:00 - 8:00","45","µg/m³"
"PM10","2019-01-02","8:00 - 9:00","46","µg/m³"
"PM10","2019-01-02","11:00 - 12:00","67","µg/m³"
"PM10","2019-01-02","12:00 - 13:00","0","µg/m³"
"PM10","2019-01-02","14:00 - 15:00","94","µg/m³"
"PM10","2019-01-02","15:00 - 16:00","65","µg/m³"
"PM10","2019-01-04","13:00 - 14:00","112","µg/m³"
"PM10","2019-01-04","14:00 - 15:00","89","µg/m³"
"PM10","2019-01-04","15:00 - 16:00","83","µg/m³"
"PM10","2019-01-04","16:00 - 17:00","68","µg/m³"
"PM10","2019-01-04","17:00 - 18:00","54","µg/m³"
"PM10","2019-01-04","18:00 - 19:00","44","µg/m³"
"PM10","2019-01-04","19:00 - 20:00","56","µg/m³"
"PM10","2019-01-05","10:00 - 11:00","65","µg/m³"
"PM10","2019-01-05","12:00 - 13:00","67","µg/m³"
"PM10","2019-01-05","13:00 - 14:00","113","µg/m³"
"PM10","2019-01-05","14:00 - 15:00","126","µg/m³"
"PM10","2019-01-05","15:00 - 16:00","107","µg/m³"
"PM10","2019-01-05","16:00 - 17:00","97","µg/m³"
"PM10","2019-01-05","17:00 - 18:00","79","µg/m³"
"PM10","2019-01-05","18:00 - 19:00","59","µg/m³"
"PM10","2019-01-05","19:00 - 20:00","55","µg/m³"
"PM10","2019-01-05","20:00 - 21:00","54","µg/m³"
"PM10","2019-01-05","21:00 - 22:00","54","µg/m³"
"PM10","2019-01-05","22:00 - 23:00","58","µg/m³"
"PM10","2019-01-06","23:00 - 0:00","67","µg/m³"
"PM10","2019-01-06","0:00 - 1:00","54","µg/m³"
"PM10","2019-01-06","1:00 - 2:00","72","µg/m³"
"PM10","2019-01-06","2:00 - 3:00","63","µg/m³"
"PM10","2019-01-06","3:00 - 4:00","56","µg/m³"
"PM10","2019-01-06","4:00 - 5:00","70","µg/m³"
"PM10","2019-01-06","5:00 - 6:00","54","µg/m³"
"PM10","2019-01-06","6:00 - 7:00","46","µg/m³"
"PM10","2019-01-06","7:00 - 8:00","65","µg/m³"
"PM10","2019-01-06","8:00 - 9:00","50","µg/m³"
"PM10","2019-01-06","9:00 - 10:00","63","µg/m³"
"PM10","2019-01-06","10:00 - 11:00","57","µg/m³"
"PM10","2019-01-06","11:00 - 12:00","71","µg/m³"
"PM10","2019-01-06","12:00 - 13:00","74","µg/m³"
"PM10","2019-01-06","13:00 - 14:00","124","µg/m³"
"PM10","2019-01-06","14:00 - 15:00","127","µg/m³"
"PM10","2019-01-06","15:00 - 16:00","113","µg/m³"
"PM10","2019-01-06","16:00 - 17:00","85","µg/m³"
"PM10","2019-01-06","17:00 - 18:00","71","µg/m³"
"PM10","2019-01-06","18:00 - 19:00","73","µg/m³"
"PM10","2019-01-06","19:00 - 20:00","64","µg/m³"
"PM10","2019-01-06","20:00 - 21:00","50","µg/m³"
"PM10","2019-01-06","21:00 - 22:00","68","µg/m³"
"PM10","2019-01-06","22:00 - 23:00","68","µg/m³"
"PM10","2019-01-07","23:00 - 0:00","68","µg/m³"
"PM10","2019-01-07","0:00 - 1:00","61","µg/m³"
"PM10","2019-01-07","1:00 - 2:00","57","µg/m³"
"PM10","2019-01-07","2:00 - 3:00","46","µg/m³"
"PM10","2019-01-07","3:00 - 4:00","66","µg/m³"
"PM10","2019-01-07","4:00 - 5:00","70","µg/m³"
"PM10","2019-01-07","5:00 - 6:00","67","µg/m³"
"PM10","2019-01-07","6:00 - 7:00","63","µg/m³"
"PM10","2019-01-07","7:00 - 8:00","72","µg/m³"
"PM10","2019-01-07","8:00 - 9:00","95","µg/m³"
"PM10","2019-01-07","9:00 - 10:00","113","µg/m³"
"PM10","2019-01-07","10:00 - 11:00","80","µg/m³"
"PM10","2019-01-07","11:00 - 12:00","113","µg/m³"
"PM10","2019-01-07","12:00 - 13:00","134","µg/m³"
"PM10","2019-01-07","13:00 - 14:00","133","µg/m³"
"PM10","2019-01-07","14:00 - 15:00","132","µg/m³"
"PM10","2019-01-07","15:00 - 16:00","88","µg/m³"
"PM10","2019-01-07","16:00 - 17:00","73","µg/m³"
"PM10","2019-01-07","17:00 - 18:00","88","µg/m³"
"PM10","2019-01-07","18:00 - 19:00","105","µg/m³"
"PM10","2019-01-07","19:00 - 20:00","91","µg/m³"
"PM10","2019-01-07","20:00 - 21:00","78","µg/m³"
"PM10","2019-01-07","21:00 - 22:00","67","µg/m³"
"PM10","2019-01-07","22:00 - 23:00","77","µg/m³"
"PM10","2019-01-08","23:00 - 0:00","85","µg/m³"
"PM10","2019-01-08","0:00 - 1:00","113","µg/m³"
"PM10","2019-01-08","1:00 - 2:00","116","µg/m³"
"PM10","2019-01-08","2:00 - 3:00","78","µg/m³"
"PM10","2019-01-08","3:00 - 4:00","86","µg/m³"
"PM10","2019-01-08","4:00 - 5:00","91","µg/m³"
"PM10","2019-01-08","5:00 - 6:00","67","µg/m³"
"PM10","2019-01-08","6:00 - 7:00","62","µg/m³"
"PM10","2019-01-08","7:00 - 8:00","55","µg/m³"
"PM10","2019-01-08","8:00 - 9:00","65","µg/m³"
"PM10","2019-01-08","9:00 - 10:00","85","µg/m³"
"PM10","2019-01-08","10:00 - 11:00","108","µg/m³"
"PM10","2019-01-08","11:00 - 12:00","119","µg/m³"
"PM10","2019-01-08","12:00 - 13:00","114","µg/m³"
"PM10","2019-01-08","13:00 - 14:00","159","µg/m³"
"PM10","2019-01-08","14:00 - 15:00","128","µg/m³"
"PM10","2019-01-08","15:00 - 16:00","108","µg/m³"
"PM10","2019-01-08","16:00 - 17:00","101","µg/m³"
"PM10","2019-01-08","17:00 - 18:00","91","µg/m³"
"PM10","2019-01-08","18:00 - 19:00","88","µg/m³"
"PM10","2019-01-08","19:00 - 20:00","67","µg/m³"
"PM10","2019-01-08","20:00 - 21:00","52","µg/m³"
"PM10","2019-01-08","21:00 - 22:00","58","µg/m³"
"PM10","2019-01-08","22:00 - 23:00","48","µg/m³"
"PM10","2019-01-09","23:00 - 0:00","50","µg/m³"
"PM10","2019-01-09","0:00 - 1:00","48","µg/m³"
"PM10","2019-01-09","1:00 - 2:00","60","µg/m³"
"PM10","2019-01-09","2:00 - 3:00","38","µg/m³"
"PM10","2019-01-09","3:00 - 4:00","33","µg/m³"
"PM10","2019-01-09","4:00 - 5:00","31","µg/m³"
"PM10","2019-01-09","5:00 - 6:00","40","µg/m³"
"PM10","2019-01-09","6:00 - 7:00","40","µg/m³"
"PM10","2019-01-09","7:00 - 8:00","43","µg/m³"
"PM10","2019-01-09","8:00 - 9:00","33","µg/m³"
"PM10","2019-01-09","9:00 - 10:00","25","µg/m³"
"PM10","2019-01-09","10:00 - 11:00","22","µg/m³"
"PM10","2019-01-09","11:00 - 12:00","17","µg/m³"
"PM10","2019-01-09","12:00 - 13:00","18","µg/m³"
"PM10","2019-01-09","13:00 - 14:00","23","µg/m³"
"PM10","2019-01-09","14:00 - 15:00","32","µg/m³"
"PM10","2019-01-09","15:00 - 16:00","33","µg/m³"
"PM10","2019-01-09","16:00 - 17:00","27","µg/m³"
"PM10","2019-01-09","17:00 - 18:00","28","µg/m³"
"PM10","2019-01-09","18:00 - 19:00","36","µg/m³"
"PM10","2019-01-09","19:00 - 20:00","33","µg/m³"
"PM10","2019-01-09","20:00 - 21:00","30","µg/m³"
"PM10","2019-01-09","21:00 - 22:00","29","µg/m³"
"PM10","2019-01-09","22:00 - 23:00","27","µg/m³"
"PM10","2019-01-10","23:00 - 0:00","27","µg/m³"
"PM10","2019-01-10","0:00 - 1:00","41","µg/m³"
"PM10","2019-01-10","1:00 - 2:00","37","µg/m³"
"PM10","2019-01-10","2:00 - 3:00","26","µg/m³"
"PM10","2019-01-10","3:00 - 4:00","28","µg/m³"
"PM10","2019-01-10","4:00 - 5:00","39","µg/m³"
"PM10","2019-01-10","5:00 - 6:00","35","µg/m³"
"PM10","2019-01-10","6:00 - 7:00","34","µg/m³"
"PM10","2019-01-10","7:00 - 8:00","32","µg/m³"
"PM10","2019-01-10","8:00 - 9:00","32","µg/m³"
"PM10","2019-01-10","10:00 - 11:00","52","µg/m³"
"PM10","2019-01-10","11:00 - 12:00","50","µg/m³"
"PM10","2019-01-10","12:00 - 13:00","55","µg/m³"
"PM10","2019-01-10","13:00 - 14:00","57","µg/m³"
"PM10","2019-01-10","14:00 - 15:00","67","µg/m³"
"PM10","2019-01-10","15:00 - 16:00","80","µg/m³"
"PM10","2019-01-10","16:00 - 17:00","81","µg/m³"
"PM10","2019-01-10","17:00 - 18:00","55","µg/m³"
"PM10","2019-01-10","18:00 - 19:00","52","µg/m³"
"PM10","2019-01-10","19:00 - 20:00","36","µg/m³"
"PM10","2019-01-10","21:00 - 22:00","46","µg/m³"
"PM10","2019-01-10","22:00 - 23:00","58","µg/m³"
"PM10","2019-01-11","23:00 - 0:00","66","µg/m³"
