"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2018-08-01","0:00 - 1:00","2","µg/m³"
"PM2.5","2018-08-01","1:00 - 2:00","10","µg/m³"
"PM2.5","2018-08-01","2:00 - 3:00","3","µg/m³"
"PM2.5","2018-08-01","3:00 - 4:00","13","µg/m³"
"PM2.5","2018-08-01","4:00 - 5:00","9","µg/m³"
"PM2.5","2018-08-01","5:00 - 6:00","10","µg/m³"
"PM2.5","2018-08-01","6:00 - 7:00","4","µg/m³"
"PM2.5","2018-08-01","10:00 - 11:00","3","µg/m³"
"PM2.5","2018-08-01","20:00 - 21:00","5","µg/m³"
"PM2.5","2018-08-01","21:00 - 22:00","6","µg/m³"
"PM2.5","2018-08-01","22:00 - 23:00","3","µg/m³"
"PM2.5","2018-08-02","1:00 - 2:00","4","µg/m³"
"PM2.5","2018-08-02","2:00 - 3:00","9","µg/m³"
"PM2.5","2018-08-02","3:00 - 4:00","15","µg/m³"
"PM2.5","2018-08-02","4:00 - 5:00","15","µg/m³"
"PM2.5","2018-08-02","5:00 - 6:00","3","µg/m³"
"PM2.5","2018-08-02","9:00 - 10:00","5","µg/m³"
"PM2.5","2018-08-02","10:00 - 11:00","3","µg/m³"
"PM2.5","2018-08-03","23:00 - 0:00","6","µg/m³"
"PM2.5","2018-08-03","0:00 - 1:00","4","µg/m³"
"PM2.5","2018-08-03","1:00 - 2:00","8","µg/m³"
"PM2.5","2018-08-03","2:00 - 3:00","4","µg/m³"
"PM2.5","2018-08-03","3:00 - 4:00","14","µg/m³"
"PM2.5","2018-08-03","4:00 - 5:00","15","µg/m³"
"PM2.5","2018-08-03","5:00 - 6:00","5","µg/m³"
"PM2.5","2018-08-03","6:00 - 7:00","2","µg/m³"
"PM2.5","2018-08-03","9:00 - 10:00","5","µg/m³"
"PM2.5","2018-08-03","10:00 - 11:00","3","µg/m³"
"PM2.5","2018-08-03","20:00 - 21:00","4","µg/m³"
"PM2.5","2018-08-03","21:00 - 22:00","5","µg/m³"
"PM2.5","2018-08-06","9:00 - 10:00","6","µg/m³"
"PM2.5","2018-08-06","10:00 - 11:00","4","µg/m³"
"PM2.5","2018-08-07","11:00 - 12:00","17","µg/m³"
"PM2.5","2018-08-07","19:00 - 20:00","11","µg/m³"
"PM2.5","2018-08-07","20:00 - 21:00","11","µg/m³"
"PM2.5","2018-08-07","21:00 - 22:00","6","µg/m³"
"PM2.5","2018-08-07","22:00 - 23:00","5","µg/m³"
"PM2.5","2018-08-08","23:00 - 0:00","3","µg/m³"
"PM2.5","2018-08-08","0:00 - 1:00","7","µg/m³"
"PM2.5","2018-08-08","1:00 - 2:00","4","µg/m³"
"PM2.5","2018-08-08","2:00 - 3:00","4","µg/m³"
"PM2.5","2018-08-08","3:00 - 4:00","5","µg/m³"
"PM2.5","2018-08-08","4:00 - 5:00","11","µg/m³"
"PM2.5","2018-08-08","5:00 - 6:00","16","µg/m³"
"PM2.5","2018-08-08","6:00 - 7:00","5","µg/m³"
"PM2.5","2018-08-08","9:00 - 10:00","5","µg/m³"
"PM2.5","2018-08-09","23:00 - 0:00","3","µg/m³"
"PM2.5","2018-08-09","0:00 - 1:00","2","µg/m³"
"PM2.5","2018-08-09","1:00 - 2:00","13","µg/m³"
"PM2.5","2018-08-09","2:00 - 3:00","12","µg/m³"
"PM2.5","2018-08-09","3:00 - 4:00","11","µg/m³"
"PM2.5","2018-08-09","4:00 - 5:00","10","µg/m³"
"PM2.5","2018-08-09","5:00 - 6:00","8","µg/m³"
"PM2.5","2018-08-09","6:00 - 7:00","6","µg/m³"
"PM2.5","2018-08-09","8:00 - 9:00","2","µg/m³"
"PM2.5","2018-08-09","9:00 - 10:00","13","µg/m³"
"PM2.5","2018-08-09","20:00 - 21:00","17","µg/m³"
"PM2.5","2018-08-09","21:00 - 22:00","19","µg/m³"
"PM2.5","2018-08-09","22:00 - 23:00","15","µg/m³"
"PM2.5","2018-08-10","23:00 - 0:00","18","µg/m³"
"PM2.5","2018-08-10","0:00 - 1:00","15","µg/m³"
"PM2.5","2018-08-10","1:00 - 2:00","14","µg/m³"
"PM2.5","2018-08-10","2:00 - 3:00","32","µg/m³"
"PM2.5","2018-08-10","3:00 - 4:00","36","µg/m³"
"PM2.5","2018-08-10","4:00 - 5:00","32","µg/m³"
"PM2.5","2018-08-10","5:00 - 6:00","14","µg/m³"
"PM2.5","2018-08-10","6:00 - 7:00","15","µg/m³"
"PM2.5","2018-08-10","7:00 - 8:00","3","µg/m³"
"PM2.5","2018-08-10","9:00 - 10:00","4","µg/m³"
"PM2.5","2018-08-10","20:00 - 21:00","2","µg/m³"
"PM2.5","2018-08-10","21:00 - 22:00","10","µg/m³"
"PM2.5","2018-08-10","22:00 - 23:00","4","µg/m³"
"PM2.5","2018-08-11","23:00 - 0:00","5","µg/m³"
"PM2.5","2018-08-11","0:00 - 1:00","3","µg/m³"
"PM2.5","2018-08-11","1:00 - 2:00","6","µg/m³"
"PM2.5","2018-08-11","2:00 - 3:00","7","µg/m³"
"PM2.5","2018-08-11","3:00 - 4:00","8","µg/m³"
"PM2.5","2018-08-11","4:00 - 5:00","9","µg/m³"
"PM2.5","2018-08-11","5:00 - 6:00","9","µg/m³"
"PM2.5","2018-08-11","6:00 - 7:00","7","µg/m³"
"PM2.5","2018-08-11","9:00 - 10:00","10","µg/m³"
"PM2.5","2018-08-11","10:00 - 11:00","3","µg/m³"
"PM2.5","2018-08-11","20:00 - 21:00","7","µg/m³"
"PM2.5","2018-08-11","21:00 - 22:00","14","µg/m³"
"PM2.5","2018-08-11","22:00 - 23:00","6","µg/m³"
"PM2.5","2018-08-12","23:00 - 0:00","12","µg/m³"
"PM2.5","2018-08-12","0:00 - 1:00","10","µg/m³"
"PM2.5","2018-08-12","1:00 - 2:00","11","µg/m³"
"PM2.5","2018-08-12","2:00 - 3:00","19","µg/m³"
"PM2.5","2018-08-12","3:00 - 4:00","17","µg/m³"
"PM2.5","2018-08-12","4:00 - 5:00","14","µg/m³"
"PM2.5","2018-08-12","5:00 - 6:00","28","µg/m³"
"PM2.5","2018-08-12","6:00 - 7:00","19","µg/m³"
"PM2.5","2018-08-12","7:00 - 8:00","2","µg/m³"
"PM2.5","2018-08-12","8:00 - 9:00","9","µg/m³"
"PM2.5","2018-08-12","18:00 - 19:00","21","µg/m³"
"PM2.5","2018-08-12","19:00 - 20:00","31","µg/m³"
"PM2.5","2018-08-12","20:00 - 21:00","14","µg/m³"
"PM2.5","2018-08-12","21:00 - 22:00","4","µg/m³"
"PM2.5","2018-08-12","22:00 - 23:00","16","µg/m³"
"PM2.5","2018-08-13","23:00 - 0:00","11","µg/m³"
"PM2.5","2018-08-13","0:00 - 1:00","16","µg/m³"
"PM2.5","2018-08-13","1:00 - 2:00","24","µg/m³"
"PM2.5","2018-08-13","2:00 - 3:00","29","µg/m³"
"PM2.5","2018-08-13","3:00 - 4:00","16","µg/m³"
"PM2.5","2018-08-13","4:00 - 5:00","35","µg/m³"
"PM2.5","2018-08-13","5:00 - 6:00","37","µg/m³"
"PM2.5","2018-08-13","6:00 - 7:00","31","µg/m³"
"PM2.5","2018-08-13","7:00 - 8:00","22","µg/m³"
"PM2.5","2018-08-13","8:00 - 9:00","6","µg/m³"
"PM2.5","2018-08-13","10:00 - 11:00","19","µg/m³"
"PM2.5","2018-08-13","11:00 - 12:00","15","µg/m³"
"PM2.5","2018-08-13","20:00 - 21:00","4","µg/m³"
"PM2.5","2018-08-13","21:00 - 22:00","15","µg/m³"
"PM2.5","2018-08-13","22:00 - 23:00","18","µg/m³"
"PM2.5","2018-08-14","23:00 - 0:00","34","µg/m³"
"PM2.5","2018-08-14","0:00 - 1:00","22","µg/m³"
"PM2.5","2018-08-14","1:00 - 2:00","14","µg/m³"
"PM2.5","2018-08-14","2:00 - 3:00","13","µg/m³"
"PM2.5","2018-08-14","3:00 - 4:00","14","µg/m³"
"PM2.5","2018-08-14","4:00 - 5:00","19","µg/m³"
"PM2.5","2018-08-14","5:00 - 6:00","12","µg/m³"
"PM2.5","2018-08-14","6:00 - 7:00","12","µg/m³"
"PM2.5","2018-08-14","7:00 - 8:00","14","µg/m³"
"PM2.5","2018-08-14","8:00 - 9:00","11","µg/m³"
"PM2.5","2018-08-14","9:00 - 10:00","9","µg/m³"
"PM2.5","2018-08-14","10:00 - 11:00","19","µg/m³"
"PM2.5","2018-08-14","21:00 - 22:00","9","µg/m³"
"PM2.5","2018-08-14","22:00 - 23:00","12","µg/m³"
"PM2.5","2018-08-15","23:00 - 0:00","5","µg/m³"
"PM2.5","2018-08-15","0:00 - 1:00","14","µg/m³"
"PM2.5","2018-08-15","1:00 - 2:00","6","µg/m³"
"PM2.5","2018-08-15","2:00 - 3:00","17","µg/m³"
"PM2.5","2018-08-15","3:00 - 4:00","14","µg/m³"
"PM2.5","2018-08-15","4:00 - 5:00","14","µg/m³"
"PM2.5","2018-08-15","5:00 - 6:00","6","µg/m³"
"PM2.5","2018-08-15","6:00 - 7:00","14","µg/m³"
"PM2.5","2018-08-15","7:00 - 8:00","3","µg/m³"
"PM2.5","2018-08-15","9:00 - 10:00","5","µg/m³"
"PM2.5","2018-08-15","10:00 - 11:00","3","µg/m³"
"PM2.5","2018-08-15","21:00 - 22:00","4","µg/m³"
"PM2.5","2018-08-15","22:00 - 23:00","11","µg/m³"
"PM2.5","2018-08-16","23:00 - 0:00","13","µg/m³"
"PM2.5","2018-08-16","1:00 - 2:00","15","µg/m³"
"PM2.5","2018-08-16","2:00 - 3:00","16","µg/m³"
"PM2.5","2018-08-16","3:00 - 4:00","18","µg/m³"
"PM2.5","2018-08-16","4:00 - 5:00","10","µg/m³"
"PM2.5","2018-08-16","5:00 - 6:00","21","µg/m³"
"PM2.5","2018-08-16","6:00 - 7:00","15","µg/m³"
"PM2.5","2018-08-16","7:00 - 8:00","8","µg/m³"
"PM2.5","2018-08-16","9:00 - 10:00","5","µg/m³"
"PM2.5","2018-08-17","23:00 - 0:00","20","µg/m³"
"PM2.5","2018-08-17","0:00 - 1:00","13","µg/m³"
"PM2.5","2018-08-17","1:00 - 2:00","10","µg/m³"
"PM2.5","2018-08-17","2:00 - 3:00","23","µg/m³"
"PM2.5","2018-08-17","4:00 - 5:00","36","µg/m³"
"PM2.5","2018-08-17","5:00 - 6:00","15","µg/m³"
"PM2.5","2018-08-17","6:00 - 7:00","10","µg/m³"
"PM2.5","2018-08-17","7:00 - 8:00","4","µg/m³"
"PM2.5","2018-08-17","8:00 - 9:00","7","µg/m³"
"PM2.5","2018-08-17","9:00 - 10:00","12","µg/m³"
"PM2.5","2018-08-17","10:00 - 11:00","15","µg/m³"
"PM2.5","2018-08-17","22:00 - 23:00","10","µg/m³"
"PM2.5","2018-08-18","23:00 - 0:00","11","µg/m³"
"PM2.5","2018-08-18","0:00 - 1:00","10","µg/m³"
"PM2.5","2018-08-18","1:00 - 2:00","10","µg/m³"
"PM2.5","2018-08-18","2:00 - 3:00","24","µg/m³"
"PM2.5","2018-08-18","3:00 - 4:00","24","µg/m³"
"PM2.5","2018-08-18","4:00 - 5:00","14","µg/m³"
"PM2.5","2018-08-18","5:00 - 6:00","17","µg/m³"
"PM2.5","2018-08-18","6:00 - 7:00","11","µg/m³"
"PM2.5","2018-08-18","8:00 - 9:00","3","µg/m³"
"PM2.5","2018-08-18","21:00 - 22:00","2","µg/m³"
"PM2.5","2018-08-18","22:00 - 23:00","13","µg/m³"
"PM2.5","2018-08-19","23:00 - 0:00","7","µg/m³"
"PM2.5","2018-08-19","0:00 - 1:00","10","µg/m³"
"PM2.5","2018-08-19","1:00 - 2:00","9","µg/m³"
"PM2.5","2018-08-19","2:00 - 3:00","16","µg/m³"
"PM2.5","2018-08-19","3:00 - 4:00","9","µg/m³"
"PM2.5","2018-08-19","4:00 - 5:00","15","µg/m³"
"PM2.5","2018-08-19","5:00 - 6:00","19","µg/m³"
"PM2.5","2018-08-19","6:00 - 7:00","3","µg/m³"
"PM2.5","2018-08-19","22:00 - 23:00","10","µg/m³"
"PM2.5","2018-08-20","23:00 - 0:00","14","µg/m³"
"PM2.5","2018-08-20","0:00 - 1:00","12","µg/m³"
"PM2.5","2018-08-20","1:00 - 2:00","13","µg/m³"
"PM2.5","2018-08-20","2:00 - 3:00","21","µg/m³"
"PM2.5","2018-08-20","3:00 - 4:00","24","µg/m³"
