"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2008-03-01","23:00 - 0:00","267.000","m/s"
"VV","2008-03-01","0:00 - 1:00","203.000","m/s"
"VV","2008-03-01","1:00 - 2:00","189.000","m/s"
"VV","2008-03-01","2:00 - 3:00","142.000","m/s"
"VV","2008-03-01","3:00 - 4:00","161.000","m/s"
"VV","2008-03-01","4:00 - 5:00","89.000","m/s"
"VV","2008-03-01","5:00 - 6:00","53.000","m/s"
"VV","2008-03-01","6:00 - 7:00","53.000","m/s"
"VV","2008-03-01","7:00 - 8:00","122.000","m/s"
"VV","2008-03-01","8:00 - 9:00","136.000","m/s"
"VV","2008-03-03","15:00 - 16:00","392.000","m/s"
"VV","2008-03-03","16:00 - 17:00","358.000","m/s"
"VV","2008-03-03","17:00 - 18:00","322.000","m/s"
"VV","2008-03-03","18:00 - 19:00","250.000","m/s"
"VV","2008-03-03","19:00 - 20:00","242.000","m/s"
"VV","2008-03-03","20:00 - 21:00","272.000","m/s"
"VV","2008-03-03","21:00 - 22:00","275.000","m/s"
"VV","2008-03-03","22:00 - 23:00","244.000","m/s"
"VV","2008-03-04","23:00 - 0:00","208.000","m/s"
"VV","2008-03-04","0:00 - 1:00","153.000","m/s"
"VV","2008-03-04","1:00 - 2:00","125.000","m/s"
"VV","2008-03-04","2:00 - 3:00","64.000","m/s"
"VV","2008-03-04","3:00 - 4:00","64.000","m/s"
"VV","2008-03-04","4:00 - 5:00","33.000","m/s"
"VV","2008-03-04","5:00 - 6:00","44.000","m/s"
"VV","2008-03-04","6:00 - 7:00","67.000","m/s"
"VV","2008-03-04","7:00 - 8:00","72.000","m/s"
"VV","2008-03-04","8:00 - 9:00","144.000","m/s"
"VV","2008-03-04","9:00 - 10:00","225.000","m/s"
"VV","2008-03-04","10:00 - 11:00","231.000","m/s"
"VV","2008-03-04","11:00 - 12:00","225.000","m/s"
"VV","2008-03-04","12:00 - 13:00","231.000","m/s"
"VV","2008-03-04","13:00 - 14:00","267.000","m/s"
"VV","2008-03-04","14:00 - 15:00","353.000","m/s"
"VV","2008-03-04","15:00 - 16:00","458.000","m/s"
"VV","2008-03-04","16:00 - 17:00","453.000","m/s"
"VV","2008-03-04","17:00 - 18:00","403.000","m/s"
"VV","2008-03-04","18:00 - 19:00","378.000","m/s"
"VV","2008-03-04","19:00 - 20:00","222.000","m/s"
"VV","2008-03-04","20:00 - 21:00","106.000","m/s"
"VV","2008-03-04","21:00 - 22:00","128.000","m/s"
"VV","2008-03-04","22:00 - 23:00","122.000","m/s"
"VV","2008-03-05","23:00 - 0:00","78.000","m/s"
"VV","2008-03-05","0:00 - 1:00","69.000","m/s"
"VV","2008-03-05","1:00 - 2:00","64.000","m/s"
"VV","2008-03-05","2:00 - 3:00","97.000","m/s"
"VV","2008-03-05","3:00 - 4:00","181.000","m/s"
"VV","2008-03-05","4:00 - 5:00","194.000","m/s"
"VV","2008-03-05","5:00 - 6:00","244.000","m/s"
"VV","2008-03-05","6:00 - 7:00","103.000","m/s"
"VV","2008-03-05","7:00 - 8:00","133.000","m/s"
"VV","2008-03-05","8:00 - 9:00","111.000","m/s"
"VV","2008-03-05","9:00 - 10:00","114.000","m/s"
"VV","2008-03-05","10:00 - 11:00","203.000","m/s"
"VV","2008-03-05","11:00 - 12:00","167.000","m/s"
"VV","2008-03-05","12:00 - 13:00","222.000","m/s"
"VV","2008-03-05","13:00 - 14:00","381.000","m/s"
"VV","2008-03-05","14:00 - 15:00","472.000","m/s"
"VV","2008-03-05","15:00 - 16:00","492.000","m/s"
"VV","2008-03-05","16:00 - 17:00","472.000","m/s"
"VV","2008-03-05","17:00 - 18:00","478.000","m/s"
"VV","2008-03-05","18:00 - 19:00","453.000","m/s"
"VV","2008-03-05","19:00 - 20:00","403.000","m/s"
"VV","2008-03-05","20:00 - 21:00","403.000","m/s"
"VV","2008-03-05","21:00 - 22:00","119.000","m/s"
"VV","2008-03-05","22:00 - 23:00","150.000","m/s"
"VV","2008-03-06","23:00 - 0:00","83.000","m/s"
"VV","2008-03-06","0:00 - 1:00","67.000","m/s"
"VV","2008-03-06","1:00 - 2:00","86.000","m/s"
"VV","2008-03-06","2:00 - 3:00","153.000","m/s"
"VV","2008-03-06","3:00 - 4:00","153.000","m/s"
"VV","2008-03-06","4:00 - 5:00","106.000","m/s"
"VV","2008-03-06","5:00 - 6:00","69.000","m/s"
"VV","2008-03-06","6:00 - 7:00","119.000","m/s"
"VV","2008-03-06","7:00 - 8:00","111.000","m/s"
"VV","2008-03-06","8:00 - 9:00","67.000","m/s"
"VV","2008-03-06","9:00 - 10:00","183.000","m/s"
"VV","2008-03-06","10:00 - 11:00","431.000","m/s"
"VV","2008-03-06","11:00 - 12:00","644.000","m/s"
"VV","2008-03-06","12:00 - 13:00","722.000","m/s"
"VV","2008-03-06","13:00 - 14:00","694.000","m/s"
"VV","2008-03-06","14:00 - 15:00","425.000","m/s"
"VV","2008-03-06","15:00 - 16:00","517.000","m/s"
"VV","2008-03-06","16:00 - 17:00","375.000","m/s"
"VV","2008-03-06","17:00 - 18:00","406.000","m/s"
"VV","2008-03-06","18:00 - 19:00","261.000","m/s"
"VV","2008-03-06","19:00 - 20:00","200.000","m/s"
"VV","2008-03-06","20:00 - 21:00","331.000","m/s"
"VV","2008-03-06","21:00 - 22:00","378.000","m/s"
"VV","2008-03-06","22:00 - 23:00","372.000","m/s"
"VV","2008-03-07","23:00 - 0:00","208.000","m/s"
"VV","2008-03-07","0:00 - 1:00","164.000","m/s"
"VV","2008-03-07","1:00 - 2:00","222.000","m/s"
"VV","2008-03-07","2:00 - 3:00","133.000","m/s"
"VV","2008-03-07","3:00 - 4:00","158.000","m/s"
"VV","2008-03-07","4:00 - 5:00","72.000","m/s"
"VV","2008-03-07","5:00 - 6:00","144.000","m/s"
"VV","2008-03-07","6:00 - 7:00","114.000","m/s"
"VV","2008-03-07","7:00 - 8:00","194.000","m/s"
"VV","2008-03-07","8:00 - 9:00","311.000","m/s"
"VV","2008-03-07","9:00 - 10:00","333.000","m/s"
"VV","2008-03-07","10:00 - 11:00","358.000","m/s"
"VV","2008-03-07","11:00 - 12:00","367.000","m/s"
"VV","2008-03-07","12:00 - 13:00","419.000","m/s"
"VV","2008-03-07","13:00 - 14:00","389.000","m/s"
"VV","2008-03-07","14:00 - 15:00","292.000","m/s"
"VV","2008-03-07","15:00 - 16:00","283.000","m/s"
"VV","2008-03-07","16:00 - 17:00","292.000","m/s"
"VV","2008-03-07","17:00 - 18:00","231.000","m/s"
"VV","2008-03-07","18:00 - 19:00","233.000","m/s"
"VV","2008-03-07","19:00 - 20:00","122.000","m/s"
"VV","2008-03-07","20:00 - 21:00","111.000","m/s"
"VV","2008-03-07","21:00 - 22:00","50.000","m/s"
"VV","2008-03-07","22:00 - 23:00","64.000","m/s"
"VV","2008-03-08","23:00 - 0:00","61.000","m/s"
"VV","2008-03-08","0:00 - 1:00","61.000","m/s"
"VV","2008-03-08","1:00 - 2:00","67.000","m/s"
"VV","2008-03-08","2:00 - 3:00","58.000","m/s"
"VV","2008-03-08","3:00 - 4:00","39.000","m/s"
"VV","2008-03-08","4:00 - 5:00","58.000","m/s"
"VV","2008-03-08","5:00 - 6:00","78.000","m/s"
"VV","2008-03-08","6:00 - 7:00","119.000","m/s"
"VV","2008-03-08","7:00 - 8:00","97.000","m/s"
"VV","2008-03-08","8:00 - 9:00","114.000","m/s"
"VV","2008-03-08","9:00 - 10:00","158.000","m/s"
"VV","2008-03-08","10:00 - 11:00","300.000","m/s"
"VV","2008-03-08","11:00 - 12:00","369.000","m/s"
"VV","2008-03-08","12:00 - 13:00","389.000","m/s"
"VV","2008-03-08","13:00 - 14:00","436.000","m/s"
"VV","2008-03-08","14:00 - 15:00","428.000","m/s"
"VV","2008-03-08","15:00 - 16:00","467.000","m/s"
"VV","2008-03-08","16:00 - 17:00","483.000","m/s"
"VV","2008-03-08","17:00 - 18:00","447.000","m/s"
"VV","2008-03-08","18:00 - 19:00","453.000","m/s"
"VV","2008-03-08","19:00 - 20:00","525.000","m/s"
"VV","2008-03-08","20:00 - 21:00","492.000","m/s"
"VV","2008-03-08","21:00 - 22:00","372.000","m/s"
"VV","2008-03-08","22:00 - 23:00","369.000","m/s"
"VV","2008-03-09","23:00 - 0:00","297.000","m/s"
"VV","2008-03-09","0:00 - 1:00","186.000","m/s"
"VV","2008-03-09","1:00 - 2:00","172.000","m/s"
"VV","2008-03-09","2:00 - 3:00","119.000","m/s"
"VV","2008-03-09","3:00 - 4:00","78.000","m/s"
"VV","2008-03-09","4:00 - 5:00","139.000","m/s"
"VV","2008-03-09","5:00 - 6:00","194.000","m/s"
"VV","2008-03-09","6:00 - 7:00","219.000","m/s"
"VV","2008-03-09","7:00 - 8:00","175.000","m/s"
"VV","2008-03-09","8:00 - 9:00","153.000","m/s"
"VV","2008-03-09","9:00 - 10:00","147.000","m/s"
"VV","2008-03-09","10:00 - 11:00","200.000","m/s"
"VV","2008-03-09","11:00 - 12:00","208.000","m/s"
"VV","2008-03-09","12:00 - 13:00","311.000","m/s"
"VV","2008-03-09","13:00 - 14:00","361.000","m/s"
"VV","2008-03-09","14:00 - 15:00","417.000","m/s"
"VV","2008-03-09","15:00 - 16:00","447.000","m/s"
"VV","2008-03-09","16:00 - 17:00","378.000","m/s"
"VV","2008-03-09","17:00 - 18:00","150.000","m/s"
"VV","2008-03-09","18:00 - 19:00","122.000","m/s"
"VV","2008-03-09","19:00 - 20:00","519.000","m/s"
"VV","2008-03-09","20:00 - 21:00","433.000","m/s"
"VV","2008-03-09","21:00 - 22:00","356.000","m/s"
"VV","2008-03-09","22:00 - 23:00","297.000","m/s"
"VV","2008-03-10","23:00 - 0:00","331.000","m/s"
"VV","2008-03-10","0:00 - 1:00","200.000","m/s"
"VV","2008-03-10","1:00 - 2:00","122.000","m/s"
"VV","2008-03-10","2:00 - 3:00","42.000","m/s"
"VV","2008-03-10","3:00 - 4:00","31.000","m/s"
"VV","2008-03-10","4:00 - 5:00","28.000","m/s"
"VV","2008-03-10","5:00 - 6:00","56.000","m/s"
"VV","2008-03-10","6:00 - 7:00","186.000","m/s"
"VV","2008-03-10","7:00 - 8:00","92.000","m/s"
"VV","2008-03-10","8:00 - 9:00","147.000","m/s"
"VV","2008-03-10","9:00 - 10:00","194.000","m/s"
"VV","2008-03-10","10:00 - 11:00","158.000","m/s"
"VV","2008-03-10","11:00 - 12:00","267.000","m/s"
"VV","2008-03-10","12:00 - 13:00","400.000","m/s"
"VV","2008-03-10","13:00 - 14:00","394.000","m/s"
"VV","2008-03-10","14:00 - 15:00","444.000","m/s"
"VV","2008-03-10","15:00 - 16:00","397.000","m/s"
"VV","2008-03-10","16:00 - 17:00","264.000","m/s"
"VV","2008-03-10","17:00 - 18:00","258.000","m/s"
"VV","2008-03-10","18:00 - 19:00","142.000","m/s"
"VV","2008-03-10","19:00 - 20:00","125.000","m/s"
"VV","2008-03-10","20:00 - 21:00","158.000","m/s"
"VV","2008-03-10","21:00 - 22:00","367.000","m/s"
"VV","2008-03-10","22:00 - 23:00","397.000","m/s"
"VV","2008-03-11","23:00 - 0:00","267.000","m/s"
"VV","2008-03-11","0:00 - 1:00","236.000","m/s"
"VV","2008-03-11","1:00 - 2:00","203.000","m/s"
"VV","2008-03-11","2:00 - 3:00","172.000","m/s"
