"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2000-04-01","23:00 - 0:00","434.000","m/s"
"VV","2000-04-01","0:00 - 1:00","282.000","m/s"
"VV","2000-04-01","1:00 - 2:00","170.000","m/s"
"VV","2000-04-01","2:00 - 3:00","127.000","m/s"
"VV","2000-04-01","3:00 - 4:00","134.000","m/s"
"VV","2000-04-01","4:00 - 5:00","94.000","m/s"
"VV","2000-04-01","5:00 - 6:00","109.000","m/s"
"VV","2000-04-01","6:00 - 7:00","125.000","m/s"
"VV","2000-04-01","7:00 - 8:00","58.000","m/s"
"VV","2000-04-01","8:00 - 9:00","40.000","m/s"
"VV","2000-04-01","9:00 - 10:00","81.000","m/s"
"VV","2000-04-01","10:00 - 11:00","125.000","m/s"
"VV","2000-04-01","11:00 - 12:00","329.000","m/s"
"VV","2000-04-01","12:00 - 13:00","297.000","m/s"
"VV","2000-04-01","13:00 - 14:00","346.000","m/s"
"VV","2000-04-01","14:00 - 15:00","257.000","m/s"
"VV","2000-04-01","15:00 - 16:00","261.000","m/s"
"VV","2000-04-01","16:00 - 17:00","353.000","m/s"
"VV","2000-04-01","17:00 - 18:00","344.000","m/s"
"VV","2000-04-01","18:00 - 19:00","34.000","m/s"
"VV","2000-04-01","19:00 - 20:00","197.000","m/s"
"VV","2000-04-01","20:00 - 21:00","145.000","m/s"
"VV","2000-04-01","21:00 - 22:00","197.000","m/s"
"VV","2000-04-01","22:00 - 23:00","590.000","m/s"
"VV","2000-04-02","23:00 - 0:00","186.000","m/s"
"VV","2000-04-02","0:00 - 1:00","217.000","m/s"
"VV","2000-04-02","1:00 - 2:00","141.000","m/s"
"VV","2000-04-02","2:00 - 3:00","112.000","m/s"
"VV","2000-04-02","3:00 - 4:00","58.000","m/s"
"VV","2000-04-02","4:00 - 5:00","96.000","m/s"
"VV","2000-04-02","5:00 - 6:00","257.000","m/s"
"VV","2000-04-02","6:00 - 7:00","40.000","m/s"
"VV","2000-04-02","7:00 - 8:00","121.000","m/s"
"VV","2000-04-02","8:00 - 9:00","148.000","m/s"
"VV","2000-04-02","9:00 - 10:00","224.000","m/s"
"VV","2000-04-02","10:00 - 11:00","282.000","m/s"
"VV","2000-04-02","11:00 - 12:00","349.000","m/s"
"VV","2000-04-02","12:00 - 13:00","458.000","m/s"
