"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2006-05-01","23:00 - 0:00","176.000","m/s"
"VV","2006-05-01","0:00 - 1:00","150.000","m/s"
"VV","2006-05-01","1:00 - 2:00","81.000","m/s"
"VV","2006-05-01","2:00 - 3:00","84.000","m/s"
"VV","2006-05-01","3:00 - 4:00","51.000","m/s"
"VV","2006-05-01","4:00 - 5:00","50.000","m/s"
"VV","2006-05-01","5:00 - 6:00","58.000","m/s"
"VV","2006-05-01","6:00 - 7:00","85.000","m/s"
"VV","2006-05-01","7:00 - 8:00","176.000","m/s"
"VV","2006-05-01","8:00 - 9:00","162.000","m/s"
"VV","2006-05-01","9:00 - 10:00","178.000","m/s"
"VV","2006-05-01","10:00 - 11:00","244.000","m/s"
"VV","2006-05-01","11:00 - 12:00","284.000","m/s"
"VV","2006-05-01","12:00 - 13:00","301.000","m/s"
"VV","2006-05-01","13:00 - 14:00","275.000","m/s"
"VV","2006-05-01","14:00 - 15:00","279.000","m/s"
"VV","2006-05-01","15:00 - 16:00","251.000","m/s"
"VV","2006-05-01","16:00 - 17:00","244.000","m/s"
"VV","2006-05-01","17:00 - 18:00","212.000","m/s"
"VV","2006-05-01","18:00 - 19:00","170.000","m/s"
"VV","2006-05-01","19:00 - 20:00","436.000","m/s"
"VV","2006-05-01","20:00 - 21:00","209.000","m/s"
"VV","2006-05-01","21:00 - 22:00","302.000","m/s"
"VV","2006-05-01","22:00 - 23:00","353.000","m/s"
"VV","2006-05-02","23:00 - 0:00","290.000","m/s"
"VV","2006-05-02","0:00 - 1:00","265.000","m/s"
"VV","2006-05-02","1:00 - 2:00","220.000","m/s"
"VV","2006-05-02","2:00 - 3:00","204.000","m/s"
"VV","2006-05-02","3:00 - 4:00","82.000","m/s"
"VV","2006-05-02","4:00 - 5:00","54.000","m/s"
"VV","2006-05-02","5:00 - 6:00","45.000","m/s"
"VV","2006-05-02","6:00 - 7:00","116.000","m/s"
"VV","2006-05-02","7:00 - 8:00","148.000","m/s"
"VV","2006-05-02","8:00 - 9:00","148.000","m/s"
"VV","2006-05-02","9:00 - 10:00","141.000","m/s"
"VV","2006-05-02","10:00 - 11:00","188.000","m/s"
"VV","2006-05-02","11:00 - 12:00","222.000","m/s"
"VV","2006-05-02","12:00 - 13:00","315.000","m/s"
"VV","2006-05-02","13:00 - 14:00","363.000","m/s"
"VV","2006-05-02","14:00 - 15:00","355.000","m/s"
"VV","2006-05-02","15:00 - 16:00","361.000","m/s"
"VV","2006-05-02","16:00 - 17:00","371.000","m/s"
"VV","2006-05-02","17:00 - 18:00","359.000","m/s"
"VV","2006-05-02","18:00 - 19:00","512.000","m/s"
"VV","2006-05-02","19:00 - 20:00","450.000","m/s"
"VV","2006-05-02","20:00 - 21:00","378.000","m/s"
"VV","2006-05-02","21:00 - 22:00","486.000","m/s"
