"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2006-08-01","23:00 - 0:00","258.000","m/s"
"VV","2006-08-01","0:00 - 1:00","233.000","m/s"
"VV","2006-08-01","1:00 - 2:00","255.000","m/s"
"VV","2006-08-01","2:00 - 3:00","244.000","m/s"
"VV","2006-08-01","3:00 - 4:00","110.000","m/s"
"VV","2006-08-01","4:00 - 5:00","141.000","m/s"
"VV","2006-08-01","5:00 - 6:00","120.000","m/s"
"VV","2006-08-01","6:00 - 7:00","115.000","m/s"
"VV","2006-08-01","7:00 - 8:00","74.000","m/s"
"VV","2006-08-01","8:00 - 9:00","63.000","m/s"
"VV","2006-08-01","9:00 - 10:00","270.000","m/s"
"VV","2006-08-01","10:00 - 11:00","336.000","m/s"
"VV","2006-08-01","11:00 - 12:00","335.000","m/s"
"VV","2006-08-01","12:00 - 13:00","401.000","m/s"
"VV","2006-08-01","13:00 - 14:00","338.000","m/s"
"VV","2006-08-01","14:00 - 15:00","351.000","m/s"
"VV","2006-08-01","15:00 - 16:00","380.000","m/s"
"VV","2006-08-01","16:00 - 17:00","520.000","m/s"
"VV","2006-08-01","17:00 - 18:00","508.000","m/s"
"VV","2006-08-01","18:00 - 19:00","466.000","m/s"
"VV","2006-08-01","19:00 - 20:00","409.000","m/s"
"VV","2006-08-01","20:00 - 21:00","434.000","m/s"
"VV","2006-08-01","21:00 - 22:00","446.000","m/s"
"VV","2006-08-01","22:00 - 23:00","353.000","m/s"
"VV","2006-08-02","23:00 - 0:00","253.000","m/s"
"VV","2006-08-02","0:00 - 1:00","146.000","m/s"
"VV","2006-08-02","1:00 - 2:00","179.000","m/s"
"VV","2006-08-02","2:00 - 3:00","121.000","m/s"
"VV","2006-08-02","3:00 - 4:00","138.000","m/s"
"VV","2006-08-02","4:00 - 5:00","83.000","m/s"
"VV","2006-08-02","5:00 - 6:00","21.000","m/s"
"VV","2006-08-02","6:00 - 7:00","24.000","m/s"
"VV","2006-08-02","7:00 - 8:00","96.000","m/s"
"VV","2006-08-02","8:00 - 9:00","58.000","m/s"
"VV","2006-08-02","9:00 - 10:00","235.000","m/s"
"VV","2006-08-02","10:00 - 11:00","351.000","m/s"
"VV","2006-08-08","11:00 - 12:00","433.000","m/s"
"VV","2006-08-08","12:00 - 13:00","537.000","m/s"
"VV","2006-08-08","13:00 - 14:00","479.000","m/s"
"VV","2006-08-08","14:00 - 15:00","491.000","m/s"
"VV","2006-08-08","15:00 - 16:00","430.000","m/s"
"VV","2006-08-08","16:00 - 17:00","422.000","m/s"
"VV","2006-08-08","17:00 - 18:00","363.000","m/s"
"VV","2006-08-08","18:00 - 19:00","317.000","m/s"
"VV","2006-08-08","19:00 - 20:00","219.000","m/s"
"VV","2006-08-08","20:00 - 21:00","336.000","m/s"
"VV","2006-08-08","21:00 - 22:00","382.000","m/s"
"VV","2006-08-08","22:00 - 23:00","405.000","m/s"
"VV","2006-08-09","23:00 - 0:00","375.000","m/s"
"VV","2006-08-09","0:00 - 1:00","276.000","m/s"
"VV","2006-08-09","1:00 - 2:00","268.000","m/s"
"VV","2006-08-09","2:00 - 3:00","222.000","m/s"
"VV","2006-08-09","3:00 - 4:00","152.000","m/s"
"VV","2006-08-09","4:00 - 5:00","137.000","m/s"
"VV","2006-08-09","5:00 - 6:00","135.000","m/s"
"VV","2006-08-09","6:00 - 7:00","154.000","m/s"
"VV","2006-08-09","7:00 - 8:00","140.000","m/s"
"VV","2006-08-09","8:00 - 9:00","221.000","m/s"
"VV","2006-08-09","9:00 - 10:00","290.000","m/s"
"VV","2006-08-09","10:00 - 11:00","312.000","m/s"
"VV","2006-08-09","11:00 - 12:00","381.000","m/s"
"VV","2006-08-09","12:00 - 13:00","454.000","m/s"
"VV","2006-08-09","13:00 - 14:00","460.000","m/s"
"VV","2006-08-09","14:00 - 15:00","450.000","m/s"
"VV","2006-08-09","15:00 - 16:00","421.000","m/s"
"VV","2006-08-09","16:00 - 17:00","424.000","m/s"
"VV","2006-08-09","17:00 - 18:00","463.000","m/s"
"VV","2006-08-09","18:00 - 19:00","431.000","m/s"
"VV","2006-08-09","19:00 - 20:00","334.000","m/s"
"VV","2006-08-09","20:00 - 21:00","294.000","m/s"
"VV","2006-08-09","21:00 - 22:00","393.000","m/s"
"VV","2006-08-09","22:00 - 23:00","402.000","m/s"
"VV","2006-08-10","23:00 - 0:00","295.000","m/s"
"VV","2006-08-10","0:00 - 1:00","196.000","m/s"
"VV","2006-08-10","1:00 - 2:00","216.000","m/s"
"VV","2006-08-10","2:00 - 3:00","42.000","m/s"
"VV","2006-08-10","3:00 - 4:00","91.000","m/s"
"VV","2006-08-10","4:00 - 5:00","34.000","m/s"
"VV","2006-08-10","5:00 - 6:00","63.000","m/s"
"VV","2006-08-10","6:00 - 7:00","92.000","m/s"
"VV","2006-08-10","7:00 - 8:00","62.000","m/s"
"VV","2006-08-10","8:00 - 9:00","146.000","m/s"
"VV","2006-08-10","9:00 - 10:00","247.000","m/s"
"VV","2006-08-10","10:00 - 11:00","302.000","m/s"
"VV","2006-08-10","11:00 - 12:00","326.000","m/s"
"VV","2006-08-10","12:00 - 13:00","352.000","m/s"
"VV","2006-08-10","13:00 - 14:00","387.000","m/s"
"VV","2006-08-10","14:00 - 15:00","380.000","m/s"
"VV","2006-08-10","15:00 - 16:00","394.000","m/s"
"VV","2006-08-10","16:00 - 17:00","375.000","m/s"
"VV","2006-08-10","17:00 - 18:00","333.000","m/s"
"VV","2006-08-10","18:00 - 19:00","276.000","m/s"
"VV","2006-08-10","19:00 - 20:00","314.000","m/s"
"VV","2006-08-10","20:00 - 21:00","216.000","m/s"
"VV","2006-08-10","21:00 - 22:00","175.000","m/s"
"VV","2006-08-10","22:00 - 23:00","250.000","m/s"
"VV","2006-08-11","23:00 - 0:00","208.000","m/s"
"VV","2006-08-11","0:00 - 1:00","192.000","m/s"
"VV","2006-08-11","1:00 - 2:00","98.000","m/s"
"VV","2006-08-11","2:00 - 3:00","52.000","m/s"
"VV","2006-08-11","3:00 - 4:00","89.000","m/s"
"VV","2006-08-11","4:00 - 5:00","61.000","m/s"
"VV","2006-08-11","5:00 - 6:00","143.000","m/s"
"VV","2006-08-11","6:00 - 7:00","128.000","m/s"
"VV","2006-08-11","7:00 - 8:00","93.000","m/s"
"VV","2006-08-11","8:00 - 9:00","60.000","m/s"
"VV","2006-08-11","9:00 - 10:00","167.000","m/s"
"VV","2006-08-11","10:00 - 11:00","195.000","m/s"
"VV","2006-08-11","11:00 - 12:00","355.000","m/s"
"VV","2006-08-11","12:00 - 13:00","418.000","m/s"
"VV","2006-08-11","13:00 - 14:00","421.000","m/s"
"VV","2006-08-11","14:00 - 15:00","421.000","m/s"
"VV","2006-08-11","15:00 - 16:00","388.000","m/s"
"VV","2006-08-11","16:00 - 17:00","360.000","m/s"
"VV","2006-08-11","17:00 - 18:00","324.000","m/s"
"VV","2006-08-11","18:00 - 19:00","266.000","m/s"
"VV","2006-08-11","19:00 - 20:00","201.000","m/s"
"VV","2006-08-11","20:00 - 21:00","252.000","m/s"
"VV","2006-08-11","21:00 - 22:00","275.000","m/s"
"VV","2006-08-11","22:00 - 23:00","268.000","m/s"
"VV","2006-08-12","23:00 - 0:00","283.000","m/s"
"VV","2006-08-12","0:00 - 1:00","237.000","m/s"
"VV","2006-08-12","1:00 - 2:00","169.000","m/s"
"VV","2006-08-12","2:00 - 3:00","142.000","m/s"
"VV","2006-08-12","3:00 - 4:00","121.000","m/s"
"VV","2006-08-12","4:00 - 5:00","101.000","m/s"
"VV","2006-08-12","5:00 - 6:00","84.000","m/s"
"VV","2006-08-12","6:00 - 7:00","62.000","m/s"
"VV","2006-08-12","7:00 - 8:00","91.000","m/s"
"VV","2006-08-12","8:00 - 9:00","111.000","m/s"
"VV","2006-08-12","9:00 - 10:00","239.000","m/s"
"VV","2006-08-12","10:00 - 11:00","381.000","m/s"
"VV","2006-08-12","11:00 - 12:00","413.000","m/s"
"VV","2006-08-12","12:00 - 13:00","439.000","m/s"
"VV","2006-08-12","13:00 - 14:00","401.000","m/s"
"VV","2006-08-12","14:00 - 15:00","401.000","m/s"
"VV","2006-08-12","15:00 - 16:00","437.000","m/s"
"VV","2006-08-12","16:00 - 17:00","443.000","m/s"
"VV","2006-08-12","17:00 - 18:00","501.000","m/s"
"VV","2006-08-12","18:00 - 19:00","411.000","m/s"
"VV","2006-08-12","19:00 - 20:00","284.000","m/s"
"VV","2006-08-12","20:00 - 21:00","327.000","m/s"
"VV","2006-08-12","21:00 - 22:00","335.000","m/s"
"VV","2006-08-12","22:00 - 23:00","272.000","m/s"
"VV","2006-08-13","23:00 - 0:00","230.000","m/s"
"VV","2006-08-13","0:00 - 1:00","175.000","m/s"
"VV","2006-08-13","1:00 - 2:00","81.000","m/s"
"VV","2006-08-13","2:00 - 3:00","204.000","m/s"
"VV","2006-08-13","3:00 - 4:00","208.000","m/s"
"VV","2006-08-13","4:00 - 5:00","159.000","m/s"
"VV","2006-08-13","5:00 - 6:00","85.000","m/s"
"VV","2006-08-13","6:00 - 7:00","34.000","m/s"
"VV","2006-08-13","7:00 - 8:00","47.000","m/s"
"VV","2006-08-13","8:00 - 9:00","92.000","m/s"
"VV","2006-08-13","9:00 - 10:00","128.000","m/s"
"VV","2006-08-13","10:00 - 11:00","326.000","m/s"
"VV","2006-08-13","11:00 - 12:00","337.000","m/s"
"VV","2006-08-13","12:00 - 13:00","415.000","m/s"
"VV","2006-08-13","13:00 - 14:00","393.000","m/s"
"VV","2006-08-13","14:00 - 15:00","418.000","m/s"
"VV","2006-08-13","15:00 - 16:00","492.000","m/s"
"VV","2006-08-13","16:00 - 17:00","385.000","m/s"
"VV","2006-08-13","17:00 - 18:00","401.000","m/s"
"VV","2006-08-13","18:00 - 19:00","362.000","m/s"
"VV","2006-08-13","19:00 - 20:00","306.000","m/s"
"VV","2006-08-13","20:00 - 21:00","159.000","m/s"
"VV","2006-08-13","21:00 - 22:00","203.000","m/s"
"VV","2006-08-13","22:00 - 23:00","303.000","m/s"
